gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Dpp10	3.36003611039817e-45	-4.94679438403531	6.02051270261144e-41	0.001	0.063	0.062
Kcnd2	3.73669810144037e-39	-2.8137083619237	6.69541565816085e-35	0.008	0.074	0.066
Cntnap2	2.00035632373576e-38	-4.39191927389667	3.58423846086973e-34	0.002	0.055	0.053
Snhg11	9.1279594908929e-37	-3.15561162053167	1.63554778157819e-32	0.004	0.06	0.056
Nrg1	4.42693315332013e-33	-3.17813664346393	7.932178824119e-29	0.001	0.047	0.046
Dlgap1	4.81055301537479e-33	-4.42618371442035	8.61954889294855e-29	0.003	0.05	0.047
Ntm	6.86535722048801e-33	-4.01401100501113	1.23013470676704e-28	0.002	0.048	0.046
Nalf1	8.88899911307715e-31	-2.08113832957872	1.59273086108116e-26	0.003	0.048	0.045
Lrrtm4	1.32865185103278e-29	-3.47376050450078	2.38067838668054e-25	0.001	0.042	0.041
Syt1	2.16885722157886e-29	-1.93559976411558	3.88615836962501e-25	0.021	0.088	0.067
Mat2a	3.36743169437914e-24	0.762295987621773	6.03376410998854e-20	0.348	0.233	0.115
Ctnnd2	2.10437737100215e-23	-1.86490965497287	3.77062337336165e-19	0.027	0.086	0.059
Adipor2	7.21218989005139e-23	0.538091586686361	1.29228018449941e-18	0.604	0.482	0.122
Negr1	1.90517110390552e-22	-1.42207214546796	3.41368558397791e-18	0.041	0.107	0.066
Sgk1	2.91953327175404e-20	3.76618936042415	5.2312197163289e-16	0.046	0.003	0.043
C4b	1.52658165963289e-19	1.91812559291366	2.73532901773021e-15	0.1	0.035	0.065
Fgf12	5.57557194185799e-19	-2.32953065302849	9.99030980542114e-15	0.007	0.043	0.036
Nav3	1.02084964438781e-17	-0.806539902250111	1.82915839281407e-13	0.078	0.151	0.073
Kcnma1	4.42264239015952e-17	-5.69214607157067	7.92449063468783e-13	0.001	0.023	0.022
Rora	1.22833707357631e-16	-1.38244155498957	2.20093436843404e-12	0.033	0.083	0.05
Gria2	2.86633007216406e-16	-3.72994307781054	5.13589022330356e-12	0.002	0.026	0.024
Robo1	8.77184570655214e-16	-0.391361973796957	1.57173931370001e-11	0.534	0.626	0.092
Cdh2	3.11202198046399e-15	-1.53972794360122	5.57612098459538e-11	0.027	0.071	0.044
Opcml	4.20204947408084e-15	-0.688220354385059	7.52923224765805e-11	0.19	0.278	0.088
Actg1	5.04137630128739e-15	-2.09845853484249	9.03313805664675e-11	0.012	0.046	0.034
Luc7l2	5.72618218886404e-15	0.265760200908544	1.02601732460066e-10	0.764	0.674	0.09
Uty	4.96779813405092e-14	0.879975483259376	8.90130069659243e-10	0.116	0.054	0.062
Sdhb	5.51427208745018e-14	-2.78588428250354	9.88047272629323e-10	0.005	0.031	0.026
