gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Ctnna3	1.87642917456126e-12	-0.664189906119931	3.36218579497887e-08	0.508	0.656	0.148
Cntn3	5.22797042606666e-11	-4.94761450849376	9.36747740942625e-07	0.003	0.069	0.066
Olig1	1.56847215254877e-09	0.830488787977206	2.81038840293688e-05	0.379	0.223	0.156
Itm2c	5.35807958556539e-09	5.15180478843413	9.60060700141606e-05	0.067	0.002	0.065
Gnai1	6.98609231613406e-09	-1.70576732036548	0.00012517680212049	0.053	0.147	0.094
Syt11	8.41116306818133e-09	0.887191731048764	0.000150711219855673	0.341	0.195	0.146
Msra	2.53060534834798e-08	-2.10234748791904	0.000453433866316991	0.022	0.094	0.072
Slc25a3	6.67596403875007e-08	-1.76561555022298	0.00119619923646324	0.03	0.105	0.075
Nbeal1	2.09086865503626e-07	0.884931260961586	0.00374641845609398	0.286	0.16	0.126
Rpl13	2.36877705578747e-07	0.886079792570449	0.00424437472855999	0.287	0.155	0.132
Fgfr2	2.8689551926324e-07	-0.794292226930099	0.00514059391415874	0.192	0.311	0.119
Plcb1	4.03984450311753e-07	-0.317410461659244	0.00723859338068598	0.885	0.926	0.041
Arhgef3	4.64574553594198e-07	1.13460717426985	0.00832424685130084	0.244	0.134	0.11
Cadps2	6.55673075588701e-07	-1.11230819634961	0.0117483501683983	0.108	0.204	0.096
Ptprs	1.22938154413633e-06	0.590231331203452	0.0220280585078347	0.458	0.317	0.141
Cdkl5	1.47598355764253e-06	1.07097797762072	0.0264466733858388	0.207	0.103	0.104
Wdr17	1.5260256657113e-06	-1.07212211810476	0.0273433278782151	0.116	0.218	0.102
Iqgap2	1.76948423028737e-06	-1.95298712344441	0.031705618438289	0.024	0.084	0.06
Rgs9	2.04487162546162e-06	-1.72038480982603	0.0366400097850213	0.029	0.092	0.063
Oxr1	2.22922668227439e-06	-0.456076405707153	0.0399432836929925	0.516	0.605	0.089
Bcan	2.96997208425467e-06	0.437479487702896	0.0532159598056752	0.643	0.5	0.143
Gabrb1	3.78652775850422e-06	-0.88931871215435	0.0678470043768787	0.215	0.319	0.104
Cbx6	3.9319956429038e-06	2.15330343096399	0.0704534979295503	0.069	0.013	0.056
Lhfpl3	4.35946474038192e-06	0.161377297146785	0.0781128892181633	0.997	0.998	0.001
Zfhx4	4.52323113144167e-06	2.08286677612724	0.0810472554131719	0.088	0.025	0.063
Trpc3	5.27693322342825e-06	7.1901814340134	0.0945520894973874	0.039	0	0.039
Clcn4	5.82028374929714e-06	1.47170080611469	0.104287844219906	0.129	0.053	0.076
Chst11	6.91117888203926e-06	0.318228871269855	0.123834503208379	0.808	0.714	0.0940000000000001
B3galt2	7.03538206293586e-06	-2.02779567845326	0.126059975803685	0.016	0.065	0.049
Usp10	7.98141104295995e-06	1.36296122277203	0.143010923067756	0.125	0.05	0.075
Pdgfra	8.20980155366534e-06	0.315686833548797	0.147103224238575	0.806	0.718	0.0880000000000001
Macf1	8.42959084229138e-06	0.251247660292296	0.151041408712177	0.747	0.637	0.11
Ggact	8.71440126957931e-06	-1.64542030526189	0.156144641948322	0.037	0.099	0.062
Myo5a	8.93929414885855e-06	0.4590858819879	0.160174272559248	0.584	0.475	0.109
Creg2	8.96866494357815e-06	-2.32069892642432	0.160700538459033	0.011	0.055	0.044
