gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Pcdh9	1.07677832779157e-18	-0.380802626672351	1.92937140773694e-14	0.999	1	0.001
Syt1	4.91931889647647e-18	-2.2037185284459	8.81443559870654e-14	0.045	0.208	0.163
Nlgn1	4.84852411240846e-17	-0.334792796937313	8.68758550461348e-13	1	1	0
Foxp2	5.93907966446775e-17	3.43729177833996	1.06416429427933e-12	0.153	0.006	0.147
Lsamp	9.2792778009282e-17	-0.278321227411885	1.66266099637032e-12	1	1	0
Csmd1	3.39759172590672e-16	-0.33851801397099	6.08780485447966e-12	1	0.998	0.002
Syt11	1.11765107626601e-15	1.25857239006874	2.00260719845343e-11	0.363	0.136	0.227
Nrxn1	2.98016581945082e-15	-0.31462508901994	5.33986111529199e-11	1	1	0
Fstl5	3.41108388560405e-15	2.26677435943617	6.11198010622534e-11	0.206	0.04	0.166
Lrrn2	2.37533044396889e-14	5.16363004538922	4.25611708950346e-10	0.121	0.002	0.119
Nrxn3	6.16803051441226e-14	-0.495522114670232	1.10518770757239e-09	0.99	0.987	0.003
Kcnip4	2.06238695012289e-13	-1.75083598902388	3.69538493723019e-09	0.086	0.238	0.152
Rbfox1	2.21966983723002e-13	-0.476902325375299	3.97720441434876e-09	0.972	0.972	0
Plcb1	9.11460378902749e-13	-0.474001204197542	1.63315470691795e-08	0.924	0.921	0.003
Dlg2	7.94622393820198e-12	-0.417523607063893	1.42380440524703e-07	0.99	0.987	0.003
Ctnna2	1.37475718294857e-11	-0.385852116557515	2.46328992040725e-07	0.99	0.979	0.011
Far1	1.38815258278769e-11	1.46784294073954	2.48729179783898e-07	0.223	0.068	0.155
Cers4	1.72409493408011e-11	1.49251216314798	3.08923330288474e-07	0.226	0.076	0.15
Lrp1b	2.25410020132411e-11	-0.270707525609145	4.03889674073254e-07	1	1	0
Nkain2	3.42321018672468e-11	-1.69928331852956	6.13370801257328e-07	0.079	0.206	0.127
Smarca1	3.7654002524374e-11	2.72639175249153	6.74684417231734e-07	0.127	0.017	0.11
Cadm2	4.10962948186746e-11	-0.356986727079751	7.36363410561011e-07	0.997	0.994	0.003
Pde4dip	4.21084380255525e-11	1.06372753869865	7.5449899254185e-07	0.334	0.149	0.185
Lrrc4c	5.87864212422251e-11	-0.24265975044492	1.05333509581819e-06	1	1	0
Adamts3	1.34891856157303e-10	3.66445297580485	2.41699227862655e-06	0.099	0.006	0.093
Slc1a2	1.44591470433941e-10	-0.991417160569017	2.59078996723536e-06	0.424	0.537	0.113
Btbd8	1.59373299396121e-10	2.12739215033269	2.8556507785797e-06	0.15	0.034	0.116
Gucy1a2	1.68307411792418e-10	0.826477347300279	3.01573220449654e-06	0.372	0.17	0.202
Nrg3	1.96698063522272e-10	-0.428771019647905	3.52443590219207e-06	0.937	0.968	0.0309999999999999
Kcnd2	3.5750685968371e-10	-0.285719217312221	6.40580791181271e-06	0.997	0.998	0.001
Zfhx4	4.11077512740847e-10	2.11959262934321	7.3656868732905e-06	0.14	0.03	0.11
Zdhhc20	4.24689988338296e-10	1.05880818026687	7.60959521104559e-06	0.276	0.113	0.163
Ptprd	5.41504433223438e-10	-0.631943137375691	9.70267643449756e-06	0.554	0.665	0.111
Cul3	5.94535167025943e-10	1.32036265734539	1.06528811227708e-05	0.224	0.083	0.141
Kmt2a	6.57020456895085e-10	1.02460338522546	1.17724925466461e-05	0.302	0.132	0.17
Ano6	8.01053846396858e-10	1.52704403762392	1.43532828197389e-05	0.197	0.066	0.131
Slc41a2	1.00379542441541e-09	2.59849662163614	1.79860064146753e-05	0.121	0.021	0.1
Ryr3	1.51538714386077e-09	1.08704375968117	2.71527068436972e-05	0.283	0.125	0.158
Zfr	1.83486455479883e-09	0.767897805702404	3.28771030928854e-05	0.45	0.253	0.197
Lrrn3	2.61998035137702e-09	2.29534172395965	4.69448079359734e-05	0.122	0.023	0.099
Mgat3	2.82153711263664e-09	1.82095743068664	5.05563019842233e-05	0.144	0.036	0.108
Acvr2a	2.86858637451136e-09	1.86928676471544	5.13993306584945e-05	0.15	0.04	0.11
Afdn	3.83773568290764e-09	1.33494423675781	6.87645479663391e-05	0.208	0.076	0.132
Lrch2	5.03825363032039e-09	1.23420692289111	9.02754285480808e-05	0.217	0.083	0.134
Tcaf1	5.26585190837079e-09	1.30421525935141	9.43535344941877e-05	0.229	0.093	0.136
Snap91	7.2315728702001e-09	0.898350552289724	0.000129575322688245	0.271	0.123	0.148
Nipal2	8.34488344968146e-09	3.53566118525243	0.000149523621651392	0.083	0.006	0.077
Snhg11	1.02640379558337e-08	-1.36747633902121	0.000183911032092628	0.096	0.208	0.112
Cacna1c	1.09397135456212e-08	0.466975242910513	0.00019601778731044	0.601	0.365	0.236
Ptprr	1.13540673006726e-08	1.09467587274667	0.000203442177893452	0.248	0.106	0.142
Adcy3	1.13825899337196e-08	2.44708276071865	0.000203953246432387	0.111	0.021	0.09
Fzd3	1.29402918879879e-08	1.58017018373993	0.000231864150048967	0.152	0.045	0.107
Il1rapl1	1.62537180318213e-08	-0.277146194450879	0.000291234119694175	0.994	0.998	0.004
Itm2c	1.74772941248246e-08	4.87896150241011	0.000313158156128608	0.07	0.002	0.068
Mark2	1.77958513580603e-08	0.961575725808099	0.000318866064633725	0.28	0.125	0.155
Rc3h2	2.04459627797788e-08	0.912417457369385	0.000366350761088076	0.254	0.108	0.146
Dmxl2	2.11576008323412e-08	1.59597274163006	0.00037910189171389	0.16	0.051	0.109
Ccdc88c	2.57813486698204e-08	1.0212679948505	0.000461950205465842	0.21	0.083	0.127
Zfp36l1	2.76704618387408e-08	0.690904342065252	0.000495799335226558	0.325	0.159	0.166
Rasgef1b	2.9523787206299e-08	1.55130867841647	0.000529007219162465	0.176	0.064	0.112
Syt9	3.04789852558071e-08	2.49379591956252	0.000546122457813551	0.106	0.021	0.085
Kif26b	3.12830176337253e-08	1.39181035965098	0.00056052910996109	0.173	0.062	0.111
Pak3	3.18410154429256e-08	0.61472115946223	0.000570527314706341	0.509	0.314	0.195
Usp10	3.23413656854794e-08	1.61640862356459	0.00057949259035242	0.149	0.045	0.104
Fgf14	3.33512112540495e-08	-0.330211390995343	0.000597587003250059	0.987	0.989	0.002
Nr1d2	3.515305502255e-08	0.983003067478154	0.000629872439894052	0.292	0.14	0.152
Hsph1	4.05999459034685e-08	2.99964989775156	0.000727469830698348	0.082	0.008	0.074
Anks1b	5.59015903970465e-08	-0.209606000518254	0.00100164469673428	0.997	0.994	0.003
Ntm	7.76804375610276e-08	-0.232075637427456	0.00139187808021849	0.99	0.983	0.00700000000000001
Rab27b	9.02193849961063e-08	0.911401491618959	0.00161655094036023	0.262	0.125	0.137
Sesn3	9.5421710840984e-08	1.00972004476304	0.00170976621484875	0.277	0.134	0.143
Scamp1	9.78564715764213e-08	1.8779934434265	0.00175339225770632	0.115	0.028	0.087
Pdzd4	9.82729724591536e-08	7.22813634676188	0.00176085512052311	0.058	0	0.058
Exoc4	1.01537665201515e-07	-0.518951259548541	0.00181935188508074	0.719	0.705	0.014
Jakmip2	1.017818507426e-07	0.857213362240697	0.00182372720160591	0.289	0.142	0.147
Mpped1	1.28293705776575e-07	-5.30006253245377	0.00229876662010468	0.001	0.045	0.044
Mdga2	1.30183405625464e-07	-0.252797343078146	0.00233262626199706	0.997	0.996	0.001
Tub	1.30784532942581e-07	4.55075707252331	0.00234339726126517	0.063	0.002	0.061
Pds5b	1.44136203786105e-07	0.756565597268407	0.00258263249943943	0.389	0.219	0.17
ENSMUSG00000095041	1.45128217940067e-07	-1.39706648310082	0.00260040740905012	0.103	0.204	0.101
Dach1	1.46154462557825e-07	0.853495927282942	0.00261879566011111	0.238	0.102	0.136
Cdh18	1.4698545604535e-07	0.510904712533184	0.00263368540142058	0.343	0.183	0.16
Ythdf3	1.52504354932553e-07	0.882467251787355	0.00273257303168148	0.289	0.146	0.143
Cspg4	1.7638395228676e-07	0.323131291318644	0.00316044765707417	0.669	0.431	0.238
Hipk3	1.77072729533136e-07	1.62195860049637	0.00317278916777473	0.134	0.04	0.094
Pdzrn4	1.87555318005589e-07	0.600824677226112	0.00336061618802414	0.483	0.295	0.188
Ptbp2	2.07769603003877e-07	0.772029224528762	0.00372281574662347	0.398	0.225	0.173
Plekha6	2.08318338677049e-07	0.998181297012045	0.00373264799241536	0.245	0.115	0.13
Rbms1	2.20891022837892e-07	1.49365037475152	0.00395792534720934	0.144	0.047	0.097
Gpr155	2.25909167496004e-07	1.41071037385883	0.0040478404631934	0.117	0.03	0.087
Arpc1a	2.50592061234866e-07	1.85849420407097	0.00449010855320633	0.117	0.032	0.085
Lrrtm4	2.62100304101818e-07	-0.332638359714768	0.00469631324889638	0.985	0.996	0.011
