gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Rpl13	3.76435442973679e-21	1.4919108900971	6.74497026720238e-17	0.35	0.14	0.21
Apoe	2.93566071582087e-16	0.698475173923452	5.26011687060784e-12	0.713	0.53	0.183
Pacrg	1.38918878365046e-12	-1.21160979678235	2.48914846254489e-08	0.128	0.272	0.144
Arhgef3	3.15065289283911e-12	1.71258472627804	5.64533985338911e-08	0.227	0.097	0.13
Ptprs	1.12972964341933e-11	0.839944390416256	2.02424957507876e-07	0.479	0.329	0.15
Fth1	2.73374282600159e-11	3.29222541629007	4.89832039562964e-07	0.083	0.009	0.074
Itm2b	1.93106403637856e-10	2.24289125054836	3.4600805403831e-06	0.104	0.022	0.082
Actb	6.41524537385395e-10	1.50704066244646	1.14948366608715e-05	0.174	0.069	0.105
Rtn4	9.3559922409199e-10	-0.753808616736217	1.67640668972803e-05	0.225	0.37	0.145
Ctnna3	1.42165326524416e-09	-0.497073455916157	2.54731832066448e-05	0.5	0.646	0.146
Hsp90aa1	1.81834909972075e-09	2.96039971518977	3.25811791687965e-05	0.072	0.009	0.063
Itm2c	2.45873933878889e-09	3.19586492100975	4.40556914724193e-05	0.071	0.009	0.062
Raver2	3.30010093229884e-09	-2.98836018960214	5.91312085049306e-05	0.007	0.062	0.055
Hspa8	4.9483925278736e-09	4.92082988602033	8.86652973144391e-05	0.052	0.001	0.051
Rph3a	5.30871788761687e-09	-1.69119347899196	9.5121607110319e-05	0.032	0.108	0.076
Ltbp4	6.57378749483764e-09	3.80116555641729	0.000117789124332501	0.058	0.004	0.054
Sycp2	7.58976933383149e-09	-0.789479757590444	0.000135993486923593	0.14	0.257	0.117
Cst3	1.01558618162243e-08	1.97539284016724	0.000181972732023107	0.113	0.035	0.078
Ewsr1	1.055674167976e-08	-0.661985247602046	0.000189155697417939	0.232	0.371	0.139
Ctsd	1.60487934385493e-08	3.26287756342181	0.000287562280831927	0.06	0.006	0.054
St3gal4	1.79211349675938e-08	-0.910410447816745	0.000321110896349347	0.104	0.208	0.104
Map7d2	1.98930393675451e-08	-0.920982618792599	0.000356443479387674	0.146	0.262	0.116
Rac1	2.02046799367713e-08	1.43273988467159	0.000362027455107069	0.146	0.058	0.088
Eef1a1	9.3049444639574e-08	2.03922067192122	0.00166725994905189	0.083	0.02	0.063
Lrtm1	9.9456121472341e-08	-7.14100976568292	0.00178205478454141	0	0.035	0.035
Lpcat1	1.10353800446394e-07	1.32731847112534	0.00197731939639849	0.165	0.075	0.09
Fat3	1.16188475781881e-07	0.411731052271381	0.00208186510905974	0.664	0.549	0.115
Cox8a	1.24430413237088e-07	4.81646637213709	0.00222954414438214	0.043	0.001	0.042
Vti1b	1.31302876369272e-07	-1.25498258872423	0.00235268493878461	0.069	0.15	0.081
Crlf3	1.37827202840742e-07	-0.540596139497051	0.00246958782050041	0.259	0.38	0.121
