gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Dlg4	4.44607277522215e-17	1.8406076296692	7.96647319864305e-13	0.125	0.034	0.091
Kcnip4	2.37634381141463e-12	-1.21230658032822	4.25793284129274e-08	0.088	0.18	0.092
Foxp2	5.372242286407e-12	1.12538785173257	9.62598372878406e-08	0.149	0.064	0.085
Uty	7.80781066650784e-12	0.677381499322383	1.39900351522488e-07	0.233	0.123	0.11
Zfhx3	3.85868987201503e-11	0.804299162584059	6.91400051267652e-07	0.185	0.095	0.09
Ppp4r4	6.3318248530944e-11	1.01494362828832	1.13453637717745e-06	0.172	0.085	0.087
Rph3a	1.04887731600612e-10	-1.41082247475564	1.87937837481976e-06	0.044	0.109	0.065
Cacna1c	1.50450230691018e-10	0.343434379409919	2.69576723352166e-06	0.582	0.432	0.15
Hip1	2.65771392676472e-10	0.351196825093517	4.76209181397702e-06	0.681	0.55	0.131
Lrrc4c	1.54331663012649e-09	-0.12435141549649	2.76531473786065e-05	0.999	0.999	0
Ddx60	7.44216512928061e-09	1.54819751351312	0.00013334871478645	0.087	0.033	0.054
Eif2s3y	8.2383636217518e-09	0.63100389580566	0.000147614999374549	0.19	0.106	0.084
Stat1	8.962866177889e-09	1.09033409168148	0.000160596636175415	0.127	0.061	0.066
Fkbp5	1.42502279690567e-08	1.19907463239488	0.000255335584749559	0.105	0.046	0.059
Leng8	1.63397206177476e-08	0.752237611876987	0.000292775114028801	0.199	0.117	0.082
Rapgef6	2.2604935824384e-08	0.625653655004994	0.000405035240101313	0.21	0.126	0.084
Rps27	4.43255528704406e-08	-2.52416226277841	0.000794225256332554	0.006	0.036	0.03
Dync2h1	7.08176281196062e-08	0.59192493851537	0.0012689102606471	0.236	0.152	0.084
Rplp1	1.00739621331604e-07	-3.25861820038607	0.00180505253501968	0.004	0.03	0.026
Syt1	1.42911089447305e-07	-1.04770245264646	0.00256068090071681	0.059	0.117	0.058
Cdk16	2.03148935161747e-07	1.70227591428262	0.00364002262022819	0.059	0.019	0.04
Adgrb3	2.21903007687671e-07	-0.198770228592131	0.00397605809174769	0.967	0.967	0
Rorb	3.06968689842784e-07	0.489693658533167	0.00550026498460301	0.303	0.214	0.089
Snap25	3.14730598574697e-07	-1.30782139144799	0.00563934286526142	0.042	0.09	0.048
Chrna4	6.34791699590986e-07	2.30397061743708	0.0113741976732713	0.033	0.006	0.027
Strn4	1.16462770204503e-06	0.75794067854643	0.0208677991652428	0.161	0.097	0.064
Psma1	1.31085757237181e-06	1.42029316679753	0.023487945981758	0.063	0.024	0.039
Napb	1.50236747862234e-06	-2.19505965327672	0.0269194204819551	0.008	0.034	0.026
Magi3	1.58353242923742e-06	0.631551303414167	0.0283737340670761	0.197	0.128	0.069
Trpc5	1.72198804184701e-06	-1.2350681439743	0.0308545817338148	0.037	0.079	0.042
Cnot6l	1.80093571887426e-06	0.586045467676952	0.032269166210789	0.199	0.124	0.075
Syn3	1.80520868615678e-06	0.508557968749619	0.0323457292385572	0.229	0.151	0.078
Rnf14	1.8897669425665e-06	0.931089655550458	0.0338608440769066	0.107	0.056	0.051
Ldb2	1.95051734122629e-06	0.533264167794771	0.0349493697200926	0.19	0.117	0.073
Entpd5	2.01019395150041e-06	1.87697871705296	0.0360186552229843	0.045	0.013	0.032
Rgs17	2.03429663711963e-06	0.883974470977201	0.0364505271439095	0.112	0.058	0.054
Rufy3	2.20186384154794e-06	0.404072693008113	0.0394529963128559	0.328	0.236	0.092
Atp5a1	2.50542666933102e-06	-1.20321650161436	0.0448922350610733	0.039	0.081	0.042
Prkaa2	2.62668395926821e-06	0.872597698760091	0.0470649231821679	0.125	0.07	0.055
Yipf5	3.23946864350835e-06	0.811104916415628	0.0580447991543827	0.109	0.057	0.052
Wdr17	3.38856103316248e-06	-1.09484817360464	0.0607162365922053	0.105	0.16	0.055
Galnt17	5.03089375916769e-06	0.878459858374836	0.0901435543767667	0.094	0.048	0.046
Cxxc4	6.72998260186562e-06	0.764705412360606	0.120587828260228	0.128	0.073	0.055
