gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Wdr17	2.10216077553041e-11	-1.93002664953078	3.7666516775954e-07	0.085	0.218	0.133
Ctnna3	5.00416240483999e-11	-0.748251936445469	8.96645819699229e-07	0.532	0.656	0.124
Hip1	1.04825304672657e-10	0.604629394142749	1.87825980912468e-06	0.687	0.515	0.172
Ssbp2	2.66932231649998e-09	-1.14096597989403	4.78289172670466e-05	0.125	0.256	0.131
Atp5b	2.2146299477846e-08	-3.56686820529319	0.000396817394044045	0.005	0.061	0.056
Atp8a1	4.5592559577383e-08	-0.89885416923924	0.000816927482507548	0.224	0.353	0.129
Krit1	6.06684194918596e-08	0.896115781561027	0.00108705674045514	0.282	0.147	0.135
Rcor3	7.52183085830218e-08	-1.66734649784884	0.00134776165319058	0.055	0.145	0.09
Septin3	7.53859315666996e-08	-3.28371893272914	0.00135076512181212	0.006	0.061	0.055
Fhod3	9.30459491284482e-08	-2.41815947739638	0.00166719731648354	0.014	0.078	0.064
Zfhx4	1.25807281546724e-07	2.29653278848329	0.0022542148707542	0.102	0.025	0.077
Shtn1	1.43252448924683e-07	-2.48487931194839	0.00256679737983247	0.017	0.082	0.065
Rnf150	1.88556622059189e-07	-2.03958346655835	0.00337855755405655	0.023	0.094	0.071
BC005537	2.41932590387002e-07	-1.58781067392111	0.0043349481545543	0.052	0.135	0.083
Napb	2.46464347074731e-07	-3.38887941783937	0.00441614817088503	0.006	0.057	0.051
Sult4a1	3.32601261196626e-07	-7.09456013061236	0.00595954939812115	0	0.04	0.04
Egfem1	3.6789724060979e-07	-0.57694297492951	0.00659198275724622	0.402	0.534	0.132
Fth1	4.0105308094732e-07	-2.6202120502628	0.00718606910441407	0.011	0.067	0.056
Mkx	5.0905385023854e-07	-2.39618087063593	0.00912122688857416	0.014	0.073	0.059
Kansl1	6.35410974846267e-07	0.491494566220595	0.0113852938472954	0.635	0.492	0.143
Rnasek	6.39822040666145e-07	-7.2378323709244	0.011464331324656	0	0.038	0.038
Ankrd10	1.73942808239738e-06	1.1998181091526	0.0311670723803962	0.174	0.08	0.094
Stx12	2.08382064362762e-06	1.44536333475721	0.0373378982925197	0.131	0.05	0.081
Tnrc6c	2.13962841086104e-06	0.57869573392628	0.0383378618658081	0.466	0.328	0.138
Nav1	2.35943325016819e-06	0.340856076101724	0.0422763249765137	0.822	0.752	0.07
Adss	2.77286188742805e-06	-2.84727701564028	0.0496841392989357	0.008	0.053	0.045
Sgk1	2.98494921206968e-06	0.629398680070953	0.0534843199818646	0.396	0.269	0.127
Hspa4l	3.24392377648966e-06	-3.9718495608796	0.0581246262271417	0.002	0.038	0.036
Elob	4.5570892540716e-06	-7.14821103308647	0.0816539252544548	0	0.032	0.032
Ganab	4.57717596916039e-06	1.36747512786938	0.0820138390154159	0.111	0.038	0.073
Trpc3	4.77208099637681e-06	6.89021233820531	0.0855061472930796	0.039	0	0.039
Creg2	5.2970920307975e-06	-2.46055456165337	0.0949132950078296	0.009	0.055	0.046
Slc4a10	5.37065558038245e-06	-1.1484502795501	0.0962314066892927	0.067	0.149	0.082
Plxna2	5.76866801023715e-06	-2.05555341390128	0.103362993407429	0.022	0.078	0.056
Gls	6.07221973560194e-06	-1.12291947278176	0.108802033222516	0.113	0.202	0.089
Zfp638	6.10263028229324e-06	0.47824800653777	0.10934692939813	0.513	0.378	0.135
Rpl41	6.70324300012091e-06	-3.68285420742223	0.120108708076166	0.003	0.04	0.037
Dync2h1	7.73049577280958e-06	0.701685741929621	0.138515023257202	0.239	0.132	0.107
Pdia6	8.81947769321018e-06	-2.55794029602712	0.15802740130694	0.009	0.053	0.044
Scn8a	1.00027085972002e-05	-1.03973486012445	0.179228532644634	0.072	0.151	0.079
Kcnk1	1.15320432803872e-05	-2.57804209610557	0.206631151497978	0.011	0.055	0.044
Akr1a1	1.23357740682288e-05	-2.02185644423604	0.221032399754523	0.02	0.073	0.053
Syngr1	1.31800014006196e-05	-3.51855458175639	0.236159265096302	0.003	0.038	0.035
Chd8	1.43589000666853e-05	0.956983360765638	0.257282771394868	0.194	0.103	0.091
Lrfn2	1.48710916216799e-05	-1.23811012037379	0.26646021967726	0.055	0.124	0.069
Bin1	1.60795841943491e-05	-1.23599732379324	0.288113989594347	0.056	0.126	0.07
Hook1	1.69001053221728e-05	-6.50558341306916	0.302816087162692	0	0.029	0.029
Nucks1	1.69693232138759e-05	-1.46087325011185	0.304056333346229	0.049	0.115	0.066
Rph3a	1.71589760381564e-05	-1.22592063004293	0.307454532651687	0.067	0.141	0.074
Abcc5	1.72102065181802e-05	0.551627918194319	0.308372480392753	0.355	0.233	0.122
Phldb1	1.89538448959025e-05	0.420296713589714	0.339614992844781	0.523	0.387	0.136
Fgfr2	1.99663090280273e-05	-0.691438683579238	0.357756325164193	0.214	0.311	0.097
