Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:1900272,negative regulation of long-term synaptic potentiation,19_GO:0048519 negative regulation of biological process,-7.2,3.6e+02,33,30286,14,18,3,17,8.8,348|5621|5764,APOE|PRNP|PTN,-2.9,Abi2
GO Biological Processes,19,GO:0050807,regulation of synapse organization,19_GO:0050789 regulation of biological process,-6.6,35,13,30286,243,18,5,28,11,348|2823|5621|7534|22883,APOE|GPM6A|PRNP|YWHAZ|CLSTN1,-2.7,Abi2
GO Biological Processes,19,GO:0050803,regulation of synapse structure or activity,19_GO:0065007 biological regulation,-6.5,34,13,30286,249,18,5,28,11,348|2823|5621|7534|22883,APOE|GPM6A|PRNP|YWHAZ|CLSTN1,-2.7,Abi2
GO Biological Processes,19,GO:0034330,cell junction organization,19_GO:0009987 cellular process,-6.3,19,10,30286,533,18,6,33,11,348|2557|2823|5621|27445|81671,APOE|GABRA4|GPM6A|PRNP|PCLO|VMP1,-2.6,Abi2
GO Biological Processes,19,GO:0050808,synapse organization,19_GO:0009987 cellular process,-5.9,25,11,30286,337,18,5,28,11,348|2557|2823|5621|27445,APOE|GABRA4|GPM6A|PRNP|PCLO,-2.3,Abi2
GO Biological Processes,19,GO:1900271,regulation of long-term synaptic potentiation,19_GO:0048518 positive regulation of biological process,-5.6,1.1e+02,18,30286,47,18,3,17,8.8,348|5621|5764,APOE|PRNP|PTN,-2,Abi2
GO Biological Processes,19,GO:0034329,cell junction assembly,19_GO:0009987 cellular process,-4.7,24,9.4,30286,283,18,4,22,9.8,2557|2823|27445|81671,GABRA4|GPM6A|PCLO|VMP1,-1.2,Abi2
GO Biological Processes,19,GO:0007416,synapse assembly,19_GO:0032502 developmental process,-4.4,43,11,30286,117,18,3,17,8.8,2557|2823|27445,GABRA4|GPM6A|PCLO,-0.93,Abi2
GO Biological Processes,19,GO:0007613,memory,19_GO:0032501 multicellular organismal process,-4.3,40,11,30286,126,18,3,17,8.8,348|5621|5764,APOE|PRNP|PTN,-0.89,Abi2
GO Biological Processes,19,GO:0050804,modulation of chemical synaptic transmission,19_GO:0050789 regulation of biological process,-3.8,14,6.9,30286,493,18,4,22,9.8,348|5621|5764|22883,APOE|PRNP|PTN|CLSTN1,-0.46,Abi2
GO Biological Processes,19,GO:0099177,regulation of trans-synaptic signaling,19_GO:0050789 regulation of biological process,-3.7,14,6.9,30286,494,18,4,22,9.8,348|5621|5764|22883,APOE|PRNP|PTN|CLSTN1,-0.46,Abi2
GO Biological Processes,19,GO:0048167,regulation of synaptic plasticity,19_GO:0050789 regulation of biological process,-3.6,23,8,30286,216,18,3,17,8.8,348|5621|5764,APOE|PRNP|PTN,-0.32,Abi2
GO Biological Processes,19,GO:0120035,regulation of plasma membrane bounded cell projection organization,19_GO:0050789 regulation of biological process,-3.3,10,5.8,30286,659,18,4,22,9.8,348|2823|5621|5764,APOE|GPM6A|PRNP|PTN,-0.08,Abi2
GO Biological Processes,19,GO:0007611,learning or memory,19_GO:0032501 multicellular organismal process,-3.2,18,7,30286,278,18,3,17,8.8,348|5621|5764,APOE|PRNP|PTN,-0.08,Abi2
