_MEMBER_Abi2,_LogP_Abi2,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-6.6,C0018523,M1,1,0,DisGeNET,35,Hallervorden-Spatz Syndrome,,-6.6,2.3e+02,26,30286,22,18,3,17,8.8,348|5764|7534,APOE|PTN|YWHAZ,-2.1,0
1,-5.1,C0085220,M1,1,0,DisGeNET,35,Cerebral Amyloid Angiopathy,,-5.1,78,15,30286,65,18,3,17,8.8,348|1471|5621,APOE|CST3|PRNP,-1.1,0
1,-5,C0234985,M1,1,0,DisGeNET,35,Mental deterioration,,-5,17,8.6,30286,508,18,5,28,11,348|1471|2557|5621|7534,APOE|CST3|GABRA4|PRNP|YWHAZ,-1.1,0
1,-4.8,C0751713,M1,1,0,DisGeNET,35,"Inclusion Body Myopathy, Sporadic",,-4.8,60,13,30286,84,18,3,17,8.8,348|1471|5621,APOE|CST3|PRNP,-1.1,0
1,-4.8,C0525045,M1,1,0,DisGeNET,35,Mood Disorders,,-4.8,15,8,30286,580,18,5,28,11,348|2823|5621|7534|27445,APOE|GPM6A|PRNP|YWHAZ|PCLO,-1.1,0
1,-4.6,C4086152,M1,1,0,DisGeNET,35,Childhood Astrocytoma,,-4.6,14,7.7,30286,615,18,5,28,11,348|1471|2495|5621|7534,APOE|CST3|FTH1|PRNP|YWHAZ,-1.1,0
1,-4.6,C0546126,M1,1,0,DisGeNET,35,Acute Confusional Senile Dementia,,-4.6,51,12,30286,99,18,3,17,8.8,348|1471|5621,APOE|CST3|PRNP,-1.1,0
1,-4.6,C0750900,M1,1,0,DisGeNET,35,"Alzheimer's Disease, Focal Onset",,-4.6,51,12,30286,99,18,3,17,8.8,348|1471|5621,APOE|CST3|PRNP,-1.1,0
1,-4.5,C0041696,M1,1,0,DisGeNET,35,Unipolar Depression,,-4.5,13,7.6,30286,641,18,5,28,11,348|2495|2823|5621|27445,APOE|FTH1|GPM6A|PRNP|PCLO,-1.1,0
1,-4.4,C1842937,M1,1,0,DisGeNET,35,"AURAL ATRESIA, CONGENITAL",,-4.4,46,12,30286,110,18,3,17,8.8,348|1471|5621,APOE|CST3|PRNP,-1.1,0
1,-4.4,C3811918,M1,1,0,DisGeNET,35,GRN-related frontotemporal dementia,,-4.4,45,11,30286,112,18,3,17,8.8,348|1471|5621,APOE|CST3|PRNP,-1.1,0
1,-4.3,C2936349,M1,1,0,DisGeNET,35,"Plaque, Amyloid",,-4.3,41,11,30286,123,18,3,17,8.8,348|1471|5621,APOE|CST3|PRNP,-0.99,0
1,-4.2,C0242422,M1,1,0,DisGeNET,35,Parkinsonian Disorders,,-4.2,18,8.1,30286,373,18,4,22,9.8,348|1471|5621|7534,APOE|CST3|PRNP|YWHAZ,-0.94,0
1,-4,C0271084,M1,1,0,DisGeNET,35,Exudative age-related macular degeneration,,-4,32,9.5,30286,158,18,3,17,8.8,348|1471|5764,APOE|CST3|PTN,-0.76,0
1,-4,C0002895,M1,1,0,DisGeNET,35,"Anemia, Sickle Cell",,-4,16,7.4,30286,433,18,4,22,9.8,348|1471|5621|79966,APOE|CST3|PRNP|SCD5,-0.76,0
1,-3.9,C0018378,M1,1,0,DisGeNET,35,Guillain-Barre Syndrome,,-3.9,31,9.4,30286,163,18,3,17,8.8,348|1471|7534,APOE|CST3|YWHAZ,-0.75,0
1,-3.8,C0750901,M1,1,0,DisGeNET,35,"Alzheimer Disease, Early Onset",,-3.8,29,9,30286,174,18,3,17,8.8,348|1471|5621,APOE|CST3|PRNP,-0.71,0
1,-3.8,C0038868,M1,1,0,DisGeNET,35,Progressive supranuclear palsy,,-3.8,29,9,30286,176,18,3,17,8.8,348|1471|5621,APOE|CST3|PRNP,-0.71,0
1,-3.7,C0751072,M1,1,0,DisGeNET,35,Frontotemporal Lobar Degeneration,,-3.7,26,8.5,30286,195,18,3,17,8.8,348|1471|5621,APOE|CST3|PRNP,-0.63,0
1,-3.7,C0017665,M1,1,0,DisGeNET,35,Membranous glomerulonephritis,,-3.7,26,8.5,30286,197,18,3,17,8.8,348|1471|7534,APOE|CST3|YWHAZ,-0.63,0
1,-3.6,C0270824,M1,1,0,DisGeNET,35,Visual seizure,,-3.6,24,8.2,30286,209,18,3,17,8.8,348|5764|7534,APOE|PTN|YWHAZ,-0.58,0
1,-3.6,C0011269,M1,1,0,DisGeNET,35,"Dementia, Vascular",,-3.6,24,8.1,30286,212,18,3,17,8.8,348|1471|5621,APOE|CST3|PRNP,-0.58,0
1,-3.5,C0268731,M1,1,0,DisGeNET,35,Renal glomerular disease,,-3.5,23,7.9,30286,221,18,3,17,8.8,348|1471|7534,APOE|CST3|YWHAZ,-0.54,0
