_MEMBER_Sulf1,_LogP_Sulf1,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.8,hsa05131,Shigellosis,M1,1,0
1,-2.3,GO:0019221,cytokine-mediated signaling pathway,M1,1,0
1,-2,R-HSA-449147,Signaling by Interleukins,M1,1,0
1,-2.3,GO:0009615,response to virus,M1,1,0
1,-2.8,GO:0032103,positive regulation of response to external stimulus,M1,1,0
1,-2.4,R-HSA-372790,Signaling by GPCR,M1,1,0
1,-3.1,M5913,HALLMARK INTERFERON GAMMA RESPONSE,M1,1,0
1,-3.5,GO:0010977,negative regulation of neuron projection development,M1,1,0
1,-2.3,M5885,NABA MATRISOME ASSOCIATED,M1,1,0
1,-2.9,M3468,NABA ECM REGULATORS,M1,1,0
1,-2.6,R-HSA-388396,GPCR downstream signalling,M1,1,0
1,-3.1,GO:0031345,negative regulation of cell projection organization,M1,1,0
1,-2.2,GO:0043254,regulation of protein-containing complex assembly,M1,1,0
1,-3.5,GO:0031344,regulation of cell projection organization,M1,1,0
1,-3.6,R-HSA-109582,Hemostasis,M1,1,0
1,-2.7,GO:0051607,defense response to virus,M1,1,0
1,-3.3,GO:0051129,negative regulation of cellular component organization,M1,1,0
1,-2.1,GO:0010975,regulation of neuron projection development,M1,1,0
1,-3.3,GO:0071345,cellular response to cytokine stimulus,M1,1,0
1,-2,R-HSA-500792,GPCR ligand binding,M1,1,0
1,-2.2,GO:0015711,organic anion transport,M1,1,0
1,-2.5,R-HSA-418594,G alpha (i) signalling events,M1,1,0
1,-2.7,GO:0048729,tissue morphogenesis,M1,1,0
1,-4,R-HSA-76002,"Platelet activation, signaling and aggregation",M1,1,0
1,-3.5,GO:0120035,regulation of plasma membrane bounded cell projection organization,M1,1,0
1,-3.1,M5930,HALLMARK EPITHELIAL MESENCHYMAL TRANSITION,M1,1,0
1,-2.3,GO:0032535,regulation of cellular component size,M1,1,0
1,-3.2,GO:0031349,positive regulation of defense response,M1,1,0
1,-3.2,R-HSA-1280215,Cytokine Signaling in Immune system,M1,1,0
1,-2.6,GO:0002833,positive regulation of response to biotic stimulus,M1,1,0
1,-2.5,GO:0042060,wound healing,M1,1,0
1,-2.1,GO:0032102,negative regulation of response to external stimulus,M1,1,0
1,-2.9,GO:0007188,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,M1,1,0
1,-4.1,M5897,HALLMARK IL6 JAK STAT3 SIGNALING,M1,1,0
1,-2.3,GO:0002697,regulation of immune effector process,M1,1,0
1,-2.1,GO:0040013,negative regulation of locomotion,M1,1,0
1,-3.2,GO:0045088,regulation of innate immune response,M1,1,0
1,-2.7,GO:0045089,positive regulation of innate immune response,M1,1,0
1,-2.3,GO:0002253,activation of immune response,M1,1,0
1,-3.2,GO:0009611,response to wounding,M1,1,0
1,-2.9,GO:0002831,regulation of response to biotic stimulus,M1,1,0
1,-3.2,GO:0045087,innate immune response,M1,1,0
1,-2.8,GO:0006954,inflammatory response,M1,1,0
1,-4.6,GO:0050778,positive regulation of immune response,M1,1,0
1,-3.1,GO:0002009,morphogenesis of an epithelium,M1,1,0
