Gene,TotalEvidenceCounts,EvidenceHit:Sulf1,EvidenceGO:Sulf1,EvidencePPI:Sulf1
9630,2.0,1,0,1
960,2.0,1,1,0
1903,2.0,1,0,1
9180,2.0,1,1,0
2788,2.0,1,0,1
3554,2.0,1,1,0
6344,2.0,1,0,1
57188,1.0,1,0,0
8611,1.0,1,0,0
84166,1.0,1,0,0
8038,1.0,1,0,0
729438,1.0,1,0,0
721,1.0,1,0,0
710,1.0,1,0,0
60386,1.0,1,0,0
10512,1.0,1,0,0
55799,1.0,1,0,0
144402,1.0,1,0,0
5216,1.0,1,0,0
5074,1.0,1,0,0
374569,1.0,1,0,0
342035,1.0,1,0,0
29015,1.0,1,0,0
2670,1.0,1,0,0
2634,1.0,1,0,0
23671,1.0,1,0,0
1809,1.0,1,0,0
55601,1.0,1,0,0
