_MEMBER_Per2,Gene,_PATTERN_,_WEIGHTED_RANK_,_RANK_
1,5625,M1,0.058823529411764705,1
1,23626,M1,0.058823529411764705,1
1,728586,M1,0.058823529411764705,1
1,8863,M1,0.058823529411764705,1
1,56261,M1,0.058823529411764705,1
1,153222,M1,0.058823529411764705,1
1,23230,M1,0.058823529411764705,1
1,1687,M1,0.058823529411764705,1
1,11069,M1,0.058823529411764705,1
1,25902,M1,0.058823529411764705,1
1,192668,M1,0.058823529411764705,1
1,55342,M1,0.058823529411764705,1
1,9844,M1,0.058823529411764705,1
1,9376,M1,0.058823529411764705,1
1,286257,M1,0.058823529411764705,1
1,150209,M1,0.058823529411764705,1
1,2289,M1,0.058823529411764705,1
