Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Canonical Pathways,11,M3468,NABA ECM REGULATORS,,-5.2,32,11,30286,238,16,4,25,11,4325|5125|7092|81792,MMP16|PCSK5|TLL1|ADAMTS12,-1.2,Desi2
GO Biological Processes,19,GO:0030198,extracellular matrix organization,19_GO:0009987 cellular process,-5,28,10,30286,274,16,4,25,11,4325|7092|81792|144165,MMP16|TLL1|ADAMTS12|PRICKLE1,-1.2,Desi2
GO Biological Processes,19,GO:0043062,extracellular structure organization,19_GO:0009987 cellular process,-5,28,10,30286,275,16,4,25,11,4325|7092|81792|144165,MMP16|TLL1|ADAMTS12|PRICKLE1,-1.2,Desi2
GO Biological Processes,19,GO:0045229,external encapsulating structure organization,19_GO:0009987 cellular process,-4.9,27,10,30286,276,16,4,25,11,4325|7092|81792|144165,MMP16|TLL1|ADAMTS12|PRICKLE1,-1.2,Desi2
GO Biological Processes,19,GO:0016358,dendrite development,19_GO:0032502 developmental process,-4.6,51,12,30286,111,16,3,19,9.8,10160|51473|144165,FARP1|DCDC2|PRICKLE1,-0.96,Desi2
Canonical Pathways,11,M5885,NABA MATRISOME ASSOCIATED,,-4.5,13,7.4,30286,751,16,5,31,12,4325|5125|7092|81792|84898,MMP16|PCSK5|TLL1|ADAMTS12|PLXDC2,-0.94,Desi2
GO Biological Processes,19,GO:0001501,skeletal system development,19_GO:0032502 developmental process,-3.9,15,7.3,30286,501,16,4,25,11,4325|5125|7092|81792,MMP16|PCSK5|TLL1|ADAMTS12,-0.46,Desi2
GO Biological Processes,19,GO:0016485,protein processing,19_GO:0008152 metabolic process,-3.9,30,9.2,30286,191,16,3,19,9.8,4325|5125|7092,MMP16|PCSK5|TLL1,-0.46,Desi2
GO Biological Processes,19,GO:0001503,ossification,19_GO:0032501 multicellular organismal process,-3.4,20,7.4,30286,285,16,3,19,9.8,4325|81792|144165,MMP16|ADAMTS12|PRICKLE1,-0.0019,Desi2
GO Biological Processes,19,GO:0032940,secretion by cell,19_GO:0051179 localization,-2.9,14,6,30286,412,16,3,19,9.8,5125|26059|144165,PCSK5|ERC2|PRICKLE1,0,Desi2
