Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Reactome Gene Sets,6,R-HSA-168273,Influenza Viral RNA Transcription and Replication,,-17,89,30,30286,136,25,10,40,9.8,6133|6139|6157|6159|6161|6164|6175|6202|6217|9883,RPL9|RPL17|RPL27A|RPL29|RPL32|RPL34|RPLP0|RPS8|RPS16|POM121,-13,Itm2c
CORUM,33,CORUM:306,"Ribosome, cytoplasmic",,-17,1.4e+02,35,30286,80,25,9,36,9.6,6133|6139|6157|6159|6161|6164|6175|6202|6217,RPL9|RPL17|RPL27A|RPL29|RPL32|RPL34|RPLP0|RPS8|RPS16,-13,Itm2c
Reactome Gene Sets,6,R-HSA-192823,Viral mRNA Translation,,-17,1.2e+02,33,30286,90,25,9,36,9.6,6133|6139|6157|6159|6161|6164|6175|6202|6217,RPL9|RPL17|RPL27A|RPL29|RPL32|RPL34|RPLP0|RPS8|RPS16,-13,Itm2c
Reactome Gene Sets,6,R-HSA-156902,Peptide chain elongation,,-17,1.2e+02,33,30286,90,25,9,36,9.6,6133|6139|6157|6159|6161|6164|6175|6202|6217,RPL9|RPL17|RPL27A|RPL29|RPL32|RPL34|RPLP0|RPS8|RPS16,-13,Itm2c
Reactome Gene Sets,6,R-HSA-168255,Influenza Infection,,-16,77,28,30286,157,25,10,40,9.8,6133|6139|6157|6159|6161|6164|6175|6202|6217|9883,RPL9|RPL17|RPL27A|RPL29|RPL32|RPL34|RPLP0|RPS8|RPS16|POM121,-13,Itm2c
Reactome Gene Sets,6,R-HSA-72764,Eukaryotic Translation Termination,,-16,1.2e+02,32,30286,94,25,9,36,9.6,6133|6139|6157|6159|6161|6164|6175|6202|6217,RPL9|RPL17|RPL27A|RPL29|RPL32|RPL34|RPLP0|RPS8|RPS16,-13,Itm2c
Reactome Gene Sets,6,R-HSA-2408557,Selenocysteine synthesis,,-16,1.2e+02,32,30286,94,25,9,36,9.6,6133|6139|6157|6159|6161|6164|6175|6202|6217,RPL9|RPL17|RPL27A|RPL29|RPL32|RPL34|RPLP0|RPS8|RPS16,-13,Itm2c
Reactome Gene Sets,6,R-HSA-156842,Eukaryotic Translation Elongation,,-16,1.2e+02,32,30286,94,25,9,36,9.6,6133|6139|6157|6159|6161|6164|6175|6202|6217,RPL9|RPL17|RPL27A|RPL29|RPL32|RPL34|RPLP0|RPS8|RPS16,-13,Itm2c
Reactome Gene Sets,6,R-HSA-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),,-16,1.1e+02,32,30286,96,25,9,36,9.6,6133|6139|6157|6159|6161|6164|6175|6202|6217,RPL9|RPL17|RPL27A|RPL29|RPL32|RPL34|RPLP0|RPS8|RPS16,-13,Itm2c
Reactome Gene Sets,6,R-HSA-9633012,Response of EIF2AK4 (GCN2) to amino acid deficiency,,-16,1.1e+02,31,30286,102,25,9,36,9.6,6133|6139|6157|6159|6161|6164|6175|6202|6217,RPL9|RPL17|RPL27A|RPL29|RPL32|RPL34|RPLP0|RPS8|RPS16,-13,Itm2c
