Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
Itm2c,CORUM,33,CORUM:306,"Ribosome, cytoplasmic",,-20,2.4e+02,47,30286,80,14,9,64,13,6133|6139|6157|6159|6161|6164|6175|6202|6217,RPL9|RPL17|RPL27A|RPL29|RPL32|RPL34|RPLP0|RPS8|RPS16,-17
Itm2c,Reactome Gene Sets,6,R-HSA-192823,Viral mRNA Translation,,-20,2.2e+02,44,30286,90,14,9,64,13,6133|6139|6157|6159|6161|6164|6175|6202|6217,RPL9|RPL17|RPL27A|RPL29|RPL32|RPL34|RPLP0|RPS8|RPS16,-17
Itm2c,Reactome Gene Sets,6,R-HSA-156902,Peptide chain elongation,,-20,2.2e+02,44,30286,90,14,9,64,13,6133|6139|6157|6159|6161|6164|6175|6202|6217,RPL9|RPL17|RPL27A|RPL29|RPL32|RPL34|RPLP0|RPS8|RPS16,-17
Itm2c,Reactome Gene Sets,6,R-HSA-2408557,Selenocysteine synthesis,,-19,2.1e+02,43,30286,94,14,9,64,13,6133|6139|6157|6159|6161|6164|6175|6202|6217,RPL9|RPL17|RPL27A|RPL29|RPL32|RPL34|RPLP0|RPS8|RPS16,-17
Itm2c,Reactome Gene Sets,6,R-HSA-156842,Eukaryotic Translation Elongation,,-19,2.1e+02,43,30286,94,14,9,64,13,6133|6139|6157|6159|6161|6164|6175|6202|6217,RPL9|RPL17|RPL27A|RPL29|RPL32|RPL34|RPLP0|RPS8|RPS16,-17
Itm2c,Reactome Gene Sets,6,R-HSA-72764,Eukaryotic Translation Termination,,-19,2.1e+02,43,30286,94,14,9,64,13,6133|6139|6157|6159|6161|6164|6175|6202|6217,RPL9|RPL17|RPL27A|RPL29|RPL32|RPL34|RPLP0|RPS8|RPS16,-17
Itm2c,Reactome Gene Sets,6,R-HSA-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),,-19,2e+02,43,30286,96,14,9,64,13,6133|6139|6157|6159|6161|6164|6175|6202|6217,RPL9|RPL17|RPL27A|RPL29|RPL32|RPL34|RPLP0|RPS8|RPS16,-17
Itm2c,Reactome Gene Sets,6,R-HSA-9633012,Response of EIF2AK4 (GCN2) to amino acid deficiency,,-19,1.9e+02,41,30286,102,14,9,64,13,6133|6139|6157|6159|6161|6164|6175|6202|6217,RPL9|RPL17|RPL27A|RPL29|RPL32|RPL34|RPLP0|RPS8|RPS16,-17
Itm2c,Reactome Gene Sets,6,R-HSA-72689,Formation of a pool of free 40S subunits,,-19,1.9e+02,41,30286,102,14,9,64,13,6133|6139|6157|6159|6161|6164|6175|6202|6217,RPL9|RPL17|RPL27A|RPL29|RPL32|RPL34|RPLP0|RPS8|RPS16,-17
Itm2c,Reactome Gene Sets,6,R-HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,,-19,1.7e+02,39,30286,112,14,9,64,13,6133|6139|6157|6159|6161|6164|6175|6202|6217,RPL9|RPL17|RPL27A|RPL29|RPL32|RPL34|RPLP0|RPS8|RPS16,-16
