_MEMBER_Itm2c,_LogP_Itm2c,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-16,M41752,M1,1,0,Cell Type Signatures,7,RUBENSTEIN SKELETAL MUSCLE T CELLS,,-16,67,26,30286,181,25,10,40,9.8,3726|6133|6139|6157|6159|6161|6164|6175|6202|6217,JUNB|RPL9|RPL17|RPL27A|RPL29|RPL32|RPL34|RPLP0|RPS8|RPS16,-11,0
1,-15,M40009,M1,1,0,Cell Type Signatures,7,BUSSLINGER GASTRIC PPP1R1B POSITIVE CELLS,,-15,90,28,30286,121,25,9,36,9.6,6133|6139|6157|6159|6161|6164|6175|6202|6217,RPL9|RPL17|RPL27A|RPL29|RPL32|RPL34|RPLP0|RPS8|RPS16,-11,0
1,-14,M40026,M1,1,0,Cell Type Signatures,7,BUSSLINGER DUODENAL TRANSIT AMPLIFYING CELLS,,-14,56,22,30286,194,25,9,36,9.6,6133|6139|6157|6159|6161|6164|6175|6202|6217,RPL9|RPL17|RPL27A|RPL29|RPL32|RPL34|RPLP0|RPS8|RPS16,-9.5,0
1,-12,M41652,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG PROXIMAL BASAL CELL,,-12,21,15,30286,629,25,11,44,9.9,3726|5621|6133|6139|6157|6159|6161|6164|6175|6202|6217,JUNB|PRNP|RPL9|RPL17|RPL27A|RPL29|RPL32|RPL34|RPLP0|RPS8|RPS16,-8.1,0
1,-12,M40025,M1,1,0,Cell Type Signatures,7,BUSSLINGER DUODENAL DIFFERENTIATING STEM CELLS,,-12,36,18,30286,305,25,9,36,9.6,6133|6139|6157|6159|6161|6164|6175|6202|6217,RPL9|RPL17|RPL27A|RPL29|RPL32|RPL34|RPLP0|RPS8|RPS16,-8,0
1,-12,M41748,M1,1,0,Cell Type Signatures,7,RUBENSTEIN SKELETAL MUSCLE SATELLITE CELLS,,-12,35,17,30286,310,25,9,36,9.6,3726|6133|6139|6159|6161|6164|6175|6202|6217,JUNB|RPL9|RPL17|RPL29|RPL32|RPL34|RPLP0|RPS8|RPS16,-8,0
1,-11,M40015,M1,1,0,Cell Type Signatures,7,BUSSLINGER GASTRIC LYZ POSITIVE CELLS,,-11,76,23,30286,111,25,7,28,9,6133|6139|6159|6161|6164|6175|6202,RPL9|RPL17|RPL29|RPL32|RPL34|RPLP0|RPS8,-7.8,0
1,-11,M41684,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG CD4 NAIVE T CELL,,-11,64,21,30286,132,25,7,28,9,6157|6159|6161|6164|6175|6202|6217,RPL27A|RPL29|RPL32|RPL34|RPLP0|RPS8|RPS16,-7.3,0
1,-11,M39226,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C7 PROXIMAL TUBULE EPITHELIAL CELLS S3,,-11,63,21,30286,135,25,7,28,9,514|6133|6157|6161|6164|6202|6217,ATP5F1E|RPL9|RPL27A|RPL32|RPL34|RPS8|RPS16,-7.3,0
1,-11,M39202,M1,1,0,Cell Type Signatures,7,HAY BONE MARROW NAIVE T CELL,,-11,27,15,30286,403,25,9,36,9.6,3726|6133|6139|6157|6159|6161|6164|6202|6217,JUNB|RPL9|RPL17|RPL27A|RPL29|RPL32|RPL34|RPS8|RPS16,-7.2,0
