_MEMBER_Btg2,_LogP_Btg2,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-6.006827161323412,CORUM:306,M1,1,0,CORUM,33,"Ribosome, cytoplasmic",,-6.006827161323412,141.965625,20.521391031502834,30286,80,8,3,37.5,17.116329922036442,6139|6217|23521,RPL17|RPS16|RPL13A,-2.4030768459717735,0,1,1,1,-6.006827161323412,141.965625,
1,-5.852062278612949,R-HSA-156902,M1,1,0,Reactome Gene Sets,6,Peptide chain elongation,,-5.852062278612949,126.19166666666666,19.333797153277057,30286,90,8,3,37.5,17.116329922036442,6139|6217|23521,RPL17|RPS16|RPL13A,-2.4030768459717735,0,1,0,0,-6.006827161323412,141.965625,
1,-5.852062278612949,R-HSA-192823,M1,1,0,Reactome Gene Sets,6,Viral mRNA Translation,,-5.852062278612949,126.19166666666666,19.333797153277057,30286,90,8,3,37.5,17.116329922036442,6139|6217|23521,RPL17|RPS16|RPL13A,-2.4030768459717735,0,1,0,0,-6.006827161323412,141.965625,
1,-5.794994314539832,R-HSA-156842,M1,1,0,Reactome Gene Sets,6,Eukaryotic Translation Elongation,,-5.794994314539832,120.82180851063829,18.912504563248138,30286,94,8,3,37.5,17.116329922036442,6139|6217|23521,RPL17|RPS16|RPL13A,-2.4030768459717735,0,1,0,0,-6.006827161323412,141.965625,
1,-5.794994314539832,R-HSA-2408557,M1,1,0,Reactome Gene Sets,6,Selenocysteine synthesis,,-5.794994314539832,120.82180851063829,18.912504563248138,30286,94,8,3,37.5,17.116329922036442,6139|6217|23521,RPL17|RPS16|RPL13A,-2.4030768459717735,0,1,0,0,-6.006827161323412,141.965625,
1,-5.794994314539832,R-HSA-72764,M1,1,0,Reactome Gene Sets,6,Eukaryotic Translation Termination,,-5.794994314539832,120.82180851063829,18.912504563248138,30286,94,8,3,37.5,17.116329922036442,6139|6217|23521,RPL17|RPS16|RPL13A,-2.4030768459717735,0,1,0,0,-6.006827161323412,141.965625,
1,-5.767377996534539,R-HSA-975956,M1,1,0,Reactome Gene Sets,6,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),,-5.767377996534539,118.3046875,18.711759076335333,30286,96,8,3,37.5,17.116329922036442,6139|6217|23521,RPL17|RPS16|RPL13A,-2.4030768459717735,0,1,0,0,-6.006827161323412,141.965625,
1,-5.687902399764362,R-HSA-72689,M1,1,0,Reactome Gene Sets,6,Formation of a pool of free 40S subunits,,-5.687902399764362,111.34558823529412,18.145203955963275,30286,102,8,3,37.5,17.116329922036442,6139|6217|23521,RPL17|RPS16|RPL13A,-2.4030768459717735,0,1,0,0,-6.006827161323412,141.965625,
1,-5.687902399764362,R-HSA-9633012,M1,1,0,Reactome Gene Sets,6,Response of EIF2AK4 (GCN2) to amino acid deficiency,,-5.687902399764362,111.34558823529412,18.145203955963275,30286,102,8,3,37.5,17.116329922036442,6139|6217|23521,RPL17|RPS16|RPL13A,-2.4030768459717735,0,1,0,0,-6.006827161323412,141.965625,
1,-5.662460969620534,CORUM:3055,M1,1,0,CORUM,33,Nop56p-associated pre-rRNA complex,,-5.662460969620534,109.20432692307692,17.967285976766963,30286,104,8,3,37.5,17.116329922036442,6139|6217|23521,RPL17|RPS16|RPL13A,-2.4030768459717735,0,1,0,0,-6.006827161323412,141.965625,
1,-5.565429098261904,R-HSA-156827,M1,1,0,Reactome Gene Sets,6,L13a-mediated translational silencing of Ceruloplasmin expression,,-5.565429098261904,101.40401785714286,17.303694971456338,30286,112,8,3,37.5,17.116329922036442,6139|6217|23521,RPL17|RPS16|RPL13A,-2.4030768459717735,0,1,0,0,-6.006827161323412,141.965625,
1,-5.553797229245517,R-HSA-1799339,M1,1,0,Reactome Gene Sets,6,SRP-dependent cotranslational protein targeting to membrane,,-5.553797229245517,100.5066371681416,17.225713314030266,30286,113,8,3,37.5,17.116329922036442,6139|6217|23521,RPL17|RPS16|RPL13A,-2.4030768459717735,0,1,0,0,-6.006827161323412,141.965625,
1,-5.553797229245517,R-HSA-72706,M1,1,0,Reactome Gene Sets,6,GTP hydrolysis and joining of the 60S ribosomal subunit,,-5.553797229245517,100.5066371681416,17.225713314030266,30286,113,8,3,37.5,17.116329922036442,6139|6217|23521,RPL17|RPS16|RPL13A,-2.4030768459717735,0,1,0,0,-6.006827161323412,141.965625,
1,-5.51951766718156,R-HSA-927802,M1,1,0,Reactome Gene Sets,6,Nonsense-Mediated Decay (NMD),,-5.51951766718156,97.90732758620689,16.99781690675857,30286,116,8,3,37.5,17.116329922036442,6139|6217|23521,RPL17|RPS16|RPL13A,-2.4030768459717735,0,1,0,0,-6.006827161323412,141.965625,
1,-5.51951766718156,R-HSA-975957,M1,1,0,Reactome Gene Sets,6,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),,-5.51951766718156,97.90732758620689,16.99781690675857,30286,116,8,3,37.5,17.116329922036442,6139|6217|23521,RPL17|RPS16|RPL13A,-2.4030768459717735,0,1,0,0,-6.006827161323412,141.965625,
1,-5.486125200302842,R-HSA-2408522,M1,1,0,Reactome Gene Sets,6,Selenoamino acid metabolism,,-5.486125200302842,95.4390756302521,16.77854653574681,30286,119,8,3,37.5,17.116329922036442,6139|6217|23521,RPL17|RPS16|RPL13A,-2.4030768459717735,0,1,0,0,-6.006827161323412,141.965625,
1,-5.475183712161317,R-HSA-72613,M1,1,0,Reactome Gene Sets,6,Eukaryotic Translation Initiation,,-5.475183712161317,94.64375,16.7072798315976,30286,120,8,3,37.5,17.116329922036442,6139|6217|23521,RPL17|RPS16|RPL13A,-2.4030768459717735,0,1,0,0,-6.006827161323412,141.965625,
1,-5.475183712161317,R-HSA-72737,M1,1,0,Reactome Gene Sets,6,Cap-dependent Translation Initiation,,-5.475183712161317,94.64375,16.7072798315976,30286,120,8,3,37.5,17.116329922036442,6139|6217|23521,RPL17|RPS16|RPL13A,-2.4030768459717735,0,1,0,0,-6.006827161323412,141.965625,
1,-5.401086948450445,GO:0002181,M1,1,0,GO Biological Processes,19,cytoplasmic translation,19_GO:0008152 metabolic process,-5.401086948450445,89.42716535433071,16.23208414618228,30286,127,8,3,37.5,17.116329922036442,6139|6217|23521,RPL17|RPS16|RPL13A,-2.352461178110424,0,1,0,0,-6.006827161323412,141.965625,
1,-5.311678923453238,R-HSA-168273,M1,1,0,Reactome Gene Sets,6,Influenza Viral RNA Transcription and Replication,,-5.311678923453238,83.5091911764706,15.67556906875406,30286,136,8,3,37.5,17.116329922036442,6139|6217|23521,RPL17|RPS16|RPL13A,-2.28532954782437,0,1,0,0,-6.006827161323412,141.965625,
