_MEMBER_Btg2,_LogP_Btg2,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-11,M41748,M1,1,0,Cell Type Signatures,7,RUBENSTEIN SKELETAL MUSCLE SATELLITE CELLS,,-11,73,21,30286,310,8,6,75,15,1191|3726|6139|6217|9592|23521,CLU|JUNB|RPL17|RPS16|IER2|RPL13A,-6,0
1,-9.4,M41752,M1,1,0,Cell Type Signatures,7,RUBENSTEIN SKELETAL MUSCLE T CELLS,,-9.4,1e+02,23,30286,181,8,5,62,17,3726|6139|6217|9592|23521,JUNB|RPL17|RPS16|IER2|RPL13A,-5.2,0
1,-7.8,M40009,M1,1,0,Cell Type Signatures,7,BUSSLINGER GASTRIC PPP1R1B POSITIVE CELLS,,-7.8,1.3e+02,22,30286,121,8,4,50,18,1191|6139|6217|23521,CLU|RPL17|RPS16|RPL13A,-3.8,0
1,-7.7,M39202,M1,1,0,Cell Type Signatures,7,HAY BONE MARROW NAIVE T CELL,,-7.7,47,15,30286,403,8,5,62,17,3726|6139|6217|10140|23521,JUNB|RPL17|RPS16|TOB1|RPL13A,-3.8,0
1,-7,M39321,M1,1,0,Cell Type Signatures,7,CUI DEVELOPING HEART VASCULAR ENDOTHELIAL CELL,,-7,78,18,30286,193,8,4,50,18,1191|3726|9592|10140,CLU|JUNB|IER2|TOB1,-3.2,0
1,-7,M40026,M1,1,0,Cell Type Signatures,7,BUSSLINGER DUODENAL TRANSIT AMPLIFYING CELLS,,-7,78,18,30286,194,8,4,50,18,6139|6217|9592|23521,RPL17|RPS16|IER2|RPL13A,-3.2,0
1,-6.8,M39302,M1,1,0,Cell Type Signatures,7,CUI DEVELOPING HEART C5 VALVAR CELL,,-6.8,73,17,30286,208,8,4,50,18,1191|3726|9592|10140,CLU|JUNB|IER2|TOB1,-3.2,0
1,-6.7,M41652,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG PROXIMAL BASAL CELL,,-6.7,30,12,30286,629,8,5,62,17,3726|6139|6217|10140|23521,JUNB|RPL17|RPS16|TOB1|RPL13A,-3.1,0
1,-6.4,M39174,M1,1,0,Cell Type Signatures,7,MURARO PANCREAS ACINAR CELL,,-6.4,26,11,30286,731,8,5,62,17,6139|6217|9592|10140|23521,RPL17|RPS16|IER2|TOB1|RPL13A,-2.8,0
1,-6.2,M40025,M1,1,0,Cell Type Signatures,7,BUSSLINGER DUODENAL DIFFERENTIATING STEM CELLS,,-6.2,50,14,30286,305,8,4,50,18,1191|6139|6217|23521,CLU|RPL17|RPS16|RPL13A,-2.7,0
