Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Cell Type Signatures,7,M41748,RUBENSTEIN SKELETAL MUSCLE SATELLITE CELLS,,-11,73,21,30286,310,8,6,75,15,1191|3726|6139|6217|9592|23521,CLU|JUNB|RPL17|RPS16|IER2|RPL13A,-6,Btg2
Cell Type Signatures,7,M41752,RUBENSTEIN SKELETAL MUSCLE T CELLS,,-9.4,1e+02,23,30286,181,8,5,62,17,3726|6139|6217|9592|23521,JUNB|RPL17|RPS16|IER2|RPL13A,-5.2,Btg2
Cell Type Signatures,7,M40009,BUSSLINGER GASTRIC PPP1R1B POSITIVE CELLS,,-7.8,1.3e+02,22,30286,121,8,4,50,18,1191|6139|6217|23521,CLU|RPL17|RPS16|RPL13A,-3.8,Btg2
Cell Type Signatures,7,M39202,HAY BONE MARROW NAIVE T CELL,,-7.7,47,15,30286,403,8,5,62,17,3726|6139|6217|10140|23521,JUNB|RPL17|RPS16|TOB1|RPL13A,-3.8,Btg2
Cell Type Signatures,7,M39321,CUI DEVELOPING HEART VASCULAR ENDOTHELIAL CELL,,-7,78,18,30286,193,8,4,50,18,1191|3726|9592|10140,CLU|JUNB|IER2|TOB1,-3.2,Btg2
Cell Type Signatures,7,M40026,BUSSLINGER DUODENAL TRANSIT AMPLIFYING CELLS,,-7,78,18,30286,194,8,4,50,18,6139|6217|9592|23521,RPL17|RPS16|IER2|RPL13A,-3.2,Btg2
Cell Type Signatures,7,M39302,CUI DEVELOPING HEART C5 VALVAR CELL,,-6.8,73,17,30286,208,8,4,50,18,1191|3726|9592|10140,CLU|JUNB|IER2|TOB1,-3.2,Btg2
Cell Type Signatures,7,M41652,TRAVAGLINI LUNG PROXIMAL BASAL CELL,,-6.7,30,12,30286,629,8,5,62,17,3726|6139|6217|10140|23521,JUNB|RPL17|RPS16|TOB1|RPL13A,-3.1,Btg2
Cell Type Signatures,7,M39174,MURARO PANCREAS ACINAR CELL,,-6.4,26,11,30286,731,8,5,62,17,6139|6217|9592|10140|23521,RPL17|RPS16|IER2|TOB1|RPL13A,-2.8,Btg2
Cell Type Signatures,7,M40025,BUSSLINGER DUODENAL DIFFERENTIATING STEM CELLS,,-6.2,50,14,30286,305,8,4,50,18,1191|6139|6217|23521,CLU|RPL17|RPS16|RPL13A,-2.7,Btg2
Cell Type Signatures,7,M40024,BUSSLINGER DUODENAL STEM CELLS,,-6.1,49,14,30286,311,8,4,50,18,1191|6217|9592|23521,CLU|RPS16|IER2|RPL13A,-2.7,Btg2
Cell Type Signatures,7,M40001,BUSSLINGER ESOPHAGEAL QUIESCENT BASAL CELLS,,-6.1,1.5e+02,21,30286,77,8,3,38,17,1191|3726|23521,CLU|JUNB|RPL13A,-2.6,Btg2
Cell Type Signatures,7,M39107,AIZARANI LIVER C3 NK NKT CELLS 2,,-5.1,70,14,30286,162,8,3,38,17,3726|6139|23521,JUNB|RPL17|RPL13A,-1.7,Btg2
Cell Type Signatures,7,M41651,TRAVAGLINI LUNG BASAL CELL,,-4.9,60,13,30286,188,8,3,38,17,1191|3726|23521,CLU|JUNB|RPL13A,-1.5,Btg2
Cell Type Signatures,7,M40019,BUSSLINGER GASTRIC X CELLS,,-4.9,59,13,30286,191,8,3,38,17,1191|3726|9592,CLU|JUNB|IER2,-1.5,Btg2
Cell Type Signatures,7,M41718,FAN OVARY CL16 LYMPHATIC ENDOTHELIAL CELL,,-4.6,49,12,30286,232,8,3,38,17,1191|3726|9592,CLU|JUNB|IER2,-1.3,Btg2
Cell Type Signatures,7,M41709,FAN OVARY CL7 ANGEIOGENIC ENDOTHELIAL CELL,,-4.5,45,11,30286,251,8,3,38,17,1191|3726|9592,CLU|JUNB|IER2,-1.2,Btg2
Cell Type Signatures,7,M39228,LAKE ADULT KIDNEY C9 THIN ASCENDING LIMB,,-4.4,42,11,30286,268,8,3,38,17,1191|6217|23521,CLU|RPS16|RPL13A,-1.2,Btg2
Cell Type Signatures,7,M39227,LAKE ADULT KIDNEY C8 DECENDING THIN LIMB,,-4.4,41,11,30286,278,8,3,38,17,1191|6217|23521,CLU|RPS16|RPL13A,-1.2,Btg2
COVID,200,COVID029,RNA_Liao_BALF-mild_Down,,-4.3,38,10,30286,300,8,3,38,17,6139|6217|23521,RPL17|RPS16|RPL13A,-1.1,Btg2
COVID,200,COVID010,RNA_Blanco-Melo_A549-ACE2_Up,,-4.3,38,10,30286,300,8,3,38,17,3726|9592|10140,JUNB|IER2|TOB1,-1.1,Btg2
Cell Type Signatures,7,M39237,LAKE ADULT KIDNEY C18 COLLECTING DUCT PRINCIPAL CELLS MEDULLA,,-4.2,35,10,30286,322,8,3,38,17,1191|6217|23521,CLU|RPS16|RPL13A,-1,Btg2
Cell Type Signatures,7,M39238,LAKE ADULT KIDNEY C19 COLLECTING DUCT INTERCALATED CELLS TYPE A MEDULLA,,-4.2,35,10,30286,326,8,3,38,17,1191|6217|23521,CLU|RPS16|RPL13A,-1,Btg2
Cell Type Signatures,7,M41751,RUBENSTEIN SKELETAL MUSCLE MYELOID CELLS,,-4.1,33,9.7,30286,347,8,3,38,17,3726|6139|6217,JUNB|RPL17|RPS16,-0.97,Btg2
DisGeNET,35,C0008479,Chondrosarcoma,,-4,29,9.1,30286,385,8,3,38,17,1191|3726|10140,CLU|JUNB|TOB1,-0.86,Btg2
Cell Type Signatures,7,M41717,FAN OVARY CL15 SMALL ANTRAL FOLLICLE GRANULOSA CELL,,-3.3,18,6.9,30286,645,8,3,38,17,6139|9592|10140,RPL17|IER2|TOB1,-0.21,Btg2
DisGeNET,35,C0007785,Cerebral Infarction,,-3.2,17,6.7,30286,687,8,3,38,17,3726|23521|266743,JUNB|RPL13A|NPAS4,-0.15,Btg2
