_MEMBER_Kansl1l,_LogP_Kansl1l,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.6,R-HSA-69481,G2/M Checkpoints,M1,1,0
1,-2.4,M5891,HALLMARK HYPOXIA,M1,1,0
1,-3.9,GO:0055117,regulation of cardiac muscle contraction,M1,1,0
1,-5.3,GO:0030162,regulation of proteolysis,M1,1,0
1,-2.4,R-HSA-4420097,VEGFA-VEGFR2 Pathway,M1,1,0
1,-3.3,GO:0000086,G2/M transition of mitotic cell cycle,M1,1,0
1,-3.1,R-HSA-9604323,Negative regulation of NOTCH4 signaling,M1,1,0
1,-5,GO:0005513,detection of calcium ion,M1,1,0
1,-4.9,R-HSA-9656223,Signaling by RAF1 mutants,M1,1,0
1,-2.8,GO:0051926,negative regulation of calcium ion transport,M1,1,0
1,-2.2,hsa05208,Chemical carcinogenesis - reactive oxygen species,M1,1,0
1,-2.7,R-HSA-112315,Transmission across Chemical Synapses,M1,1,0
1,-2.6,GO:1904427,positive regulation of calcium ion transmembrane transport,M1,1,0
1,-3.1,R-HSA-195258,RHO GTPase Effectors,M1,1,0
1,-3.6,R-HSA-1280218,Adaptive Immune System,M1,1,0
1,-5.7,R-HSA-983705,Signaling by the B Cell Receptor (BCR),M1,1,0
1,-2.3,GO:0030218,erythrocyte differentiation,M1,1,0
1,-6.2,R-HSA-9022535,Loss of phosphorylation of MECP2 at T308,M1,1,0
1,-4.5,hsa05022,Pathways of neurodegeneration - multiple diseases,M1,1,0
1,-2,GO:1903322,positive regulation of protein modification by small protein conjugation or removal,M1,1,0
1,-2,M186,PID PDGFRB PATHWAY,M1,1,0
1,-4.8,R-HSA-442755,Activation of NMDA receptors and postsynaptic events,M1,1,0
1,-2.2,GO:0006633,fatty acid biosynthetic process,M1,1,0
1,-2.9,GO:2001235,positive regulation of apoptotic signaling pathway,M1,1,0
1,-3,R-HSA-917937,Iron uptake and transport,M1,1,0
1,-3,GO:0065004,protein-DNA complex assembly,M1,1,0
1,-2.8,R-HSA-453279,Mitotic G1 phase and G1/S transition,M1,1,0
1,-2.8,hsa04020,Calcium signaling pathway,M1,1,0
1,-5.5,hsa05012,Parkinson disease,M1,1,0
1,-2.8,GO:0048857,neural nucleus development,M1,1,0
1,-2.9,R-HSA-3700989,Transcriptional Regulation by TP53,M1,1,0
1,-2.1,R-HSA-69239,Synthesis of DNA,M1,1,0
1,-4,R-HSA-1855204,Synthesis of IP3 and IP4 in the cytosol,M1,1,0
1,-2.5,hsa05034,Alcoholism,M1,1,0
1,-2.7,GO:0071900,regulation of protein serine/threonine kinase activity,M1,1,0
1,-2.2,GO:1903050,regulation of proteolysis involved in protein catabolic process,M1,1,0
1,-4,GO:0035458,cellular response to interferon-beta,M1,1,0
1,-5.1,R-HSA-203615,eNOS activation,M1,1,0
1,-2.7,R-HSA-70171,Glycolysis,M1,1,0
1,-4.4,GO:0042327,positive regulation of phosphorylation,M1,1,0
1,-4.9,GO:0035307,positive regulation of protein dephosphorylation,M1,1,0
1,-2.1,hsa05200,Pathways in cancer,M1,1,0
1,-2.8,GO:0050803,regulation of synapse structure or activity,M1,1,0
