_MEMBER_Kansl1l,_LogP_Kansl1l,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-7.843324244599834,R-HSA-9620244,M1,1,0,Reactome Gene Sets,6,Long-term potentiation,,-7.843324244599834,63.09583333333334,17.515811882283597,30286,24,100,5,5.0,2.1794494717703365,801|805|808|4747|4900,CALM1|CALM2|CALM3|NEFL|NRGN,-3.5159448733069842,0,1,1,1,-7.843324244599834,227.14499999999998,
1,-6.8558060492375725,GO:0051343,M1,1,0,GO Biological Processes,19,positive regulation of cyclic-nucleotide phosphodiesterase activity,19_GO:0065007 biological regulation,-6.8558060492375725,227.14499999999998,26.033689052627803,30286,4,100,3,3.0,1.7058722109231979,801|805|808,CALM1|CALM2|CALM3,-2.8294566736087043,0,1,0,0,-7.843324244599834,227.14499999999998,
1,-6.45891047761256,GO:1905913,M1,1,0,GO Biological Processes,19,negative regulation of calcium ion export across plasma membrane,19_GO:0051179 localization,-6.45891047761256,181.71599999999998,23.259881935869643,30286,5,100,3,3.0,1.7058722109231979,801|805|808,CALM1|CALM2|CALM3,-2.8208854019646377,0,1,0,0,-7.843324244599834,227.14499999999998,
1,-6.379398317880148,GO:0032516,M1,1,0,GO Biological Processes,19,positive regulation of phosphoprotein phosphatase activity,19_GO:0048518 positive regulation of biological process,-6.379398317880148,63.760000000000005,15.750199246321037,30286,19,100,4,4.0,1.9595917942265424,801|805|808|3326,CALM1|CALM2|CALM3|HSP90AB1,-2.8208854019646377,0,1,0,0,-7.843324244599834,227.14499999999998,
1,-6.300273386487125,R-HSA-5621481,M1,1,0,Reactome Gene Sets,6,C-type lectin receptors (CLRs),,-6.300273386487125,14.825314685314686,9.538076742380992,30286,143,100,7,7.0,2.551470164434615,801|805|808|4067|6500|7314|143662,CALM1|CALM2|CALM3|LYN|SKP1|UBB|MUC15,-2.8208854019646377,0,1,0,0,-7.843324244599834,227.14499999999998,
1,-6.192920907539637,R-HSA-442982,M1,1,0,Reactome Gene Sets,6,Ras activation upon Ca2+ influx through NMDA receptor,,-6.192920907539637,57.68761904761905,14.956794608968325,30286,21,100,4,4.0,1.9595917942265424,801|805|808|4747,CALM1|CALM2|CALM3|NEFL,-2.8208854019646377,0,1,0,0,-7.843324244599834,227.14499999999998,
1,-6.158924778562507,GO:1905912,M1,1,0,GO Biological Processes,19,regulation of calcium ion export across plasma membrane,19_GO:0051179 localization,-6.158924778562507,151.42999999999998,21.210121211537693,30286,6,100,3,3.0,1.7058722109231979,801|805|808,CALM1|CALM2|CALM3,-2.8208854019646377,0,1,0,0,-7.843324244599834,227.14499999999998,
1,-6.158924778562507,R-HSA-111957,M1,1,0,Reactome Gene Sets,6,Cam-PDE 1 activation,,-6.158924778562507,151.42999999999998,21.210121211537693,30286,6,100,3,3.0,1.7058722109231979,801|805|808,CALM1|CALM2|CALM3,-2.8208854019646377,0,1,0,0,-7.843324244599834,227.14499999999998,
1,-6.158924778562507,R-HSA-9022535,M1,1,0,Reactome Gene Sets,6,Loss of phosphorylation of MECP2 at T308,,-6.158924778562507,151.42999999999998,21.210121211537693,30286,6,100,3,3.0,1.7058722109231979,801|805|808,CALM1|CALM2|CALM3,-2.8208854019646377,0,1,0,0,-7.843324244599834,227.14499999999998,
1,-6.106872088099262,R-HSA-438066,M1,1,0,Reactome Gene Sets,6,"Unblocking of NMDA receptors, glutamate binding and activation",,-6.106872088099262,55.06545454545455,14.600880280989395,30286,22,100,4,4.0,1.9595917942265424,801|805|808|4747,CALM1|CALM2|CALM3|NEFL,-2.8208854019646377,0,1,0,0,-7.843324244599834,227.14499999999998,
