_MEMBER_Kansl1l,_LogP_Kansl1l,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-13,M39238,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C19 COLLECTING DUCT INTERCALATED CELLS TYPE A MEDULLA,,-13,14,14,30286,326,100,15,15,3.6,226|801|1350|2597|3021|3326|4697|6500|7167|7314|7529|10209|23710|23741|400916,ALDOA|CALM1|COX7C|GAPDH|H3-3B|HSP90AB1|NDUFA4|SKP1|TPI1|UBB|YWHAB|EIF1|GABARAPL1|EID1|CHCHD10,-8.1,0
1,-11,M39237,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C18 COLLECTING DUCT PRINCIPAL CELLS MEDULLA,,-11,13,13,30286,322,100,14,14,3.5,226|801|1350|2597|3021|3326|4697|7167|7314|7529|7534|10209|23710|23741,ALDOA|CALM1|COX7C|GAPDH|H3-3B|HSP90AB1|NDUFA4|TPI1|UBB|YWHAB|YWHAZ|EIF1|GABARAPL1|EID1,-7.3,0
1,-11,M39228,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C9 THIN ASCENDING LIMB,,-11,15,13,30286,268,100,13,13,3.4,226|801|1350|2597|3021|3183|3326|4697|7167|7314|7529|10209|23741,ALDOA|CALM1|COX7C|GAPDH|H3-3B|HNRNPC|HSP90AB1|NDUFA4|TPI1|UBB|YWHAB|EIF1|EID1,-7.2,0
1,-11,M39227,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C8 DECENDING THIN LIMB,,-11,14,13,30286,278,100,13,13,3.4,226|801|2597|3021|3183|3326|4697|6500|7167|7314|7529|10209|23741,ALDOA|CALM1|GAPDH|H3-3B|HNRNPC|HSP90AB1|NDUFA4|SKP1|TPI1|UBB|YWHAB|EIF1|EID1,-7.2,0
1,-9.9,M41712,M1,1,0,Cell Type Signatures,7,FAN OVARY CL10 PUTATIVE EARLY ATRESIA GRANULOSA CELL,,-9.9,13,12,30286,274,100,12,12,3.2,226|805|808|1350|2597|3151|4697|4718|6500|6613|7167|59286,ALDOA|CALM2|CALM3|COX7C|GAPDH|HMGN2|NDUFA4|NDUFC2|SKP1|SUMO2|TPI1|UBL5,-6.1,0
1,-9.6,M41746,M1,1,0,Cell Type Signatures,7,RUBENSTEIN SKELETAL MUSCLE SMOOTH MUSCLE CELLS,,-9.6,9.5,10,30286,445,100,14,14,3.5,226|805|808|830|1350|2597|3151|4697|6500|7167|7314|23741|59286|400916,ALDOA|CALM2|CALM3|CAPZA2|COX7C|GAPDH|HMGN2|NDUFA4|SKP1|TPI1|UBB|EID1|UBL5|CHCHD10,-5.9,0
1,-8.9,M41744,M1,1,0,Cell Type Signatures,7,RUBENSTEIN SKELETAL MUSCLE PERICYTES,,-8.9,19,12,30286,144,100,9,9,2.9,226|805|2597|3021|6500|7167|7314|7529|400916,ALDOA|CALM2|GAPDH|H3-3B|SKP1|TPI1|UBB|YWHAB|CHCHD10,-5.2,0
1,-8.7,M39229,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C10 THIN ASCENDING LIMB,,-8.7,10,10,30286,353,100,12,12,3.2,226|801|1350|2597|3021|3326|4697|7167|7314|7529|10209|23741,ALDOA|CALM1|COX7C|GAPDH|H3-3B|HSP90AB1|NDUFA4|TPI1|UBB|YWHAB|EIF1|EID1,-5.1,0
1,-8.2,M40025,M1,1,0,Cell Type Signatures,7,BUSSLINGER DUODENAL DIFFERENTIATING STEM CELLS,,-8.2,11,10,30286,305,100,11,11,3.1,805|1350|2597|3183|3190|3326|4697|7529|7534|9480|23204,CALM2|COX7C|GAPDH|HNRNPC|HNRNPK|HSP90AB1|NDUFA4|YWHAB|YWHAZ|ONECUT2|ARL6IP1,-4.7,0
1,-8.2,M41716,M1,1,0,Cell Type Signatures,7,FAN OVARY CL14 MATURE SMOOTH MUSCLE CELL,,-8.2,11,10,30286,306,100,11,11,3.1,801|805|808|830|1879|3151|4697|7314|23741|59286|400916,CALM1|CALM2|CALM3|CAPZA2|EBF1|HMGN2|NDUFA4|UBB|EID1|UBL5|CHCHD10,-4.7,0
