_MEMBER_Kansl1l,_LogP_Kansl1l,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-6.9,C3826614,M1,1,0,DisGeNET,35,Cardiac arrest in children,,-6.9,2.3e+02,26,30286,4,100,3,3,1.7,801|805|808,CALM1|CALM2|CALM3,-3.5,0
1,-6.5,C0014060,M1,1,0,DisGeNET,35,"Encephalitis, St. Louis",,-6.5,10,8.6,30286,272,100,9,9,2.9,801|805|808|3151|3183|3326|4282|6019|9447,CALM1|CALM2|CALM3|HMGN2|HNRNPC|HSP90AB1|MIF|RLN2|AIM2,-3.2,0
1,-6.5,C1708957,M1,1,0,DisGeNET,35,Mediastinal Paraganglioma,,-6.5,1.8e+02,23,30286,5,100,3,3,1.7,801|805|808,CALM1|CALM2|CALM3,-3.2,0
1,-6.5,C1833372,M1,1,0,DisGeNET,35,"HYPOCALCIURIC HYPERCALCEMIA, FAMILIAL, TYPE III",,-6.5,1.8e+02,23,30286,5,100,3,3,1.7,801|805|808,CALM1|CALM2|CALM3,-3.2,0
1,-6.5,C3203503,M1,1,0,DisGeNET,35,Mixed delirium,,-6.5,1.8e+02,23,30286,5,100,3,3,1.7,801|805|808,CALM1|CALM2|CALM3,-3.2,0
1,-6.2,C0339084,M1,1,0,DisGeNET,35,Floppy lid syndrome,,-6.2,1.5e+02,21,30286,6,100,3,3,1.7,801|805|808,CALM1|CALM2|CALM3,-3,0
1,-6.2,C0432593,M1,1,0,DisGeNET,35,Varus angulation,,-6.2,1.5e+02,21,30286,6,100,3,3,1.7,801|805|808,CALM1|CALM2|CALM3,-3,0
1,-6.2,C4524517,M1,1,0,DisGeNET,35,cutaneous squamous cell carcinoma of the head and neck,,-6.2,1.5e+02,21,30286,6,100,3,3,1.7,801|805|808,CALM1|CALM2|CALM3,-3,0
1,-5.9,C0678255,M1,1,0,DisGeNET,35,polydrug use,,-5.9,1.3e+02,20,30286,7,100,3,3,1.7,801|805|808,CALM1|CALM2|CALM3,-2.8,0
1,-5.9,C3203501,M1,1,0,DisGeNET,35,Hypoactive delirium,,-5.9,1.3e+02,20,30286,7,100,3,3,1.7,801|805|808,CALM1|CALM2|CALM3,-2.8,0
1,-5.9,C0042514,M1,1,0,DisGeNET,35,"Tachycardia, Ventricular",,-5.9,17,9.7,30286,104,100,6,6,2.4,801|805|808|6019|6500|29119,CALM1|CALM2|CALM3|RLN2|SKP1|CTNNA3,-2.8,0
1,-5.7,C1334411,M1,1,0,DisGeNET,35,Locally Metastatic Malignant Neoplasm,,-5.7,1.1e+02,18,30286,8,100,3,3,1.7,801|805|808,CALM1|CALM2|CALM3,-2.7,0
1,-5.7,C1855263,M1,1,0,DisGeNET,35,Disorganized thinking,,-5.7,1.1e+02,18,30286,8,100,3,3,1.7,801|805|808,CALM1|CALM2|CALM3,-2.7,0
1,-5.5,C1837610,M1,1,0,DisGeNET,35,ICHTHYOSIS PREMATURITY SYNDROME,,-5.5,1e+02,17,30286,9,100,3,3,1.7,801|805|808,CALM1|CALM2|CALM3,-2.5,0
1,-5.5,C3164344,M1,1,0,DisGeNET,35,Adult onset autosomal dominant leukodystrophy,,-5.5,1e+02,17,30286,9,100,3,3,1.7,801|805|808,CALM1|CALM2|CALM3,-2.5,0
1,-5.5,C0270736,M1,1,0,DisGeNET,35,Essential Tremor,,-5.5,15,8.9,30286,122,100,6,6,2.4,801|805|808|27306|27429|29119,CALM1|CALM2|CALM3|HPGDS|HTRA2|CTNNA3,-2.5,0
1,-5.3,C0494463,M1,1,0,DisGeNET,35,"Alzheimer Disease, Late Onset",,-5.3,7.1,6.9,30286,385,100,9,9,2.9,801|808|2597|3358|4900|7167|8633|27306|29119,CALM1|CALM3|GAPDH|HTR2C|NRGN|TPI1|UNC5C|HPGDS|CTNNA3,-2.3,0
1,-5,C1969623,M1,1,0,DisGeNET,35,"NEUROFIBROMATOSIS, TYPE 1-LIKE SYNDROME",,-5,70,14,30286,13,100,3,3,1.7,801|805|808,CALM1|CALM2|CALM3,-2.1,0
1,-4.9,C4721772,M1,1,0,DisGeNET,35,Postoperative delirium,,-4.9,29,10,30286,42,100,4,4,2,801|805|808|4747,CALM1|CALM2|CALM3|NEFL,-2,0
1,-4.8,C0149887,M1,1,0,DisGeNET,35,Slipped Capital Femoral Epiphyses,,-4.8,61,13,30286,15,100,3,3,1.7,801|805|808,CALM1|CALM2|CALM3,-1.9,0
1,-4.7,C0795953,M1,1,0,DisGeNET,35,MASA SYNDROME (disorder),,-4.7,57,13,30286,16,100,3,3,1.7,801|805|808,CALM1|CALM2|CALM3,-1.9,0
