_MEMBER_Kansl1l,Gene,_PATTERN_,_WEIGHTED_RANK_,_RANK_
1,3183,M1,0.01,1
1,122042,M1,0.01,1
1,7314,M1,0.01,1
1,805,M1,0.01,1
1,52,M1,0.01,1
1,64805,M1,0.01,1
1,1006,M1,0.01,1
1,408263,M1,0.01,1
1,169966,M1,0.01,1
1,4747,M1,0.01,1
1,7167,M1,0.01,1
1,4697,M1,0.01,1
1,10026,M1,0.01,1
1,10803,M1,0.01,1
1,3151,M1,0.01,1
1,373509,M1,0.01,1
1,26071,M1,0.01,1
1,26539,M1,0.01,1
1,226,M1,0.01,1
1,57408,M1,0.01,1
1,212,M1,0.01,1
1,59286,M1,0.01,1
1,4282,M1,0.01,1
1,1879,M1,0.01,1
1,401494,M1,0.01,1
1,27429,M1,0.01,1
1,3859,M1,0.01,1
1,3358,M1,0.01,1
1,128344,M1,0.01,1
1,5121,M1,0.01,1
1,143662,M1,0.01,1
1,2045,M1,0.01,1
1,415117,M1,0.01,1
1,23710,M1,0.01,1
1,23270,M1,0.01,1
1,3021,M1,0.01,1
1,284023,M1,0.01,1
1,403314,M1,0.01,1
1,5094,M1,0.01,1
1,808,M1,0.01,1
1,8633,M1,0.01,1
1,285,M1,0.01,1
1,254827,M1,0.01,1
1,4718,M1,0.01,1
1,1602,M1,0.01,1
1,55743,M1,0.01,1
1,4067,M1,0.01,1
1,4685,M1,0.01,1
1,145748,M1,0.01,1
1,3326,M1,0.01,1
1,2597,M1,0.01,1
1,257415,M1,0.01,1
1,1350,M1,0.01,1
1,5000,M1,0.01,1
1,6019,M1,0.01,1
1,84707,M1,0.01,1
1,196294,M1,0.01,1
1,7529,M1,0.01,1
1,7534,M1,0.01,1
1,3624,M1,0.01,1
1,60592,M1,0.01,1
1,9480,M1,0.01,1
1,3357,M1,0.01,1
1,1833,M1,0.01,1
1,3190,M1,0.01,1
1,90293,M1,0.01,1
1,9296,M1,0.01,1
1,55840,M1,0.01,1
1,29119,M1,0.01,1
1,4674,M1,0.01,1
1,6613,M1,0.01,1
1,57689,M1,0.01,1
1,801,M1,0.01,1
1,6500,M1,0.01,1
1,28990,M1,0.01,1
1,124512,M1,0.01,1
1,54457,M1,0.01,1
1,25907,M1,0.01,1
1,122961,M1,0.01,1
1,23741,M1,0.01,1
1,23204,M1,0.01,1
1,4900,M1,0.01,1
1,9358,M1,0.01,1
1,9447,M1,0.01,1
1,23767,M1,0.01,1
1,23452,M1,0.01,1
1,79161,M1,0.01,1
1,10209,M1,0.01,1
1,3006,M1,0.01,1
1,9934,M1,0.01,1
1,494143,M1,0.01,1
1,400916,M1,0.01,1
1,1794,M1,0.01,1
1,830,M1,0.01,1
1,87769,M1,0.01,1
1,493860,M1,0.01,1
1,151647,M1,0.01,1
1,27306,M1,0.01,1
1,1687,M1,0.01,1
1,4826,M1,0.01,1
