Gene,Gene Symbol,Description,Biological Process (GO),Kinase Class (UniProt),Protein Function (Protein Atlas),Subcellular Location (Protein Atlas),Canonical Pathways,Hallmark Gene Sets
3984,LIMK1,LIM domain kinase 1,GO:0051444 negative regulation of ubiquitin-protein transferase activity;GO:0002433 immune response-regulating cell surface receptor signaling pathway involved in phagocytosis;GO:0038096 Fc-gamma receptor signaling pathway involved in phagocytosis,yes,Enzymes; Potential drug targets; Kinases:TKL Ser/Thr protein kinases; ENZYME proteins:Transferases; Predicted intracellular proteins; Cancer-related genes:Candidate cancer biomarkers; Human disease related genes:Other congenital disorders:Chromosomal abnormalities; Disease related genes,Cytosol;Nuclear speckles (Supported),(M16801)SIG REGULATION OF THE ACTIN CYTOSKELETON BY RHO GTPASES; (M12)PID RHOA PATHWAY; (M5193)SIG CHEMOTAXIS,
6170,RPL39,ribosomal protein L39,GO:0002227 innate immune response in mucosa;GO:0002385 mucosal immune response;GO:0002251 organ or tissue specific immune response,,Ribosomal proteins; Predicted intracellular proteins,,,(M5950)HALLMARK ALLOGRAFT REJECTION
23299,BICD2,BICD cargo adaptor 2,GO:0072385 minus-end-directed organelle transport along microtubule;GO:0072393 microtubule anchoring at microtubule organizing center;GO:0034453 microtubule anchoring,,Human disease related genes:Nervous system diseases:Neurodegenerative diseases; Predicted intracellular proteins; Disease related genes,Cytosol;Golgi apparatus;Plasma membrane (Supported),,
25851,TECPR1,tectonin beta-propeller repeat containing 1,GO:1901096 regulation of autophagosome maturation;GO:0097352 autophagosome maturation;GO:0043244 regulation of protein-containing complex disassembly,,Predicted intracellular proteins,Vesicles (Supported),,
6227,RPS21,ribosomal protein S21,"GO:0000461 endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA);GO:0000447 endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);GO:0031125 rRNA 3'-end processing",,Ribosomal proteins; Predicted intracellular proteins,Cytosol;Endoplasmic reticulum (Supported),,
5863,RGL2,ral guanine nucleotide dissociation stimulator like 2,GO:0032485 regulation of Ral protein signal transduction;GO:0010667 negative regulation of cardiac muscle cell apoptotic process;GO:0010664 negative regulation of striated muscle cell apoptotic process,,Predicted intracellular proteins; RAS pathway related proteins,Nucleoplasm (Approved),,
6232,RPS27,ribosomal protein S27,GO:0000028 ribosomal small subunit assembly;GO:0042255 ribosome assembly;GO:0042274 ribosomal small subunit biogenesis,,Human disease related genes:Other congenital disorders:Ribosomopathies; Human disease related genes:Cardiovascular diseases:Hematologic diseases; Predicted intracellular proteins; Ribosomal proteins; Disease related genes,Cytosol;Endoplasmic reticulum (Approved); Additional: Nucleoli,,
773,CACNA1A,calcium voltage-gated channel subunit alpha1 A,GO:0098703 calcium ion import across plasma membrane;GO:1902656 calcium ion import into cytosol;GO:0070509 calcium ion import,,Human disease related genes:Nervous system diseases:Other nervous and sensory system diseases; Transporters:Transporter channels and pores; Human disease related genes:Nervous system diseases:Epilepsy; Voltage-gated ion channels:Voltage-Gated Calcium Channels; Predicted intracellular proteins; FDA approved drug targets:Small molecule drugs; Human disease related genes:Nervous system diseases:Neurodegenerative diseases; Disease related genes,Endoplasmic reticulum (Uncertain),,(M5942)HALLMARK UV RESPONSE DN
93145,OLFM2,olfactomedin 2,GO:1905174 regulation of vascular associated smooth muscle cell dedifferentiation;GO:0051152 positive regulation of smooth muscle cell differentiation;GO:0051150 regulation of smooth muscle cell differentiation,,Predicted secreted proteins; Predicted intracellular proteins,Nucleoplasm (Supported),,
1191,CLU,clusterin,GO:1902847 regulation of neuronal signal transduction;GO:1902998 positive regulation of neurofibrillary tangle assembly;GO:1902996 regulation of neurofibrillary tangle assembly,,Cancer-related genes:Candidate cancer biomarkers; Predicted secreted proteins; Predicted intracellular proteins; Candidate cardiovascular disease genes,Cytosol (Supported),(M254)PID MYC REPRESS PATHWAY,(M5892)HALLMARK CHOLESTEROL HOMEOSTASIS; (M5946)HALLMARK COAGULATION; (M5902)HALLMARK APOPTOSIS
