Gene,_SCORE_GRP1_,_SCORE_GRP3_,_SCORE_GRP4_,_SCORE_GRP6_,_SCORE_GRP2_,_SCORE_GRP5_,GRP1|6_R-HSA-9675108|-4.928|Nervous system development,GRP1|6_R-HSA-422475|-5.038|Axon guidance,GRP1|6_R-HSA-156902|-5.850|Peptide chain elongation,"GRP1|33_CORUM:306|-6.055|Ribosome, cytoplasmic",GRP1|6_R-HSA-192823|-5.850|Viral mRNA Translation,GRP1|6_R-HSA-156842|-5.774|Eukaryotic Translation Elongation,GRP1|6_R-HSA-2408557|-5.774|Selenocysteine synthesis,GRP1|6_R-HSA-72764|-5.774|Eukaryotic Translation Termination,GRP1|6_R-HSA-975956|-5.737|Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),GRP1|6_R-HSA-72689|-5.632|Formation of a pool of free 40S subunits,GRP1|6_R-HSA-9633012|-5.632|Response of EIF2AK4 (GCN2) to amino acid deficiency,GRP1|6_R-HSA-156827|-5.470|L13a-mediated translational silencing of Ceruloplasmin expression,GRP1|6_R-HSA-1799339|-5.455|SRP-dependent cotranslational protein targeting to membrane,GRP1|6_R-HSA-72706|-5.455|GTP hydrolysis and joining of the 60S ribosomal subunit,GRP1|6_R-HSA-927802|-5.409|Nonsense-Mediated Decay (NMD),GRP1|6_R-HSA-975957|-5.409|Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),GRP1|6_R-HSA-2408522|-5.365|Selenoamino acid metabolism,GRP1|6_R-HSA-72613|-5.351|Eukaryotic Translation Initiation,GRP1|6_R-HSA-72737|-5.351|Cap-dependent Translation Initiation,GRP1|19_GO:0002181|-5.253|cytoplasmic translation,GRP1|6_R-HSA-168273|-5.135|Influenza Viral RNA Transcription and Replication,GRP1|6_R-HSA-168255|-4.889|Influenza Infection,GRP1|6_R-HSA-9711097|-4.889|Cellular response to starvation,GRP1|24_hsa03010|-4.753|Ribosome,GRP1|6_R-HSA-9010553|-4.733|Regulation of expression of SLITs and ROBOs,GRP1|6_R-HSA-6791226|-4.609|Major pathway of rRNA processing in the nucleolus and cytosol,GRP1|6_R-HSA-8868773|-4.520|rRNA processing in the nucleus and cytosol,GRP1|6_R-HSA-72312|-4.435|rRNA processing,GRP1|6_R-HSA-376176|-4.323|Signaling by ROBO receptors,GRP1|24_hsa05171|-4.219|Coronavirus disease - COVID-19,GRP1|6_R-HSA-72766|-3.840|Translation,GRP1|6_R-HSA-71291|-3.462|Metabolism of amino acids and derivatives,GRP1|19_GO:0006412|-3.354|translation,GRP1|19_GO:0043043|-3.238|peptide biosynthetic process,GRP1|19_GO:0043604|-2.831|amide biosynthetic process,GRP1|19_GO:0006518|-2.804|peptide metabolic process,GRP1|6_R-HSA-8953854|-2.372|Metabolism of RNA,GRP2|19_GO:0001558|-3.249|regulation of cell growth,GRP2|19_GO:0048638|-3.637|regulation of developmental growth,GRP2|19_GO:0040008|-2.623|regulation of growth,GRP2|19_GO:0048639|-3.297|positive regulation of developmental growth,GRP2|19_GO:0030307|-3.343|positive regulation of cell growth,GRP2|19_GO:0045927|-2.767|positive regulation of growth,GRP2|19_GO:0031344|-2.483|regulation of cell projection organization,GRP2|19_GO:0120035|-2.522|regulation of plasma membrane bounded cell projection organization,GRP2|19_GO:0061387|-3.857|regulation of extent of cell growth,GRP2|19_GO:0030516|-4.075|regulation of axon extension,GRP2|19_GO:0050770|-3.398|regulation of axonogenesis,GRP2|19_GO:0008361|-3.163|regulation of cell size,GRP2|19_GO:0032535|-2.326|regulation of cellular component size,GRP2|19_GO:0050767|-2.253|regulation of neurogenesis,GRP2|19_GO:0010975|-2.065|regulation of neuron projection development,GRP2|19_GO:0051960|-2.045|regulation of nervous system development,GRP3|19_GO:0031329|-3.153|regulation of cellular catabolic process,GRP3|19_GO:1903311|-2.220|regulation of mRNA metabolic process,GRP4|19_GO:1902532|-2.693|negative regulation of intracellular signal transduction,GRP4|19_GO:0051129|-2.358|negative regulation of cellular component organization,GRP4|19_GO:0034249|-2.888|negative regulation of amide metabolic process,GRP4|19_GO:0031647|-2.479|regulation of protein stability,GRP4|19_GO:0043523|-2.836|regulation of neuron apoptotic process,GRP5|6_R-HSA-195258|-2.479|RHO GTPase Effectors,GRP6|24_hsa05022|-2.025|Pathways of neurodegeneration - multiple diseases,GRP6|19_GO:0006979|-2.339|response to oxidative stress,_SORT_,_SORT_GRP1_,_SORT_GRP2_,_SORT_GRP3_,_SORT_GRP4_,_SORT_GRP5_,_SORT_GRP6_
4504,0.0,0.5,0.6,0.5,0.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.1,9,0,3,4,3,0,3
6232,1.0,0.0,0.0,0.0,0.0,1.0,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,2,2,0,0,0,2,0
824,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,11,0,0,0,0,0,2
57447,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,0,0,6,0,0
3984,0.05405405405405406,0.0,0.0,0.0,1.0,1.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.1,0.2,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1,6,2,0,0,1,0
6170,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,0,0,0,0,0
1191,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,5,0,0,0,2,0,0
201625,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,12,0,0,0,0,0,4
5127,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,0,3,0,0,0
59284,0.0,1.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,4,2,0,0,0
