Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
Rpl37a,CORUM,33,CORUM:306,"Ribosome, cytoplasmic",,-7.5,1.2e+02,21,30286,80,13,4,31,13,6170|6227|6232|23521,RPL39|RPS21|RPS27|RPL13A,-5
Rpl37a,Reactome Gene Sets,6,R-HSA-192823,Viral mRNA Translation,,-7.3,1e+02,20,30286,90,13,4,31,13,6170|6227|6232|23521,RPL39|RPS21|RPS27|RPL13A,-4.8
Rpl37a,Reactome Gene Sets,6,R-HSA-156902,Peptide chain elongation,,-7.3,1e+02,20,30286,90,13,4,31,13,6170|6227|6232|23521,RPL39|RPS21|RPS27|RPL13A,-4.8
Rpl37a,Reactome Gene Sets,6,R-HSA-156842,Eukaryotic Translation Elongation,,-7.2,99,20,30286,94,13,4,31,13,6170|6227|6232|23521,RPL39|RPS21|RPS27|RPL13A,-4.7
Rpl37a,Reactome Gene Sets,6,R-HSA-72764,Eukaryotic Translation Termination,,-7.2,99,20,30286,94,13,4,31,13,6170|6227|6232|23521,RPL39|RPS21|RPS27|RPL13A,-4.7
Rpl37a,Reactome Gene Sets,6,R-HSA-2408557,Selenocysteine synthesis,,-7.2,99,20,30286,94,13,4,31,13,6170|6227|6232|23521,RPL39|RPS21|RPS27|RPL13A,-4.7
Rpl37a,Reactome Gene Sets,6,R-HSA-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),,-7.2,97,20,30286,96,13,4,31,13,6170|6227|6232|23521,RPL39|RPS21|RPS27|RPL13A,-4.7
Rpl37a,Reactome Gene Sets,6,R-HSA-72689,Formation of a pool of free 40S subunits,,-7.1,91,19,30286,102,13,4,31,13,6170|6227|6232|23521,RPL39|RPS21|RPS27|RPL13A,-4.6
Rpl37a,Reactome Gene Sets,6,R-HSA-9633012,Response of EIF2AK4 (GCN2) to amino acid deficiency,,-7.1,91,19,30286,102,13,4,31,13,6170|6227|6232|23521,RPL39|RPS21|RPS27|RPL13A,-4.6
Rpl37a,Reactome Gene Sets,6,R-HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,,-6.9,83,18,30286,112,13,4,31,13,6170|6227|6232|23521,RPL39|RPS21|RPS27|RPL13A,-4.5
Rpl37a,Reactome Gene Sets,6,R-HSA-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,,-6.9,82,18,30286,113,13,4,31,13,6170|6227|6232|23521,RPL39|RPS21|RPS27|RPL13A,-4.5
Rpl37a,Reactome Gene Sets,6,R-HSA-1799339,SRP-dependent cotranslational protein targeting to membrane,,-6.9,82,18,30286,113,13,4,31,13,6170|6227|6232|23521,RPL39|RPS21|RPS27|RPL13A,-4.5
Rpl37a,Reactome Gene Sets,6,R-HSA-975957,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),,-6.8,80,18,30286,116,13,4,31,13,6170|6227|6232|23521,RPL39|RPS21|RPS27|RPL13A,-4.5
Rpl37a,Reactome Gene Sets,6,R-HSA-927802,Nonsense-Mediated Decay (NMD),,-6.8,80,18,30286,116,13,4,31,13,6170|6227|6232|23521,RPL39|RPS21|RPS27|RPL13A,-4.5
Rpl37a,Reactome Gene Sets,6,R-HSA-2408522,Selenoamino acid metabolism,,-6.8,78,18,30286,119,13,4,31,13,6170|6227|6232|23521,RPL39|RPS21|RPS27|RPL13A,-4.4
Rpl37a,Reactome Gene Sets,6,R-HSA-72737,Cap-dependent Translation Initiation,,-6.8,78,17,30286,120,13,4,31,13,6170|6227|6232|23521,RPL39|RPS21|RPS27|RPL13A,-4.4
Rpl37a,Reactome Gene Sets,6,R-HSA-72613,Eukaryotic Translation Initiation,,-6.8,78,17,30286,120,13,4,31,13,6170|6227|6232|23521,RPL39|RPS21|RPS27|RPL13A,-4.4
Rpl37a,GO Biological Processes,19,GO:0002181,cytoplasmic translation,19_GO:0008152 metabolic process,-6.7,73,17,30286,127,13,4,31,13,6170|6227|6232|23521,RPL39|RPS21|RPS27|RPL13A,-4.3
Rpl37a,Reactome Gene Sets,6,R-HSA-168273,Influenza Viral RNA Transcription and Replication,,-6.6,69,16,30286,136,13,4,31,13,6170|6227|6232|23521,RPL39|RPS21|RPS27|RPL13A,-4.2
Rpl37a,Reactome Gene Sets,6,R-HSA-9711097,Cellular response to starvation,,-6.3,59,15,30286,157,13,4,31,13,6170|6227|6232|23521,RPL39|RPS21|RPS27|RPL13A,-4
Rpl37a,Reactome Gene Sets,6,R-HSA-168255,Influenza Infection,,-6.3,59,15,30286,157,13,4,31,13,6170|6227|6232|23521,RPL39|RPS21|RPS27|RPL13A,-4
Rpl37a,KEGG Pathway,24,hsa03010,Ribosome,,-6.2,55,15,30286,170,13,4,31,13,6170|6227|6232|23521,RPL39|RPS21|RPS27|RPL13A,-3.8
Rpl37a,Reactome Gene Sets,6,R-HSA-9010553,Regulation of expression of SLITs and ROBOs,,-6.2,54,14,30286,172,13,4,31,13,6170|6227|6232|23521,RPL39|RPS21|RPS27|RPL13A,-3.8
Rpl37a,Reactome Gene Sets,6,R-HSA-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,,-6,50,14,30286,185,13,4,31,13,6170|6227|6232|23521,RPL39|RPS21|RPS27|RPL13A,-3.7
Rpl37a,Reactome Gene Sets,6,R-HSA-8868773,rRNA processing in the nucleus and cytosol,,-5.9,48,14,30286,195,13,4,31,13,6170|6227|6232|23521,RPL39|RPS21|RPS27|RPL13A,-3.6
Rpl37a,Reactome Gene Sets,6,R-HSA-72312,rRNA processing,,-5.9,45,13,30286,205,13,4,31,13,6170|6227|6232|23521,RPL39|RPS21|RPS27|RPL13A,-3.5
