_MEMBER_Rpl37a,_LogP_Rpl37a,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-5.7,C0235031,M1,1,0,DisGeNET,35,Neurologic Symptoms,,-5.7,23,10,30286,233,28,5,18,7.2,773|1191|3984|5621|6232,CACNA1A|CLU|LIMK1|PRNP|RPS27,-1.8,0
1,-5.5,C0333463,M1,1,0,DisGeNET,35,Senile Plaques,,-5.5,22,10,30286,249,28,5,18,7.2,1191|4504|5621|57060|57447,CLU|MT3|PRNP|PCBP4|NDRG2,-1.8,0
1,-4.1,C1266025,M1,1,0,DisGeNET,35,Traditional Serrated Adenoma,,-4.1,36,10,30286,90,28,3,11,5.8,1191|23521|57060,CLU|RPL13A|PCBP4,-0.85,0
1,-4,C0276496,M1,1,0,DisGeNET,35,Familial Alzheimer Disease (FAD),,-4,17,7.7,30286,260,28,4,14,6.6,1191|5621|6227|6232,CLU|PRNP|RPS21|RPS27,-0.81,0
1,-3.9,C0151889,M1,1,0,DisGeNET,35,Hyperreflexia,,-3.9,10,6.4,30286,539,28,5,18,7.2,773|3984|5621|11113|23299,CACNA1A|LIMK1|PRNP|CIT|BICD2,-0.73,0
1,-3.8,C0751494,M1,1,0,DisGeNET,35,Convulsive Seizures,,-3.8,28,8.8,30286,117,28,3,11,5.8,1191|4504|5621,CLU|MT3|PRNP,-0.64,0
1,-3.7,C0037773,M1,1,0,DisGeNET,35,"Spastic Paraplegia, Hereditary",,-3.7,26,8.6,30286,123,28,3,11,5.8,773|23299|118813,CACNA1A|BICD2|ZFYVE27,-0.63,0
1,-3.7,C2936349,M1,1,0,DisGeNET,35,"Plaque, Amyloid",,-3.7,26,8.6,30286,123,28,3,11,5.8,824|4504|5621,CAPN2|MT3|PRNP,-0.63,0
1,-3.7,C0009241,M1,1,0,DisGeNET,35,Cognition Disorders,,-3.7,8.9,6,30286,606,28,5,18,7.2,1191|3984|5621|57060|64421,CLU|LIMK1|PRNP|PCBP4|DCLRE1C,-0.63,0
1,-3.4,C0087012,M1,1,0,DisGeNET,35,"Ataxia, Spinocerebellar",,-3.4,21,7.6,30286,155,28,3,11,5.8,773|5621|57060,CACNA1A|PRNP|PCBP4,-0.44,0
1,-3.3,C0750901,M1,1,0,DisGeNET,35,"Alzheimer Disease, Early Onset",,-3.3,19,7.1,30286,174,28,3,11,5.8,1191|5621|6232,CLU|PRNP|RPS27,-0.35,0
1,-3.2,C0038868,M1,1,0,DisGeNET,35,Progressive supranuclear palsy,,-3.2,18,7.1,30286,176,28,3,11,5.8,1191|5621|11113,CLU|PRNP|CIT,-0.34,0
1,-3.2,C0233794,M1,1,0,DisGeNET,35,Memory impairment,,-3.2,7.1,5.2,30286,763,28,5,18,7.2,824|1191|5621|57060|57447,CAPN2|CLU|PRNP|PCBP4|NDRG2,-0.32,0
1,-3.1,C4316903,M1,1,0,DisGeNET,35,Absence Seizures,,-3.1,16,6.5,30286,204,28,3,11,5.8,773|1191|4504,CACNA1A|CLU|MT3,-0.2,0
1,-3,C4553743,M1,1,0,DisGeNET,35,"Spasticity, CTCAE",,-3,9.1,5.4,30286,477,28,4,14,6.6,773|3984|5621|11113,CACNA1A|LIMK1|PRNP|CIT,-0.19,0
1,-3,C0270824,M1,1,0,DisGeNET,35,Visual seizure,,-3,16,6.4,30286,209,28,3,11,5.8,1191|4504|11113,CLU|MT3|CIT,-0.19,0
1,-3,C0234533,M1,1,0,DisGeNET,35,Generalized seizures,,-3,15,6.4,30286,210,28,3,11,5.8,773|1191|4504,CACNA1A|CLU|MT3,-0.19,0
1,-3,C0034935,M1,1,0,DisGeNET,35,Babinski Reflex,,-3,15,6.3,30286,218,28,3,11,5.8,773|5621|118813,CACNA1A|PRNP|ZFYVE27,-0.15,0
1,-2.9,C0266470,M1,1,0,DisGeNET,35,Cerebellar Hypoplasia,,-2.9,14,6.1,30286,226,28,3,11,5.8,773|11113|23299,CACNA1A|CIT|BICD2,-0.12,0
1,-2.9,C0151611,M1,1,0,DisGeNET,35,Electroencephalogram abnormal,,-2.9,14,6.1,30286,227,28,3,11,5.8,773|5621|23299,CACNA1A|PRNP|BICD2,-0.12,0
1,-2.9,C0149931,M1,1,0,DisGeNET,35,Migraine Disorders,,-2.9,8.5,5.2,30286,512,28,4,14,6.6,773|5621|6232|64421,CACNA1A|PRNP|RPS27|DCLRE1C,-0.12,0
1,-2.9,C0040822,M1,1,0,DisGeNET,35,Tremor,,-2.9,8.2,5.1,30286,528,28,4,14,6.6,773|3984|5621|11113,CACNA1A|LIMK1|PRNP|CIT,-0.083,0
1,-2.8,C0029925,M1,1,0,DisGeNET,35,Ovarian Carcinoma,,-2.8,8,5,30286,539,28,4,14,6.6,1191|3984|11113|64421,CLU|LIMK1|CIT|DCLRE1C,-0.059,0
1,-2.8,C4317109,M1,1,0,DisGeNET,35,Epileptic Seizures,,-2.8,13,5.8,30286,250,28,3,11,5.8,773|1191|4504,CACNA1A|CLU|MT3,-0.033,0
1,-2.8,C0752347,M1,1,0,DisGeNET,35,Lewy Body Disease,,-2.8,13,5.7,30286,255,28,3,11,5.8,1191|5621|11113,CLU|PRNP|CIT,-0.017,0
1,-2.7,C0026838,M1,1,0,DisGeNET,35,Muscle Spasticity,,-2.7,7.5,4.8,30286,580,28,4,14,6.6,773|3984|5621|11113,CACNA1A|LIMK1|PRNP|CIT,0,0
1,-2.7,C4551583,M1,1,0,DisGeNET,35,Cerebral cortical atrophy,,-2.7,12,5.5,30286,271,28,3,11,5.8,3984|5621|23299,LIMK1|PRNP|BICD2,0,0
1,-2.6,C0026848,M1,1,0,DisGeNET,35,Myopathy,,-2.6,6.8,4.5,30286,633,28,4,14,6.6,824|3984|5621|23299,CAPN2|LIMK1|PRNP|BICD2,0,0
1,-2.6,C0494475,M1,1,0,DisGeNET,35,Tonic - clonic seizures,,-2.6,11,5.2,30286,300,28,3,11,5.8,773|1191|4504,CACNA1A|CLU|MT3,0,0
1,-2.6,C0022821,M1,1,0,DisGeNET,35,Kyphosis deformity of spine,,-2.6,11,5.1,30286,305,28,3,11,5.8,3984|6232|23299,LIMK1|RPS27|BICD2,0,0
1,-2.5,C0026837,M1,1,0,DisGeNET,35,Muscle Rigidity,,-2.5,10,5,30286,320,28,3,11,5.8,773|824|5621,CACNA1A|CAPN2|PRNP,0,0
1,-2.5,C0338451,M1,1,0,DisGeNET,35,Frontotemporal dementia,,-2.5,10,5,30286,320,28,3,11,5.8,1191|5621|11113,CLU|PRNP|CIT,0,0
1,-2.5,C1328504,M1,1,0,DisGeNET,35,Hormone refractory prostate cancer,,-2.5,6.3,4.3,30286,683,28,4,14,6.6,824|1191|57060|57447,CAPN2|CLU|PCBP4|NDRG2,0,0
1,-2.5,C0007785,M1,1,0,DisGeNET,35,Cerebral Infarction,,-2.5,6.3,4.3,30286,687,28,4,14,6.6,3984|5621|23521|57447,LIMK1|PRNP|RPL13A|NDRG2,0,0
1,-2.4,C0002726,M1,1,0,DisGeNET,35,Amyloidosis,,-2.4,6.2,4.2,30286,694,28,4,14,6.6,1191|3984|4504|5621,CLU|LIMK1|MT3|PRNP,0,0
1,-2.4,C0011265,M1,1,0,DisGeNET,35,Presenile dementia,,-2.4,6,4.1,30286,718,28,4,14,6.6,1191|3984|5621|11113,CLU|LIMK1|PRNP|CIT,0,0
1,-2.3,C0242422,M1,1,0,DisGeNET,35,Parkinsonian Disorders,,-2.3,8.7,4.6,30286,373,28,3,11,5.8,773|5621|11113,CACNA1A|PRNP|CIT,0,0
1,-2.3,C0339573,M1,1,0,DisGeNET,35,"Glaucoma, Primary Open Angle",,-2.3,8.5,4.5,30286,382,28,3,11,5.8,1191|5621|170691,CLU|PRNP|ADAMTS17,0,0
1,-2.3,C0017601,M1,1,0,DisGeNET,35,Glaucoma,,-2.3,5.6,4,30286,769,28,4,14,6.6,1191|3984|5621|170691,CLU|LIMK1|PRNP|ADAMTS17,0,0
1,-2.2,C0015397,M1,1,0,DisGeNET,35,Disorder of eye,,-2.2,8.1,4.4,30286,400,28,3,11,5.8,5127|93145|170691,CDK16|OLFM2|ADAMTS17,0,0
1,-2.2,C1531647,M1,1,0,DisGeNET,35,Cerebral ventriculomegaly,,-2.2,7.9,4.3,30286,410,28,3,11,5.8,5621|11113|23299,PRNP|CIT|BICD2,0,0
1,-2.2,C0009806,M1,1,0,DisGeNET,35,Constipation,,-2.2,7.7,4.2,30286,424,28,3,11,5.8,773|3984|5621,CACNA1A|LIMK1|PRNP,0,0
1,-2.2,C3278923,M1,1,0,DisGeNET,35,Dilated ventricles (finding),,-2.2,7.6,4.2,30286,427,28,3,11,5.8,5621|11113|23299,PRNP|CIT|BICD2,0,0
1,-2.1,C0542476,M1,1,0,DisGeNET,35,Forgetful,,-2.1,7.6,4.2,30286,429,28,3,11,5.8,1191|5621|57447,CLU|PRNP|NDRG2,0,0
1,-2.1,C0017168,M1,1,0,DisGeNET,35,Gastroesophageal reflux disease,,-2.1,7.3,4.1,30286,446,28,3,11,5.8,773|3984|170691,CACNA1A|LIMK1|ADAMTS17,0,0
1,-2.1,C3495559,M1,1,0,DisGeNET,35,Juvenile arthritis,,-2.1,7.2,4,30286,450,28,3,11,5.8,1191|5621|64421,CLU|PRNP|DCLRE1C,0,0
1,-2.1,C0553723,M1,1,0,DisGeNET,35,Squamous cell carcinoma of skin,,-2.1,7.1,4,30286,458,28,3,11,5.8,3984|5127|57060,LIMK1|CDK16|PCBP4,0,0
1,-2,C0007124,M1,1,0,DisGeNET,35,Noninfiltrating Intraductal Carcinoma,,-2,6.7,3.8,30286,486,28,3,11,5.8,1191|5127|57060,CLU|CDK16|PCBP4,0,0
