_MEMBER_Gm973,_LogP_Gm973,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-4.1,GO:0007129,homologous chromosome pairing at meiosis,M1,1,0
1,-2.7,GO:0007059,chromosome segregation,M1,1,0
1,-3.7,R-HSA-400253,Circadian Clock,M1,1,0
1,-2.4,GO:1903046,meiotic cell cycle process,M1,1,0
1,-3.8,GO:0045143,homologous chromosome segregation,M1,1,0
1,-2.5,GO:0023061,signal release,M1,1,0
1,-2.9,GO:0061982,meiosis I cell cycle process,M1,1,0
1,-5.3,GO:0048512,circadian behavior,M1,1,0
1,-2.6,GO:0048285,organelle fission,M1,1,0
1,-7.1,GO:0007623,circadian rhythm,M1,1,0
1,-2.8,GO:0006836,neurotransmitter transport,M1,1,0
1,-9.4,GO:0048511,rhythmic process,M1,1,0
1,-3,GO:0007127,meiosis I,M1,1,0
1,-3.4,GO:0045132,meiotic chromosome segregation,M1,1,0
1,-2.7,GO:0000280,nuclear division,M1,1,0
1,-2.1,GO:0032870,cellular response to hormone stimulus,M1,1,0
1,-3.3,GO:0098813,nuclear chromosome segregation,M1,1,0
1,-3.8,GO:0070192,chromosome organization involved in meiotic cell cycle,M1,1,0
1,-2.3,GO:0006282,regulation of DNA repair,M1,1,0
1,-5.2,GO:0007622,rhythmic behavior,M1,1,0
1,-4.5,GO:0042752,regulation of circadian rhythm,M1,1,0
1,-8.6,hsa04710,Circadian rhythm,M1,1,0
1,-7,GO:0032922,circadian regulation of gene expression,M1,1,0
1,-2.9,GO:0051276,chromosome organization,M1,1,0
1,-2.1,GO:0051321,meiotic cell cycle,M1,1,0
1,-2.6,GO:0140013,meiotic nuclear division,M1,1,0
