Gene,_SCORE_GRP1_,_SCORE_GRP2_,_SCORE_GRP6_,_SCORE_GRP3_,_SCORE_GRP5_,_SCORE_GRP4_,GRP1|19_GO:0048511|-9.358|rhythmic process,GRP1|19_GO:0007623|-7.058|circadian rhythm,GRP1|19_GO:0032922|-6.998|circadian regulation of gene expression,GRP1|19_GO:0042752|-4.451|regulation of circadian rhythm,GRP1|19_GO:0007622|-5.162|rhythmic behavior,GRP1|19_GO:0048512|-5.285|circadian behavior,GRP2|24_hsa04710|-8.617|Circadian rhythm,GRP2|6_R-HSA-400253|-3.695|Circadian Clock,GRP3|19_GO:0051276|-2.942|chromosome organization,GRP3|19_GO:0000280|-2.749|nuclear division,GRP3|19_GO:0098813|-3.259|nuclear chromosome segregation,GRP3|19_GO:0007059|-2.696|chromosome segregation,GRP3|19_GO:0048285|-2.626|organelle fission,GRP3|19_GO:0070192|-3.791|chromosome organization involved in meiotic cell cycle,GRP3|19_GO:0007129|-4.055|homologous chromosome pairing at meiosis,GRP3|19_GO:0045143|-3.771|homologous chromosome segregation,GRP3|19_GO:0045132|-3.387|meiotic chromosome segregation,GRP3|19_GO:0007127|-2.958|meiosis I,GRP3|19_GO:0061982|-2.929|meiosis I cell cycle process,GRP3|19_GO:0140013|-2.570|meiotic nuclear division,GRP3|19_GO:1903046|-2.428|meiotic cell cycle process,GRP3|19_GO:0051321|-2.088|meiotic cell cycle,GRP4|19_GO:0023061|-2.460|signal release,GRP4|19_GO:0006836|-2.817|neurotransmitter transport,GRP5|19_GO:0006282|-2.291|regulation of DNA repair,GRP6|19_GO:0032870|-2.051|cellular response to hormone stimulus,_SORT_,_SORT_GRP1_,_SORT_GRP2_,_SORT_GRP3_,_SORT_GRP4_,_SORT_GRP5_,_SORT_GRP6_
29844,0.0,0.0,0.0,0.07142857142857142,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,6,0,0,5,0,2,0
1628,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,8,2,0,0,0,0
2046,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,4,0,0,0,0,0,2
9099,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1,0,0,0,0,0
55117,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,18,0,0,0,3,0,0
79365,0.5,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,6,1,0,0,0,0
7008,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,7,0,0,0,0,0
148523,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2,0,0,0,0,0
11255,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,16,0,0,0,2,0,0
7913,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,7,0,0,0,0,1,0
8448,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,15,0,0,0,1,0,0
9134,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.1,0.1,0.2,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,9,0,0,2,0,0,0
3131,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,9,0,0,0,0,0
9572,0.6666666666666666,1.0,1.0,0.0,0.0,0.0,0.4,0.4,0.4,0.3,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1,5,3,0,0,0,1
56154,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.1,0.1,0.2,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.0,5,0,0,1,0,3,0
6567,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,17,0,0,0,4,0,0
26993,0.0,0.0,0.0,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,0,4,0,0,0
256006,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.1,0.1,0.2,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,8,0,0,3,0,0,0
9975,0.8333333333333334,0.5,1.0,0.0,0.0,0.0,0.4,0.4,0.0,0.3,0.3,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2,3,5,0,0,0,3
64506,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3,0,0,0,0,0,4
8863,0.6666666666666666,0.5,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.3,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,4,4,0,0,0,0
