Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
DisGeNET,35,C0041696,Unipolar Depression,,-4.1,6.7,5.9,30286,641,49,7,14,5,2272|3131|7008|8863|9572|55117|79365,FHIT|HLF|TEF|PER3|NR1D1|SLC6A15|BHLHE41,0,Gm973
Cell Type Signatures,7,M40270,DESCARTES FETAL PANCREAS ENS NEURONS,,-3.8,15,7.3,30286,163,49,4,8.2,3.9,8448|11255|55117|167410,DOC2A|HRH3|SLC6A15|LIX1,0,Gm973
Cell Type Signatures,7,M41670,TRAVAGLINI LUNG LYMPHATIC CELL,,-3.4,12,6.3,30286,209,49,4,8.2,3.9,2681|5355|55509|93035,GGTA1|PLP2|BATF3|PKHD1L1,0,Gm973
Cell Type Signatures,7,M39310,CUI DEVELOPING HEART TRABECULAR VENTRICULAR CARDIOMYOCYTE,,-3.1,17,6.7,30286,110,49,3,6.1,3.4,9162|10678|167410,DGKI|B3GNT2|LIX1,0,Gm973
DisGeNET,35,C0202239,Uric acid measurement (procedure),,-3.1,9.4,5.5,30286,264,49,4,8.2,3.9,3131|4038|9099|145957,HLF|LRP4|USP2|NRG4,0,Gm973
COVID,200,COVID010,RNA_Blanco-Melo_A549-ACE2_Up,,-2.9,8.2,5.1,30286,300,49,4,8.2,3.9,1628|8863|9572|79365,DBP|PER3|NR1D1|BHLHE41,0,Gm973
DisGeNET,35,C0281361,Adenocarcinoma of pancreas,,-2.8,6,4.6,30286,518,49,5,10,4.3,2272|7913|8448|54894|91057,FHIT|DEK|DOC2A|RNF43|CCDC34,0,Gm973
Cell Type Signatures,7,M40214,DESCARTES FETAL INTESTINE ENS NEURONS,,-2.7,12,5.4,30286,160,49,3,6.1,3.4,11255|55117|167410,HRH3|SLC6A15|LIX1,0,Gm973
COVID,200,COVID035,RNA_Sun_Calu-3_0h_Down,,-2.6,11,5.2,30286,171,49,3,6.1,3.4,56154|116966|256006,TEX15|WDR17|ANKRD31,0,Gm973
DisGeNET,35,C0948089,Acute Coronary Syndrome,,-2.3,5.6,3.9,30286,439,49,4,8.2,3.9,1628|2272|7139|25902,DBP|FHIT|TNNT2|MTHFD1L,0,Gm973
DisGeNET,35,C0035309,Retinal Diseases,,-2.2,4.3,3.6,30286,714,49,5,10,4.3,1628|9162|9572|29844|145957,DBP|DGKI|NR1D1|TFPT|NRG4,0,Gm973
DisGeNET,35,C0024232,Lymphatic Metastasis,,-2.2,5.3,3.8,30286,463,49,4,8.2,3.9,310|2272|79365|91057,ANXA7|FHIT|BHLHE41|CCDC34,0,Gm973
