_MEMBER_Npas2,_LogP_Npas2,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-7.138220937042806,R-HSA-1296072,M1,1,0,Reactome Gene Sets,6,Voltage gated Potassium channels,,-7.138220937042806,46.95503875968992,15.025080241970532,30286,43,75,5,6.666666666666667,2.8803291992923823,3737|3745|3787|3788|9196,KCNA2|KCNB1|KCNS1|KCNS2|KCNAB3,-2.9836766870335643,0,1,1,1,-7.138220937042806,46.95503875968992,
1,-5.45315576939577,GO:0071805,M1,1,0,GO Biological Processes,19,potassium ion transmembrane transport,19_GO:0051179 localization,-5.45315576939577,14.684121212121212,8.78185094994071,30286,165,75,6,8.0,3.1326240331921946,3737|3745|3787|3788|9196|57468,KCNA2|KCNB1|KCNS1|KCNS2|KCNAB3|SLC12A5,-2.1766007176862288,0,1,0,0,-7.138220937042806,46.95503875968992,
1,-5.291780726765575,GO:0006813,M1,1,0,GO Biological Processes,19,potassium ion transport,19_GO:0051179 localization,-5.291780726765575,13.766363636363637,8.463111001632198,30286,176,75,6,8.0,3.1326240331921946,3737|3745|3787|3788|9196|57468,KCNA2|KCNB1|KCNS1|KCNS2|KCNAB3|SLC12A5,-2.1574976801389885,0,1,0,0,-7.138220937042806,46.95503875968992,
1,-5.229604546328532,R-HSA-1296071,M1,1,0,Reactome Gene Sets,6,Potassium Channels,,-5.229604546328532,19.602588996763753,9.422641580070724,30286,103,75,5,6.666666666666667,2.8803291992923823,3737|3745|3787|3788|9196,KCNA2|KCNB1|KCNS1|KCNS2|KCNAB3,-2.1574976801389885,0,1,0,0,-7.138220937042806,46.95503875968992,
1,-5.062585662936666,GO:0051260,M1,1,0,GO Biological Processes,19,protein homooligomerization,19_GO:0009987 cellular process,-5.062585662936666,12.553782383419689,8.022910833640227,30286,193,75,6,8.0,3.1326240331921946,3737|3745|3787|3788|5621|6506,KCNA2|KCNB1|KCNS1|KCNS2|PRNP|SLC1A2,-2.069920303947462,0,1,0,0,-7.138220937042806,46.95503875968992,
1,-4.928538840572456,GO:1904062,M1,1,0,GO Biological Processes,19,regulation of monoatomic cation transmembrane transport,19_GO:0051179 localization,-4.928538840572456,9.14787486515642,7.172843849742739,30286,309,75,7,9.333333333333334,3.3590122004784324,3787|3788|5027|5621|6324|9196|56848,KCNS1|KCNS2|P2RX7|PRNP|SCN1B|KCNAB3|SPHK2,-2.069920303947462,0,1,0,0,-7.138220937042806,46.95503875968992,
1,-4.589165469335865,GO:0034765,M1,1,0,GO Biological Processes,19,regulation of monoatomic ion transmembrane transport,19_GO:0051179 localization,-4.589165469335865,8.099407831900669,6.646493286101589,30286,349,75,7,9.333333333333334,3.3590122004784324,3787|3788|5027|5621|6324|9196|56848,KCNS1|KCNS2|P2RX7|PRNP|SCN1B|KCNAB3|SPHK2,-1.7932650150852705,0,1,0,0,-7.138220937042806,46.95503875968992,
1,-4.572118005439087,GO:0030001,M1,1,0,GO Biological Processes,19,metal ion transport,19_GO:0051179 localization,-4.572118005439087,5.732365930599369,6.000090798937288,30286,634,75,9,12.0,3.752332607858744,1137|3737|3745|3787|3788|5027|6324|9196|57468,CHRNA4|KCNA2|KCNB1|KCNS1|KCNS2|P2RX7|SCN1B|KCNAB3|SLC12A5,-1.7888066784965133,0,1,0,0,-7.138220937042806,46.95503875968992,
1,-4.544544631591143,GO:0034762,M1,1,0,GO Biological Processes,19,regulation of transmembrane transport,19_GO:0051179 localization,-4.544544631591143,6.606353101567826,6.2274532585164515,30286,489,75,8,10.666666666666666,3.564433361024608,3787|3788|5027|5621|6324|6506|9196|56848,KCNS1|KCNS2|P2RX7|PRNP|SCN1B|SLC1A2|KCNAB3|SPHK2,-1.773467761065581,0,1,0,0,-7.138220937042806,46.95503875968992,
1,-4.390319348808811,GO:0051259,M1,1,0,GO Biological Processes,19,protein complex oligomerization,19_GO:0009987 cellular process,-4.390319348808811,9.538897637795277,6.8090795540074005,30286,254,75,6,8.0,3.1326240331921946,3737|3745|3787|3788|5621|6506,KCNA2|KCNB1|KCNS1|KCNS2|PRNP|SLC1A2,-1.6311417015829566,0,1,0,0,-7.138220937042806,46.95503875968992,
1,-4.255827185063368,GO:0010959,M1,1,0,GO Biological Processes,19,regulation of metal ion transport,19_GO:0051179 localization,-4.255827185063368,7.17434856175973,6.146439872923154,30286,394,75,7,9.333333333333334,3.3590122004784324,3787|3788|5027|5621|6324|9196|56848,KCNS1|KCNS2|P2RX7|PRNP|SCN1B|KCNAB3|SPHK2,-1.5581359221858047,0,1,0,0,-7.138220937042806,46.95503875968992,
1,-4.199589606424876,GO:1901379,M1,1,0,GO Biological Processes,19,regulation of potassium ion transmembrane transport,19_GO:0051179 localization,-4.199589606424876,18.782015503875968,8.227892501778017,30286,86,75,4,5.333333333333333,2.594581247880253,3787|3788|5621|9196,KCNS1|KCNS2|PRNP|KCNAB3,-1.5349680668136008,0,1,0,0,-7.138220937042806,46.95503875968992,
