Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
Npas2,Reactome Gene Sets,6,R-HSA-168255,Influenza Infection,,-10,50,18,30286,157,27,7,26,8.4,811|6139|6154|6160|6193|6201|9883,CALR|RPL17|RPL26|RPL31|RPS5|RPS7|POM121,-7.4
Npas2,Reactome Gene Sets,6,R-HSA-1296072,Voltage gated Potassium channels,,-9.4,1.3e+02,25,30286,43,27,5,19,7.5,3737|3745|3787|3788|9196,KCNA2|KCNB1|KCNS1|KCNS2|KCNAB3,-6.8
Npas2,Reactome Gene Sets,6,R-HSA-168273,Influenza Viral RNA Transcription and Replication,,-8.7,49,17,30286,136,27,6,22,8,6139|6154|6160|6193|6201|9883,RPL17|RPL26|RPL31|RPS5|RPS7|POM121,-6.1
Npas2,CORUM,33,CORUM:306,"Ribosome, cytoplasmic",,-8.1,70,18,30286,80,27,5,19,7.5,6139|6154|6160|6193|6201,RPL17|RPL26|RPL31|RPS5|RPS7,-5.5
Npas2,Reactome Gene Sets,6,R-HSA-192823,Viral mRNA Translation,,-7.8,62,17,30286,90,27,5,19,7.5,6139|6154|6160|6193|6201,RPL17|RPL26|RPL31|RPS5|RPS7,-5.3
Npas2,Reactome Gene Sets,6,R-HSA-156902,Peptide chain elongation,,-7.8,62,17,30286,90,27,5,19,7.5,6139|6154|6160|6193|6201,RPL17|RPL26|RPL31|RPS5|RPS7,-5.3
Npas2,GO Biological Processes,19,GO:0051260,protein homooligomerization,19_GO:0009987 cellular process,-7.8,35,14,30286,193,27,6,22,8,3737|3745|3787|3788|5621|6506,KCNA2|KCNB1|KCNS1|KCNS2|PRNP|SLC1A2,-5.3
Npas2,Reactome Gene Sets,6,R-HSA-72764,Eukaryotic Translation Termination,,-7.7,60,17,30286,94,27,5,19,7.5,6139|6154|6160|6193|6201,RPL17|RPL26|RPL31|RPS5|RPS7,-5.2
Npas2,Reactome Gene Sets,6,R-HSA-156842,Eukaryotic Translation Elongation,,-7.7,60,17,30286,94,27,5,19,7.5,6139|6154|6160|6193|6201,RPL17|RPL26|RPL31|RPS5|RPS7,-5.2
Npas2,Reactome Gene Sets,6,R-HSA-2408557,Selenocysteine synthesis,,-7.7,60,17,30286,94,27,5,19,7.5,6139|6154|6160|6193|6201,RPL17|RPL26|RPL31|RPS5|RPS7,-5.2
Npas2,Reactome Gene Sets,6,R-HSA-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),,-7.7,58,17,30286,96,27,5,19,7.5,6139|6154|6160|6193|6201,RPL17|RPL26|RPL31|RPS5|RPS7,-5.2
Npas2,Reactome Gene Sets,6,R-HSA-72689,Formation of a pool of free 40S subunits,,-7.5,55,16,30286,102,27,5,19,7.5,6139|6154|6160|6193|6201,RPL17|RPL26|RPL31|RPS5|RPS7,-5.1
Npas2,Reactome Gene Sets,6,R-HSA-9633012,Response of EIF2AK4 (GCN2) to amino acid deficiency,,-7.5,55,16,30286,102,27,5,19,7.5,6139|6154|6160|6193|6201,RPL17|RPL26|RPL31|RPS5|RPS7,-5.1
Npas2,Reactome Gene Sets,6,R-HSA-1296071,Potassium Channels,,-7.5,54,16,30286,103,27,5,19,7.5,3737|3745|3787|3788|9196,KCNA2|KCNB1|KCNS1|KCNS2|KCNAB3,-5.1
Npas2,Reactome Gene Sets,6,R-HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,,-7.3,50,16,30286,112,27,5,19,7.5,6139|6154|6160|6193|6201,RPL17|RPL26|RPL31|RPS5|RPS7,-4.9
Npas2,Reactome Gene Sets,6,R-HSA-1799339,SRP-dependent cotranslational protein targeting to membrane,,-7.3,50,15,30286,113,27,5,19,7.5,6139|6154|6160|6193|6201,RPL17|RPL26|RPL31|RPS5|RPS7,-4.9
Npas2,Reactome Gene Sets,6,R-HSA-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,,-7.3,50,15,30286,113,27,5,19,7.5,6139|6154|6160|6193|6201,RPL17|RPL26|RPL31|RPS5|RPS7,-4.9
Npas2,Reactome Gene Sets,6,R-HSA-975957,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),,-7.2,48,15,30286,116,27,5,19,7.5,6139|6154|6160|6193|6201,RPL17|RPL26|RPL31|RPS5|RPS7,-4.8
Npas2,Reactome Gene Sets,6,R-HSA-927802,Nonsense-Mediated Decay (NMD),,-7.2,48,15,30286,116,27,5,19,7.5,6139|6154|6160|6193|6201,RPL17|RPL26|RPL31|RPS5|RPS7,-4.8
Npas2,Reactome Gene Sets,6,R-HSA-2408522,Selenoamino acid metabolism,,-7.2,47,15,30286,119,27,5,19,7.5,6139|6154|6160|6193|6201,RPL17|RPL26|RPL31|RPS5|RPS7,-4.8
Npas2,Reactome Gene Sets,6,R-HSA-72613,Eukaryotic Translation Initiation,,-7.2,47,15,30286,120,27,5,19,7.5,6139|6154|6160|6193|6201,RPL17|RPL26|RPL31|RPS5|RPS7,-4.8
