_MEMBER_Npas2,_LogP_Npas2,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-6.4,M41648,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG CLUB CELL,,-6.4,21,11,30286,114,75,6,8,3.1,6154|6160|6193|6201|8835|23231,RPL26|RPL31|RPS5|RPS7|SOCS2|SEL1L3,-2.4,0
1,-5.4,M39067,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HDA,,-5.4,7.2,7,30286,506,75,9,12,3.8,1137|3800|5097|8507|8851|9951|24147|57468|252995,CHRNA4|KIF5C|PCDH1|ENC1|CDK5R1|HS3ST4|FJX1|SLC12A5|FNDC5,-1.6,0
1,-5.2,M41752,M1,1,0,Cell Type Signatures,7,RUBENSTEIN SKELETAL MUSCLE T CELLS,,-5.2,13,8.3,30286,181,75,6,8,3.1,6139|6154|6160|6193|6201|9592,RPL17|RPL26|RPL31|RPS5|RPS7|IER2,-1.6,0
1,-5.1,M39202,M1,1,0,Cell Type Signatures,7,HAY BONE MARROW NAIVE T CELL,,-5.1,8,7.1,30286,403,75,8,11,3.6,3566|6139|6160|6193|6201|10125|10140|94103,IL4R|RPL17|RPL31|RPS5|RPS7|RASGRP1|TOB1|ORMDL3,-1.6,0
1,-5.1,M40015,M1,1,0,Cell Type Signatures,7,BUSSLINGER GASTRIC LYZ POSITIVE CELLS,,-5.1,18,9,30286,111,75,5,6.7,2.9,6139|6154|6160|6193|6201,RPL17|RPL26|RPL31|RPS5|RPS7,-1.6,0
1,-4.9,M41748,M1,1,0,Cell Type Signatures,7,RUBENSTEIN SKELETAL MUSCLE SATELLITE CELLS,,-4.9,9.1,7.2,30286,310,75,7,9.3,3.4,6139|6154|6160|6193|6201|9592|10252,RPL17|RPL26|RPL31|RPS5|RPS7|IER2|SPRY1,-1.5,0
1,-4.9,M39174,M1,1,0,Cell Type Signatures,7,MURARO PANCREAS ACINAR CELL,,-4.9,5.5,6.2,30286,731,75,10,13,3.9,6139|6154|6160|6193|6201|8507|9592|10140|23216|23231,RPL17|RPL26|RPL31|RPS5|RPS7|ENC1|IER2|TOB1|TBC1D1|SEL1L3,-1.5,0
1,-4,M39068,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HDA1,,-4,5.5,5.5,30286,584,75,8,11,3.6,1137|3800|5097|8507|8851|9672|9951|57468,CHRNA4|KIF5C|PCDH1|ENC1|CDK5R1|SDC3|HS3ST4|SLC12A5,-0.91,0
1,-3.9,M39055,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HRGL2A,,-3.9,5.4,5.4,30286,600,75,8,11,3.6,1301|5097|5654|6506|9592|9759|10252|23231,COL11A1|PCDH1|HTRA1|SLC1A2|IER2|HDAC4|SPRY1|SEL1L3,-0.91,0
1,-3.9,M40026,M1,1,0,Cell Type Signatures,7,BUSSLINGER DUODENAL TRANSIT AMPLIFYING CELLS,,-3.9,10,6.5,30286,194,75,5,6.7,2.9,6139|6154|6193|6201|9592,RPL17|RPL26|RPS5|RPS7|IER2,-0.91,0
1,-3.9,M40024,M1,1,0,Cell Type Signatures,7,BUSSLINGER DUODENAL STEM CELLS,,-3.9,7.8,6,30286,311,75,6,8,3.1,6154|6160|6193|6201|8507|9592,RPL26|RPL31|RPS5|RPS7|ENC1|IER2,-0.91,0
1,-3.8,M41652,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG PROXIMAL BASAL CELL,,-3.8,5.1,5.2,30286,629,75,8,11,3.6,5621|6139|6154|6160|6193|6201|10140|10252,PRNP|RPL17|RPL26|RPL31|RPS5|RPS7|TOB1|SPRY1,-0.85,0
1,-3.6,M40009,M1,1,0,Cell Type Signatures,7,BUSSLINGER GASTRIC PPP1R1B POSITIVE CELLS,,-3.6,13,6.8,30286,121,75,4,5.3,2.6,6139|6154|6160|6193,RPL17|RPL26|RPL31|RPS5,-0.79,0
1,-3.6,M41668,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG BRONCHIAL VESSEL 1 CELL,,-3.6,9,6,30286,224,75,5,6.7,2.9,6154|6160|6193|6201|10252,RPL26|RPL31|RPS5|RPS7|SPRY1,-0.79,0
1,-3.6,M41747,M1,1,0,Cell Type Signatures,7,RUBENSTEIN SKELETAL MUSCLE PCV ENDOTHELIAL CELLS,,-3.6,9,6,30286,225,75,5,6.7,2.9,6139|6154|6160|6193|6201,RPL17|RPL26|RPL31|RPS5|RPS7,-0.79,0
1,-3.6,M39251,M1,1,0,Cell Type Signatures,7,MENON FETAL KIDNEY 1 EMBRYONIC RED BLOOD CELLS,,-3.6,13,6.6,30286,126,75,4,5.3,2.6,811|6154|6160|6201,CALR|RPL26|RPL31|RPS7,-0.78,0
1,-3.5,M41684,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG CD4 NAIVE T CELL,,-3.5,12,6.4,30286,132,75,4,5.3,2.6,6154|6160|6193|6201,RPL26|RPL31|RPS5|RPS7,-0.74,0
1,-3.5,M39070,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HNBGABA,,-3.5,4.6,4.8,30286,703,75,8,11,3.6,1137|3800|6506|8507|8851|9672|57468|252995,CHRNA4|KIF5C|SLC1A2|ENC1|CDK5R1|SDC3|SLC12A5|FNDC5,-0.72,0
1,-3.4,M41702,M1,1,0,Cell Type Signatures,7,FAN OVARY CL0 XBP1 SELK HIGH STROMAL CELL,,-3.4,11,6.1,30286,143,75,4,5.3,2.6,6139|6154|6160|6193,RPL17|RPL26|RPL31|RPS5,-0.66,0
1,-3.1,M39054,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HRGL2B,,-3.1,5.5,4.7,30286,440,75,6,8,3.1,1301|5097|6506|9672|9759|23231,COL11A1|PCDH1|SLC1A2|SDC3|HDAC4|SEL1L3,-0.49,0
1,-3,M40025,M1,1,0,Cell Type Signatures,7,BUSSLINGER DUODENAL DIFFERENTIATING STEM CELLS,,-3,6.6,4.9,30286,305,75,5,6.7,2.9,6139|6154|6160|6193|6201,RPL17|RPL26|RPL31|RPS5|RPS7,-0.44,0
1,-2.9,M39074,M1,1,0,Cell Type Signatures,7,ZHONG PFC MAJOR TYPES ASTROCYTES,,-2.9,6.2,4.7,30286,325,75,5,6.7,2.9,406|5654|6506|9672|10252,BMAL1|HTRA1|SLC1A2|SDC3|SPRY1,-0.36,0
1,-2.7,M41704,M1,1,0,Cell Type Signatures,7,FAN OVARY CL2 PUTATIVE EARLY ATRETIC FOLLICLE THECAL CELL 1,,-2.7,12,5.6,30286,98,75,3,4,2.3,6139|6154|6160,RPL17|RPL26|RPL31,-0.25,0
1,-2.3,M39072,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HSERT,,-2.3,4.5,3.7,30286,450,75,5,6.7,2.9,1137|3800|8851|9951|57468,CHRNA4|KIF5C|CDK5R1|HS3ST4|SLC12A5,0,0
1,-2.2,M39066,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HNBML5,,-2.2,4.3,3.6,30286,465,75,5,6.7,2.9,3800|8507|8851|9951|57468,KIF5C|ENC1|CDK5R1|HS3ST4|SLC12A5,0,0
1,-2.2,M41680,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG B CELL,,-2.2,7.8,4.2,30286,155,75,3,4,2.3,3566|6193|23231,IL4R|RPS5|SEL1L3,0,0
1,-2.1,M39107,M1,1,0,Cell Type Signatures,7,AIZARANI LIVER C3 NK NKT CELLS 2,,-2.1,7.5,4.1,30286,162,75,3,4,2.3,6139|10123|10125,RPL17|ARL4C|RASGRP1,0,0
1,-2.1,M40134,M1,1,0,Cell Type Signatures,7,DESCARTES MAIN FETAL TROPHOBLAST GIANT CELLS,,-2.1,7.2,4,30286,169,75,3,4,2.3,5097|8482|84919,PCDH1|SEMA7A|PPP1R15B,0,0
1,-2.1,M39053,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HRGL2C,,-2.1,5,3.6,30286,326,75,4,5.3,2.6,5654|6506|9672|10252,HTRA1|SLC1A2|SDC3|SPRY1,0,0
1,-2,M39064,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HNBML1,,-2,4.9,3.6,30286,328,75,4,5.3,2.6,3800|8851|55534|80274,KIF5C|CDK5R1|MAML3|SCUBE1,0,0
1,-2,M39065,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HRN,,-2,4.8,3.5,30286,335,75,4,5.3,2.6,3800|6506|8507|8851,KIF5C|SLC1A2|ENC1|CDK5R1,0,0
1,-2,M41753,M1,1,0,Cell Type Signatures,7,RUBENSTEIN SKELETAL MUSCLE B CELLS,,-2,6.8,3.9,30286,177,75,3,4,2.3,6154|6193|6201,RPL26|RPS5|RPS7,0,0
