Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0008016,regulation of heart contraction,19_GO:0032501 multicellular organismal process,-6.1,29,12,30286,204,26,5,19,7.7,801|1129|5999|6324|6327,CALM1|CHRM2|RGS4|SCN1B|SCN2B,-1.9,Hdac4
GO Biological Processes,19,GO:0002027,regulation of heart rate,19_GO:0032501 multicellular organismal process,-5.7,45,13,30286,104,26,4,15,7.1,801|5999|6324|6327,CALM1|RGS4|SCN1B|SCN2B,-1.9,Hdac4
GO Biological Processes,19,GO:1903522,regulation of blood circulation,19_GO:0032501 multicellular organismal process,-5.6,23,10,30286,258,26,5,19,7.7,801|1129|5999|6324|6327,CALM1|CHRM2|RGS4|SCN1B|SCN2B,-1.9,Hdac4
GO Biological Processes,19,GO:0050804,modulation of chemical synaptic transmission,19_GO:0050789 regulation of biological process,-5.5,14,8.6,30286,493,26,6,23,8.3,1129|4297|4747|5621|5999|147381,CHRM2|KMT2A|NEFL|PRNP|RGS4|CBLN2,-1.9,Hdac4
GO Biological Processes,19,GO:0099177,regulation of trans-synaptic signaling,19_GO:0050789 regulation of biological process,-5.5,14,8.6,30286,494,26,6,23,8.3,1129|4297|4747|5621|5999|147381,CHRM2|KMT2A|NEFL|PRNP|RGS4|CBLN2,-1.9,Hdac4
Reactome Gene Sets,6,R-HSA-5576892,Phase 0 - rapid depolarisation,,-5.5,1e+02,17,30286,34,26,3,12,6.3,801|6324|6327,CALM1|SCN1B|SCN2B,-1.9,Hdac4
GO Biological Processes,19,GO:1904062,regulation of monoatomic cation transmembrane transport,19_GO:0051179 localization,-5.2,19,9.2,30286,309,26,5,19,7.7,801|5621|5999|6324|6327,CALM1|PRNP|RGS4|SCN1B|SCN2B,-1.7,Hdac4
GO Biological Processes,19,GO:0034765,regulation of monoatomic ion transmembrane transport,19_GO:0051179 localization,-5,17,8.6,30286,349,26,5,19,7.7,801|5621|5999|6324|6327,CALM1|PRNP|RGS4|SCN1B|SCN2B,-1.5,Hdac4
GO Biological Processes,19,GO:0051899,membrane depolarization,19_GO:0065007 biological regulation,-4.8,64,14,30286,55,26,3,12,6.3,4297|6324|6327,KMT2A|SCN1B|SCN2B,-1.5,Hdac4
GO Biological Processes,19,GO:0010959,regulation of metal ion transport,19_GO:0051179 localization,-4.7,15,8.1,30286,394,26,5,19,7.7,801|5621|5999|6324|6327,CALM1|PRNP|RGS4|SCN1B|SCN2B,-1.4,Hdac4
