Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Reactome Gene Sets,6,R-HSA-5673001,RAF/MAP kinase cascade,,-6.3,8.1,7.9,30286,280,134,10,7.5,2.3,71|808|2246|2263|3567|4747|7010|7314|7529|8452,ACTG1|CALM3|FGF1|FGFR2|IL5|NEFL|TEK|UBB|YWHAB|CUL3,-2.2,Ccdc115
Reactome Gene Sets,6,R-HSA-5684996,MAPK1/MAPK3 signaling,,-6.2,7.9,7.8,30286,286,134,10,7.5,2.3,71|808|2246|2263|3567|4747|7010|7314|7529|8452,ACTG1|CALM3|FGF1|FGFR2|IL5|NEFL|TEK|UBB|YWHAB|CUL3,-2.2,Ccdc115
GO Biological Processes,19,GO:0060322,head development,19_GO:0032502 developmental process,-5.7,4.4,6.3,30286,778,134,15,11,2.7,808|2263|3184|4747|5354|7314|7337|8633|9037|9963|23767|27429|57142|64805|93986,CALM3|FGFR2|HNRNPD|NEFL|PLP1|UBB|UBE3A|UNC5C|SEMA5A|SLC23A1|FLRT3|HTRA2|RTN4|P2RY12|FOXP2,-2,Ccdc115
Reactome Gene Sets,6,R-HSA-5683057,MAPK family signaling cascades,,-5.7,7,7.2,30286,325,134,10,7.5,2.3,71|808|2246|2263|3567|4747|7010|7314|7529|8452,ACTG1|CALM3|FGF1|FGFR2|IL5|NEFL|TEK|UBB|YWHAB|CUL3,-2,Ccdc115
GO Biological Processes,19,GO:0007420,brain development,19_GO:0032502 developmental process,-5.3,4.3,6.1,30286,729,134,14,10,2.6,808|2263|3184|4747|5354|7314|7337|8633|9037|9963|27429|57142|64805|93986,CALM3|FGFR2|HNRNPD|NEFL|PLP1|UBB|UBE3A|UNC5C|SEMA5A|SLC23A1|HTRA2|RTN4|P2RY12|FOXP2,-1.7,Ccdc115
GO Biological Processes,19,GO:0051338,regulation of transferase activity,19_GO:0065007 biological regulation,-5.3,4.6,6.1,30286,639,134,13,9.7,2.6,808|2246|2263|2321|3184|3326|3357|4067|4869|7010|55450|57515|128344,CALM3|FGF1|FGFR2|FLT1|HNRNPD|HSP90AB1|HTR2B|LYN|NPM1|TEK|CAMK2N1|SERINC1|CIMAP3,-1.7,Ccdc115
GO Biological Processes,19,GO:0051347,positive regulation of transferase activity,19_GO:0065007 biological regulation,-5.2,6,6.5,30286,375,134,10,7.5,2.3,808|2246|2263|2321|3184|3326|3357|7010|57515|128344,CALM3|FGF1|FGFR2|FLT1|HNRNPD|HSP90AB1|HTR2B|TEK|SERINC1|CIMAP3,-1.7,Ccdc115
GO Biological Processes,19,GO:1902115,regulation of organelle assembly,19_GO:0050789 regulation of biological process,-5.1,8.1,7.1,30286,223,134,8,6,2,1540|3567|4869|29978|92421|246175|347240|347730,CYLD|IL5|NPM1|UBQLN2|CHMP4C|CNOT6L|KIF24|LRRTM1,-1.7,Ccdc115
GO Biological Processes,19,GO:0031175,neuron projection development,19_GO:0032502 developmental process,-4.9,4.3,5.8,30286,691,134,13,9.7,2.6,71|658|2263|2823|4067|4747|5354|5532|7314|8633|9037|23767|57142,ACTG1|BMPR1B|FGFR2|GPM6A|LYN|NEFL|PLP1|PPP3CB|UBB|UNC5C|SEMA5A|FLRT3|RTN4,-1.6,Ccdc115
GO Biological Processes,19,GO:1902749,regulation of cell cycle G2/M phase transition,19_GO:0050789 regulation of biological process,-4.9,12,7.7,30286,116,134,6,4.5,1.8,4869|4998|55743|79184|92421|373509,NPM1|ORC1|CHFR|BRCC3|CHMP4C|USP50,-1.6,Ccdc115
GO Biological Processes,19,GO:0060736,prostate gland growth,19_GO:0040007 growth,-4.9,62,13,30286,11,134,3,2.2,1.3,367|2263|7337,AR|FGFR2|UBE3A,-1.6,Ccdc115
