_MEMBER_Ccdc115,_LogP_Ccdc115,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-3,GO:0097305,response to alcohol,M1,1,0
1,-3.3,GO:2001235,positive regulation of apoptotic signaling pathway,M1,1,0
1,-3,R-HSA-9656223,Signaling by RAF1 mutants,M1,1,0
1,-2.2,GO:1904427,positive regulation of calcium ion transmembrane transport,M1,1,0
1,-2,R-HSA-5693607,Processing of DNA double-strand break ends,M1,1,0
1,-5.1,GO:1902115,regulation of organelle assembly,M1,1,0
1,-3.2,R-HSA-1280218,Adaptive Immune System,M1,1,0
1,-2.8,R-HSA-983705,Signaling by the B Cell Receptor (BCR),M1,1,0
1,-2.8,GO:0048871,multicellular organismal-level homeostasis,M1,1,0
1,-3.5,GO:1903322,positive regulation of protein modification by small protein conjugation or removal,M1,1,0
1,-4.3,R-HSA-190236,Signaling by FGFR,M1,1,0
1,-4.9,GO:0060736,prostate gland growth,M1,1,0
1,-2.1,GO:0042063,gliogenesis,M1,1,0
1,-2.7,R-HSA-109582,Hemostasis,M1,1,0
1,-2.2,GO:0030901,midbrain development,M1,1,0
1,-2.2,GO:0000075,cell cycle checkpoint signaling,M1,1,0
1,-6.3,R-HSA-5673001,RAF/MAP kinase cascade,M1,1,0
1,-2.4,R-HSA-9675108,Nervous system development,M1,1,0
1,-3.5,GO:0051603,proteolysis involved in protein catabolic process,M1,1,0
1,-3.3,R-HSA-5654727,Negative regulation of FGFR2 signaling,M1,1,0
1,-2.3,GO:0050769,positive regulation of neurogenesis,M1,1,0
1,-2.1,GO:0010634,positive regulation of epithelial cell migration,M1,1,0
1,-2.2,GO:0043406,positive regulation of MAP kinase activity,M1,1,0
1,-2.6,GO:0007093,mitotic cell cycle checkpoint signaling,M1,1,0
1,-3,GO:0045765,regulation of angiogenesis,M1,1,0
1,-2.2,GO:0071900,regulation of protein serine/threonine kinase activity,M1,1,0
1,-3.3,GO:1903050,regulation of proteolysis involved in protein catabolic process,M1,1,0
1,-2.1,GO:0034248,regulation of amide metabolic process,M1,1,0
1,-2.5,GO:0035239,tube morphogenesis,M1,1,0
1,-4,GO:0042327,positive regulation of phosphorylation,M1,1,0
1,-2.6,hsa05200,Pathways in cancer,M1,1,0
1,-3.1,GO:0050803,regulation of synapse structure or activity,M1,1,0
1,-3.3,R-HSA-388396,GPCR downstream signalling,M1,1,0
1,-2.1,GO:0050680,negative regulation of epithelial cell proliferation,M1,1,0
1,-2.9,GO:0051960,regulation of nervous system development,M1,1,0
1,-4.7,GO:0051302,regulation of cell division,M1,1,0
1,-4.6,GO:0043549,regulation of kinase activity,M1,1,0
1,-2.4,R-HSA-453279,Mitotic G1 phase and G1/S transition,M1,1,0
1,-2.8,GO:0030162,regulation of proteolysis,M1,1,0
1,-3.2,GO:0007143,female meiotic nuclear division,M1,1,0
1,-3,GO:0010518,positive regulation of phospholipase activity,M1,1,0
1,-2.3,GO:0006816,calcium ion transport,M1,1,0
1,-3.4,GO:2000242,negative regulation of reproductive process,M1,1,0
1,-4.2,GO:0033674,positive regulation of kinase activity,M1,1,0
1,-3.5,R-HSA-5654738,Signaling by FGFR2,M1,1,0
1,-2.3,M223,PID BETA CATENIN NUC PATHWAY,M1,1,0
1,-2.8,M113,PID NFAT 3PATHWAY,M1,1,0
1,-2.9,hsa04066,HIF-1 signaling pathway,M1,1,0
1,-2.5,GO:0009611,response to wounding,M1,1,0
1,-2.1,hsa04520,Adherens junction,M1,1,0
1,-2.2,GO:0048709,oligodendrocyte differentiation,M1,1,0
1,-3.3,R-HSA-5621481,C-type lectin receptors (CLRs),M1,1,0
1,-2.3,GO:0009185,ribonucleoside diphosphate metabolic process,M1,1,0
1,-4.7,GO:0045766,positive regulation of angiogenesis,M1,1,0
1,-2.8,hsa05167,Kaposi sarcoma-associated herpesvirus infection,M1,1,0
1,-2.6,R-HSA-5218859,Regulated Necrosis,M1,1,0
1,-2.9,GO:0039531,regulation of cytoplasmic pattern recognition receptor signaling pathway,M1,1,0
1,-3,hsa04020,Calcium signaling pathway,M1,1,0
1,-2,GO:0060349,bone morphogenesis,M1,1,0
1,-3.1,M5883,NABA SECRETED FACTORS,M1,1,0
1,-2.2,R-HSA-2029480,Fcgamma receptor (FCGR) dependent phagocytosis,M1,1,0
1,-2.7,M5926,HALLMARK MYC TARGETS V1,M1,1,0
1,-2.1,R-HSA-5625740,RHO GTPases activate PKNs,M1,1,0
1,-2.1,GO:0043487,regulation of RNA stability,M1,1,0
1,-5.7,GO:0060322,head development,M1,1,0
1,-2.9,GO:0014003,oligodendrocyte development,M1,1,0
1,-2.3,GO:0016310,phosphorylation,M1,1,0
1,-2.1,GO:0048762,mesenchymal cell differentiation,M1,1,0
1,-2.2,GO:0044344,cellular response to fibroblast growth factor stimulus,M1,1,0
1,-3.3,GO:0040017,positive regulation of locomotion,M1,1,0
1,-3.2,GO:0048589,developmental growth,M1,1,0
1,-4.1,GO:0050678,regulation of epithelial cell proliferation,M1,1,0
1,-2.3,GO:0070936,protein K48-linked ubiquitination,M1,1,0
1,-2.7,GO:0007610,behavior,M1,1,0
1,-2.5,R-HSA-6802952,Signaling by BRAF and RAF1 fusions,M1,1,0
1,-2.7,GO:0009191,ribonucleoside diphosphate catabolic process,M1,1,0
1,-3.9,R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,M1,1,0
1,-2.6,GO:0048255,mRNA stabilization,M1,1,0
1,-3.1,GO:0001944,vasculature development,M1,1,0
1,-2.4,GO:0001934,positive regulation of protein phosphorylation,M1,1,0
1,-3.1,R-HSA-373076,Class A/1 (Rhodopsin-like receptors),M1,1,0
1,-4.6,GO:1904018,positive regulation of vasculature development,M1,1,0
