_MEMBER_Ccdc115,_LogP_Ccdc115,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-6.286177408168808,R-HSA-5673001,M1,1,0,Reactome Gene Sets,6,RAF/MAP kinase cascade,,-6.286177408168808,8.071961620469084,7.925432733123932,30286,280,134,10,7.462686567164179,2.2701452480269726,71|808|2246|2263|3567|4747|7010|7314|7529|8452,ACTG1|CALM3|FGF1|FGFR2|IL5|NEFL|TEK|UBB|YWHAB|CUL3,-2.1759604398914423,0,1,1,1,-6.286177408168808,42.377798507462686,
1,-6.2023098155203105,R-HSA-5684996,M1,1,0,Reactome Gene Sets,6,MAPK1/MAPK3 signaling,,-6.2023098155203105,7.9026197682914106,7.818878527017355,30286,286,134,10,7.462686567164179,2.2701452480269726,71|808|2246|2263|3567|4747|7010|7314|7529|8452,ACTG1|CALM3|FGF1|FGFR2|IL5|NEFL|TEK|UBB|YWHAB|CUL3,-2.1759604398914423,0,1,0,0,-6.286177408168808,42.377798507462686,
1,-5.701868715942601,R-HSA-5683057,M1,1,0,Reactome Gene Sets,6,MAPK family signaling cascades,,-5.701868715942601,6.954305396096442,7.194535501838412,30286,325,134,10,7.462686567164179,2.2701452480269726,71|808|2246|2263|3567|4747|7010|7314|7529|8452,ACTG1|CALM3|FGF1|FGFR2|IL5|NEFL|TEK|UBB|YWHAB|CUL3,-1.9765493359777144,0,1,0,0,-6.286177408168808,42.377798507462686,
1,-4.342290318095322,CORUM:5199,M1,1,0,CORUM,33,Kinase maturation complex 1,,-4.342290318095322,42.377798507462686,11.036447132807089,30286,16,134,3,2.2388059701492535,1.278024200489543,3326|7529|7534,HSP90AB1|YWHAB|YWHAZ,-1.3951221885140783,0,1,0,0,-6.286177408168808,42.377798507462686,
1,-3.8591752326142608,R-HSA-9006934,M1,1,0,Reactome Gene Sets,6,Signaling by Receptor Tyrosine Kinases,,-3.8591752326142608,4.232489239197272,5.0240940372899985,30286,534,134,10,7.462686567164179,2.2701452480269726,71|808|2246|2263|2321|3187|4067|7314|7529|23767,ACTG1|CALM3|FGF1|FGFR2|FLT1|HNRNPH1|LYN|UBB|YWHAB|FLRT3,-1.2729172329094116,0,1,0,0,-6.286177408168808,42.377798507462686,
1,-3.5249468287683894,R-HSA-1445148,M1,1,0,Reactome Gene Sets,6,Translocation of SLC2A4 (GLUT4) to the plasma membrane,,-3.5249468287683894,12.55638474295191,6.544737826532531,30286,72,134,4,2.985074626865672,1.4700918647267915,71|808|7529|7534,ACTG1|CALM3|YWHAB|YWHAZ,-1.0710363096616518,0,1,0,0,-6.286177408168808,42.377798507462686,
1,-3.2691699651727935,R-HSA-199991,M1,1,0,Reactome Gene Sets,6,Membrane Trafficking,,-3.2691699651727935,3.564904185696125,4.3510783675320575,30286,634,134,10,7.462686567164179,2.2701452480269726,71|808|830|7314|7529|7534|23682|29978|60592|92421,ACTG1|CALM3|CAPZA2|UBB|YWHAB|YWHAZ|RAB38|UBQLN2|SCOC|CHMP4C,-0.9792170918205676,0,1,0,0,-6.286177408168808,42.377798507462686,
1,-3.197832569053993,R-HSA-1280218,M1,1,0,Reactome Gene Sets,6,Adaptive Immune System,,-3.197832569053993,3.2371929415422884,4.18647702526042,30286,768,134,11,8.208955223880597,2.371328389793718,808|830|4067|5532|7314|7337|7529|7534|8452|57531|64320,CALM3|CAPZA2|LYN|PPP3CB|UBB|UBE3A|YWHAB|YWHAZ|CUL3|HACE1|RNF25,-0.9235316412445631,0,1,0,0,-6.286177408168808,42.377798507462686,
1,-3.0709491734837893,R-HSA-5653656,M1,1,0,Reactome Gene Sets,6,Vesicle-mediated transport,,-3.0709491734837893,3.3583198420970928,4.124555575328909,30286,673,134,10,7.462686567164179,2.2701452480269726,71|808|830|7314|7529|7534|23682|29978|60592|92421,ACTG1|CALM3|CAPZA2|UBB|YWHAB|YWHAZ|RAB38|UBQLN2|SCOC|CHMP4C,-0.8507797718388082,0,1,0,0,-6.286177408168808,42.377798507462686,
1,-3.037041803979969,R-HSA-9656223,M1,1,0,Reactome Gene Sets,6,Signaling by RAF1 mutants,,-3.037041803979969,15.768483165567512,6.4604952470257135,30286,43,134,3,2.2388059701492535,1.278024200489543,71|808|7529,ACTG1|CALM3|YWHAB,-0.8413183870965323,0,1,0,0,-6.286177408168808,42.377798507462686,
1,-2.9850844641343475,R-HSA-5663202,M1,1,0,Reactome Gene Sets,6,Diseases of signal transduction by growth factor receptors and second messengers,,-2.9850844641343475,3.939257958573148,4.230068346161344,30286,459,134,8,5.970149253731344,2.046788972748526,71|808|2246|2263|4067|4869|7314|7529,ACTG1|CALM3|FGF1|FGFR2|LYN|NPM1|UBB|YWHAB,-0.8160675849367477,0,1,0,0,-6.286177408168808,42.377798507462686,
1,-2.9240748519361937,R-HSA-6802946,M1,1,0,Reactome Gene Sets,6,Signaling by moderate kinase activity BRAF mutants,,-2.9240748519361937,14.42648459828517,6.140951401046639,30286,47,134,3,2.2388059701492535,1.278024200489543,71|808|7529,ACTG1|CALM3|YWHAB,-0.7826283569224365,0,1,0,0,-6.286177408168808,42.377798507462686,
1,-2.9240748519361937,R-HSA-6802949,M1,1,0,Reactome Gene Sets,6,Signaling by RAS mutants,,-2.9240748519361937,14.42648459828517,6.140951401046639,30286,47,134,3,2.2388059701492535,1.278024200489543,71|808|7529,ACTG1|CALM3|YWHAB,-0.7826283569224365,0,1,0,0,-6.286177408168808,42.377798507462686,
1,-2.9240748519361937,R-HSA-6802955,M1,1,0,Reactome Gene Sets,6,Paradoxical activation of RAF signaling by kinase inactive BRAF,,-2.9240748519361937,14.42648459828517,6.140951401046639,30286,47,134,3,2.2388059701492535,1.278024200489543,71|808|7529,ACTG1|CALM3|YWHAB,-0.7826283569224365,0,1,0,0,-6.286177408168808,42.377798507462686,
1,-2.9240748519361937,R-HSA-9649948,M1,1,0,Reactome Gene Sets,6,Signaling downstream of RAS mutants,,-2.9240748519361937,14.42648459828517,6.140951401046639,30286,47,134,3,2.2388059701492535,1.278024200489543,71|808|7529,ACTG1|CALM3|YWHAB,-0.7826283569224365,0,1,0,0,-6.286177408168808,42.377798507462686,
1,-2.4815415062904913,R-HSA-6802952,M1,1,0,Reactome Gene Sets,6,Signaling by BRAF and RAF1 fusions,,-2.4815415062904913,10.120071285364224,4.981999916267234,30286,67,134,3,2.2388059701492535,1.278024200489543,71|808|7529,ACTG1|CALM3|YWHAB,-0.5139976173375298,0,1,0,0,-6.286177408168808,42.377798507462686,
1,-2.28056474590195,GO:0035304,M1,1,0,GO Biological Processes,19,regulation of protein dephosphorylation,19_GO:0008152 metabolic process,-2.28056474590195,8.582845267334214,4.498835027386081,30286,79,134,3,2.2388059701492535,1.278024200489543,808|3326|7529,CALM3|HSP90AB1|YWHAB,-0.3664851386903524,0,1,0,0,-6.286177408168808,42.377798507462686,
1,-2.2065534923659564,R-HSA-6802957,M1,1,0,Reactome Gene Sets,6,Oncogenic MAPK signaling,,-2.2065534923659564,8.071961620469082,4.326829803274257,30286,84,134,3,2.2388059701492535,1.278024200489543,71|808|7529,ACTG1|CALM3|YWHAB,-0.3247783243467046,0,1,0,0,-6.286177408168808,42.377798507462686,
1,-5.705006505949376,GO:0060322,M1,1,0,GO Biological Processes,19,head development,19_GO:0032502 developmental process,-5.705006505949376,4.357614242412616,6.324975323404864,30286,778,134,15,11.194029850746269,2.7237165686032374,808|2263|3184|4747|5354|7314|7337|8633|9037|9963|23767|27429|57142|64805|93986,CALM3|FGFR2|HNRNPD|NEFL|PLP1|UBB|UBE3A|UNC5C|SEMA5A|SLC23A1|FLRT3|HTRA2|RTN4|P2RY12|FOXP2,-1.9765493359777144,0,2,1,1,-5.705006505949376,7.118580326712893,
