Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
Ccdc115,Reactome Gene Sets,6,R-HSA-5673001,RAF/MAP kinase cascade,,-7.7,14,10,30286,280,71,9,13,3.9,71|808|2246|2263|3567|7010|7314|7529|8452,ACTG1|CALM3|FGF1|FGFR2|IL5|TEK|UBB|YWHAB|CUL3,-4.1
Ccdc115,Reactome Gene Sets,6,R-HSA-5684996,MAPK1/MAPK3 signaling,,-7.6,13,10,30286,286,71,9,13,3.9,71|808|2246|2263|3567|7010|7314|7529|8452,ACTG1|CALM3|FGF1|FGFR2|IL5|TEK|UBB|YWHAB|CUL3,-4.1
Ccdc115,Reactome Gene Sets,6,R-HSA-5683057,MAPK family signaling cascades,,-7.2,12,9.5,30286,325,71,9,13,3.9,71|808|2246|2263|3567|7010|7314|7529|8452,ACTG1|CALM3|FGF1|FGFR2|IL5|TEK|UBB|YWHAB|CUL3,-4
Ccdc115,Reactome Gene Sets,6,R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,,-6.3,8,7.9,30286,534,71,10,14,4.1,71|808|2246|2263|2321|3187|4067|7314|7529|23767,ACTG1|CALM3|FGF1|FGFR2|FLT1|HNRNPH1|LYN|UBB|YWHAB|FLRT3,-3.4
Ccdc115,KEGG Pathway,24,hsa04015,Rap1 signaling pathway,,-6.2,14,9.3,30286,210,71,7,9.9,3.5,71|285|808|2246|2263|2321|7010,ACTG1|ANGPT2|CALM3|FGF1|FGFR2|FLT1|TEK,-3.3
Ccdc115,Reactome Gene Sets,6,R-HSA-9678108,SARS-CoV-1 Infection,,-6,18,9.9,30286,142,71,6,8.5,3.3,4869|5094|7314|7529|7534|92421,NPM1|PCBP2|UBB|YWHAB|YWHAZ|CHMP4C,-3.1
Ccdc115,GO Biological Processes,19,GO:0031401,positive regulation of protein modification process,19_GO:0048518 positive regulation of biological process,-5.8,6.1,7,30286,764,71,11,15,4.3,808|2246|2321|3326|3567|4067|4869|7010|7314|7337|8452,CALM3|FGF1|FLT1|HSP90AB1|IL5|LYN|NPM1|TEK|UBB|UBE3A|CUL3,-3
Ccdc115,KEGG Pathway,24,hsa04390,Hippo signaling pathway,,-5.7,16,9.3,30286,157,71,6,8.5,3.3,71|658|2246|7529|7534|29119,ACTG1|BMPR1B|FGF1|YWHAB|YWHAZ|CTNNA3,-3
Ccdc115,KEGG Pathway,24,hsa04151,PI3K-Akt signaling pathway,,-5.7,9.5,7.9,30286,359,71,8,11,3.8,285|2246|2263|2321|3326|7010|7529|7534,ANGPT2|FGF1|FGFR2|FLT1|HSP90AB1|TEK|YWHAB|YWHAZ,-3
Ccdc115,GO Biological Processes,19,GO:0060736,prostate gland growth,19_GO:0040007 growth,-5.7,1.2e+02,19,30286,11,71,3,4.2,2.4,367|2263|7337,AR|FGFR2|UBE3A,-3
