Cluster,Score,Type,Gene,Symbol,Network
2,1.25,Clustered,2263,FGFR2,Ccdc115_SUB1
2,1.25,Clustered,7314,UBB,Ccdc115_SUB1
2,1.25,Seed,2246,FGF1,Ccdc115_SUB1
2,1.25,Clustered,4067,LYN,Ccdc115_SUB1
1,1.1666666666666667,Clustered,220988,HNRNPA3,Ccdc115_SUB1
1,1.1666666666666667,Clustered,5094,PCBP2,Ccdc115_SUB1
1,1.1666666666666667,Clustered,7150,TOP1,Ccdc115_SUB1
1,1.1666666666666667,Clustered,79184,BRCC3,Ccdc115_SUB1
1,1.1666666666666667,Clustered,3187,HNRNPH1,Ccdc115_SUB1
1,1.1666666666666667,Clustered,4809,SNU13,Ccdc115_SUB1
3,1.0,Clustered,7534,YWHAZ,Ccdc115_SUB1
3,1.0,Clustered,7529,YWHAB,Ccdc115_SUB1
3,1.0,Seed,3326,HSP90AB1,Ccdc115_SUB1
