Gene,TotalEvidenceCounts,EvidenceHit:Ccdc115,EvidenceGO:Ccdc115,EvidencePPI:Ccdc115
29119,3.0,1,1,1
8452,3.0,1,1,1
830,3.0,1,1,1
27429,3.0,1,1,1
5532,3.0,1,1,1
79184,3.0,1,1,1
3184,3.0,1,1,1
3187,3.0,1,1,1
3326,3.0,1,1,1
7534,3.0,1,1,1
7529,3.0,1,1,1
7337,3.0,1,1,1
3567,3.0,1,1,1
367,3.0,1,1,1
373509,3.0,1,1,1
7314,3.0,1,1,1
71,3.0,1,1,1
7010,3.0,1,1,1
4067,3.0,1,1,1
6613,3.0,1,1,1
658,3.0,1,1,1
443,3.0,1,1,1
4869,3.0,1,1,1
4907,3.0,1,1,1
4988,3.0,1,1,1
4998,3.0,1,1,1
5000,3.0,1,1,1
5094,3.0,1,1,1
52,3.0,1,1,1
5354,3.0,1,1,1
64805,3.0,1,1,1
27306,3.0,1,1,1
808,3.0,1,1,1
1540,3.0,1,1,1
10846,3.0,1,1,1
2263,3.0,1,1,1
226,3.0,1,1,1
1687,3.0,1,1,1
2246,3.0,1,1,1
10973,3.0,1,1,1
8633,3.0,1,1,1
9358,3.0,1,1,1
23682,3.0,1,1,1
9934,3.0,1,1,1
23767,3.0,1,1,1
92421,3.0,1,1,1
57531,3.0,1,1,1
2321,3.0,1,1,1
4809,2.0,1,0,1
92610,2.0,1,0,1
4747,2.0,1,1,0
10209,2.0,1,0,1
246175,2.0,1,0,1
124512,2.0,1,0,1
93986,2.0,1,1,0
64320,2.0,1,1,0
11228,2.0,1,0,1
11164,2.0,1,1,0
51691,2.0,1,0,1
51714,2.0,1,1,0
10758,2.0,1,1,0
54456,2.0,1,1,0
10388,2.0,1,1,0
494143,2.0,1,0,1
203547,2.0,1,0,1
7150,2.0,1,0,1
169966,2.0,1,1,0
55840,2.0,1,1,0
26136,2.0,1,0,1
26292,2.0,1,0,1
23741,2.0,1,0,1
27329,2.0,1,1,0
2742,2.0,1,1,0
8528,2.0,1,0,1
57142,2.0,1,1,0
285,2.0,1,0,1
2857,2.0,1,1,0
55743,2.0,1,1,0
60592,2.0,1,0,1
29978,2.0,1,0,1
3006,2.0,1,0,1
3151,2.0,1,0,1
3357,2.0,1,1,0
220988,2.0,1,0,1
9037,2.0,1,1,0
5734,2.0,1,1,0
84899,2.0,1,0,1
57515,2.0,1,0,1
55082,2.0,1,0,1
10026,1.0,1,0,0
64799,1.0,1,0,0
64922,1.0,1,0,0
79161,1.0,1,0,0
84707,1.0,1,0,0
87769,1.0,1,0,0
9068,1.0,1,0,0
9122,1.0,1,0,0
91851,1.0,1,0,0
63926,1.0,1,0,0
403314,1.0,1,0,0
6019,1.0,1,0,0
212,1.0,1,0,0
25957,1.0,1,0,0
257415,1.0,1,0,0
23452,1.0,1,0,0
23283,1.0,1,0,0
23270,1.0,1,0,0
2124,1.0,1,0,0
196294,1.0,1,0,0
55450,1.0,1,0,0
151050,1.0,1,0,0
145748,1.0,1,0,0
143662,1.0,1,0,0
128344,1.0,1,0,0
11259,1.0,1,0,0
10803,1.0,1,0,0
27039,1.0,1,0,0
27328,1.0,1,0,0
2823,1.0,1,0,0
283652,1.0,1,0,0
28958,1.0,1,0,0
345062,1.0,1,0,0
347240,1.0,1,0,0
347730,1.0,1,0,0
3769,1.0,1,0,0
3858,1.0,1,0,0
388015,1.0,1,0,0
401494,1.0,1,0,0
408263,1.0,1,0,0
415117,1.0,1,0,0
493860,1.0,1,0,0
55064,1.0,1,0,0
552889,1.0,1,0,0
9963,1.0,1,0,0
