Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Reactome Gene Sets,6,R-HSA-975957,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),,-4.5,23,9.1,30286,116,46,4,8.7,4.2,6167|6223|6235|56006,RPL37|RPS19|RPS29|SMG9,-0.5,Tbc1d13
Reactome Gene Sets,6,R-HSA-927802,Nonsense-Mediated Decay (NMD),,-4.5,23,9.1,30286,116,46,4,8.7,4.2,6167|6223|6235|56006,RPL37|RPS19|RPS29|SMG9,-0.5,Tbc1d13
Reactome Gene Sets,6,R-HSA-168273,Influenza Viral RNA Transcription and Replication,,-4.3,19,8.4,30286,136,46,4,8.7,4.2,6167|6223|6235|23225,RPL37|RPS19|RPS29|NUP210,-0.41,Tbc1d13
Reactome Gene Sets,6,R-HSA-168255,Influenza Infection,,-4,17,7.7,30286,157,46,4,8.7,4.2,6167|6223|6235|23225,RPL37|RPS19|RPS29|NUP210,-0.29,Tbc1d13
GO Biological Processes,19,GO:0051260,protein homooligomerization,19_GO:0009987 cellular process,-3.7,14,6.9,30286,193,46,4,8.7,4.2,1759|3748|5621|79734,DNM1|KCNC3|PRNP|KCTD17,-0.12,Tbc1d13
CORUM,33,CORUM:306,"Ribosome, cytoplasmic",,-3.6,25,8.3,30286,80,46,3,6.5,3.6,6167|6223|6235,RPL37|RPS19|RPS29,-0.12,Tbc1d13
Reactome Gene Sets,6,R-HSA-192823,Viral mRNA Translation,,-3.5,22,7.8,30286,90,46,3,6.5,3.6,6167|6223|6235,RPL37|RPS19|RPS29,-0.12,Tbc1d13
Reactome Gene Sets,6,R-HSA-156902,Peptide chain elongation,,-3.5,22,7.8,30286,90,46,3,6.5,3.6,6167|6223|6235,RPL37|RPS19|RPS29,-0.12,Tbc1d13
Reactome Gene Sets,6,R-HSA-156842,Eukaryotic Translation Elongation,,-3.4,21,7.6,30286,94,46,3,6.5,3.6,6167|6223|6235,RPL37|RPS19|RPS29,-0.12,Tbc1d13
Reactome Gene Sets,6,R-HSA-2408557,Selenocysteine synthesis,,-3.4,21,7.6,30286,94,46,3,6.5,3.6,6167|6223|6235,RPL37|RPS19|RPS29,-0.12,Tbc1d13
Reactome Gene Sets,6,R-HSA-72764,Eukaryotic Translation Termination,,-3.4,21,7.6,30286,94,46,3,6.5,3.6,6167|6223|6235,RPL37|RPS19|RPS29,-0.12,Tbc1d13
Reactome Gene Sets,6,R-HSA-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),,-3.4,21,7.5,30286,96,46,3,6.5,3.6,6167|6223|6235,RPL37|RPS19|RPS29,-0.12,Tbc1d13
