Gene,TotalEvidenceCounts,EvidenceHit:Tbc1d13,EvidenceGO:Tbc1d13,EvidencePPI:Tbc1d13
6235,3.0,1,1,1
6223,3.0,1,1,1
6167,3.0,1,1,1
51170,2.0,1,0,1
57576,2.0,1,0,1
4294,2.0,1,0,1
60386,2.0,1,0,1
39,2.0,1,0,1
3748,2.0,1,0,1
90990,2.0,1,0,1
1759,2.0,1,0,1
25851,2.0,1,0,1
124739,2.0,1,0,1
23506,2.0,1,0,1
79734,1.0,1,0,0
5621,1.0,1,0,0
56616,1.0,1,0,0
57464,1.0,1,0,0
8558,1.0,1,0,0
8541,1.0,1,0,0
57732,1.0,1,0,0
78987,1.0,1,0,0
84940,1.0,1,0,0
84444,1.0,1,0,0
55898,1.0,1,0,0
6307,1.0,1,0,0
56006,1.0,1,0,0
10147,1.0,1,0,0
55621,1.0,1,0,0
55160,1.0,1,0,0
151835,1.0,1,0,0
23225,1.0,1,0,0
25759,1.0,1,0,0
25900,1.0,1,0,0
2720,1.0,1,0,0
283987,1.0,1,0,0
2901,1.0,1,0,0
3274,1.0,1,0,0
3714,1.0,1,0,0
389337,1.0,1,0,0
3949,1.0,1,0,0
402665,1.0,1,0,0
440193,1.0,1,0,0
118813,1.0,1,0,0
55005,1.0,1,0,0
5141,1.0,1,0,0
