_MEMBER_Tbc1d13,Gene,_PATTERN_,_WEIGHTED_RANK_,_RANK_
1,60386,M1,0.021739130434782608,1
1,78987,M1,0.021739130434782608,1
1,2720,M1,0.021739130434782608,1
1,39,M1,0.021739130434782608,1
1,3714,M1,0.021739130434782608,1
1,389337,M1,0.021739130434782608,1
1,57576,M1,0.021739130434782608,1
1,23506,M1,0.021739130434782608,1
1,8558,M1,0.021739130434782608,1
1,55898,M1,0.021739130434782608,1
1,4294,M1,0.021739130434782608,1
1,440193,M1,0.021739130434782608,1
1,8541,M1,0.021739130434782608,1
1,25759,M1,0.021739130434782608,1
1,55005,M1,0.021739130434782608,1
1,90990,M1,0.021739130434782608,1
1,2901,M1,0.021739130434782608,1
1,124739,M1,0.021739130434782608,1
1,56006,M1,0.021739130434782608,1
1,5621,M1,0.021739130434782608,1
1,6167,M1,0.021739130434782608,1
1,3949,M1,0.021739130434782608,1
1,23225,M1,0.021739130434782608,1
1,118813,M1,0.021739130434782608,1
1,151835,M1,0.021739130434782608,1
1,55160,M1,0.021739130434782608,1
1,3274,M1,0.021739130434782608,1
1,6235,M1,0.021739130434782608,1
1,84444,M1,0.021739130434782608,1
1,402665,M1,0.021739130434782608,1
1,51170,M1,0.021739130434782608,1
1,84940,M1,0.021739130434782608,1
1,6307,M1,0.021739130434782608,1
1,79734,M1,0.021739130434782608,1
1,56616,M1,0.021739130434782608,1
1,25851,M1,0.021739130434782608,1
1,25900,M1,0.021739130434782608,1
1,57732,M1,0.021739130434782608,1
1,57464,M1,0.021739130434782608,1
1,283987,M1,0.021739130434782608,1
1,1759,M1,0.021739130434782608,1
1,3748,M1,0.021739130434782608,1
1,5141,M1,0.021739130434782608,1
1,55621,M1,0.021739130434782608,1
1,10147,M1,0.021739130434782608,1
1,6223,M1,0.021739130434782608,1
