Gene,_SCORE_GRP4_,_SCORE_GRP1_,_SCORE_GRP3_,_SCORE_GRP2_,_SCORE_GRP5_,GRP1|19_GO:0098609|-4.333|cell-cell adhesion,GRP1|19_GO:0098742|-4.377|cell-cell adhesion via plasma-membrane adhesion molecules,GRP1|19_GO:0034330|-3.191|cell junction organization,GRP1|19_GO:0034329|-2.905|cell junction assembly,GRP2|19_GO:0042063|-2.954|gliogenesis,GRP2|19_GO:0010001|-3.244|glial cell differentiation,GRP2|19_GO:0008366|-3.901|axon ensheathment,GRP2|19_GO:0007272|-3.901|ensheathment of neurons,GRP3|19_GO:0032989|-2.986|cellular anatomical entity morphogenesis,GRP4|19_GO:0048232|-2.874|male gamete generation,GRP4|19_GO:0007283|-2.916|spermatogenesis,GRP5|19_GO:0030036|-2.107|actin cytoskeleton organization,_SORT_,_SORT_GRP1_,_SORT_GRP2_,_SORT_GRP3_,_SORT_GRP4_,_SORT_GRP5_
29767,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,5,0,0,2,0,2
7182,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,10,0,0,0,2,0
443,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.2,0.0,0.0,0.0,0.0,4,0,2,0,0,0
59338,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,9,0,0,0,1,0
57451,0.0,0.5,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,5,0,0,0,0
7704,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,11,0,0,0,3,0
8633,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,3,0,0,1,0,0
81671,0.0,0.75,0.0,0.0,0.0,0.3,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,3,0,0,0,0
8476,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,7,0,0,0,0,1
3556,0.0,0.75,0.0,0.0,0.0,0.3,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,4,0,0,0,0
5010,1.0,1.0,0.0,0.5,0.0,0.3,0.3,0.2,0.1,0.0,0.0,0.2,0.2,0.0,0.1,0.1,0.0,8,2,3,0,4,0
28513,0.0,1.0,0.0,0.0,0.0,0.3,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1,0,0,0,0
9844,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,6,0,0,0,0,3
4336,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.2,0.1,0.0,0.0,0.0,1,0,1,3,0,0
3908,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.1,0.0,0.0,0.0,2,0,4,4,0,0
