Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0098609,cell-cell adhesion,19_GO:0009987 cellular process,-7.9,30,13,30286,542,11,6,55,15,1496|1740|2895|6091|22871|23245,CTNNA2|DLG2|GRID2|ROBO1|NLGN1|ASTN2,-3.5,Lrp1b
GO Biological Processes,19,GO:0099536,synaptic signaling,19_GO:0050789 regulation of biological process,-6.5,30,12,30286,461,11,5,45,15,1740|2895|22871|23236|440279,DLG2|GRID2|NLGN1|PLCB1|UNC13C,-2.6,Lrp1b
GO Biological Processes,19,GO:0050804,modulation of chemical synaptic transmission,19_GO:0050789 regulation of biological process,-6.3,28,11,30286,493,11,5,45,15,2895|10718|22871|23236|440279,GRID2|NRG3|NLGN1|PLCB1|UNC13C,-2.6,Lrp1b
GO Biological Processes,19,GO:0099177,regulation of trans-synaptic signaling,19_GO:0050789 regulation of biological process,-6.3,28,11,30286,494,11,5,45,15,2895|10718|22871|23236|440279,GRID2|NRG3|NLGN1|PLCB1|UNC13C,-2.6,Lrp1b
Reactome Gene Sets,6,R-HSA-6794361,Neurexins and neuroligins,,-6,1.5e+02,21,30286,55,11,3,27,13,1740|22871|80059,DLG2|NLGN1|LRRTM4,-2.4,Lrp1b
GO Biological Processes,19,GO:0007420,brain development,19_GO:0032502 developmental process,-5.5,19,9.3,30286,729,11,5,45,15,1496|2895|6091|10718|23236,CTNNA2|GRID2|ROBO1|NRG3|PLCB1,-2,Lrp1b
Reactome Gene Sets,6,R-HSA-6794362,Protein-protein interactions at synapses,,-5.4,96,17,30286,86,11,3,27,13,1740|22871|80059,DLG2|NLGN1|LRRTM4,-2,Lrp1b
GO Biological Processes,19,GO:0060322,head development,19_GO:0032502 developmental process,-5.3,18,9,30286,778,11,5,45,15,1496|2895|6091|10718|23236,CTNNA2|GRID2|ROBO1|NRG3|PLCB1,-2,Lrp1b
GO Biological Processes,19,GO:0050808,synapse organization,19_GO:0009987 cellular process,-5.3,33,11,30286,337,11,4,36,15,2895|10718|22871|440279,GRID2|NRG3|NLGN1|UNC13C,-2,Lrp1b
GO Biological Processes,19,GO:0007416,synapse assembly,19_GO:0032502 developmental process,-5,71,14,30286,117,11,3,27,13,2895|10718|22871,GRID2|NRG3|NLGN1,-1.8,Lrp1b
Reactome Gene Sets,6,R-HSA-112316,Neuronal System,,-5,27,10,30286,410,11,4,36,15,1740|22871|23236|80059,DLG2|NLGN1|PLCB1|LRRTM4,-1.8,Lrp1b
GO Biological Processes,19,GO:0007268,chemical synaptic transmission,19_GO:0050789 regulation of biological process,-5,27,10,30286,415,11,4,36,15,1740|2895|22871|440279,DLG2|GRID2|NLGN1|UNC13C,-1.8,Lrp1b
GO Biological Processes,19,GO:0098916,anterograde trans-synaptic signaling,19_GO:0050789 regulation of biological process,-5,27,10,30286,415,11,4,36,15,1740|2895|22871|440279,DLG2|GRID2|NLGN1|UNC13C,-1.8,Lrp1b
GO Biological Processes,19,GO:0099537,trans-synaptic signaling,19_GO:0050789 regulation of biological process,-4.9,25,9.8,30286,432,11,4,36,15,1740|2895|22871|440279,DLG2|GRID2|NLGN1|UNC13C,-1.7,Lrp1b
GO Biological Processes,19,GO:0010975,regulation of neuron projection development,19_GO:0032502 developmental process,-4.8,24,9.5,30286,460,11,4,36,15,1496|2895|6091|22871,CTNNA2|GRID2|ROBO1|NLGN1,-1.6,Lrp1b
GO Biological Processes,19,GO:0034330,cell junction organization,19_GO:0009987 cellular process,-4.5,21,8.7,30286,533,11,4,36,15,2895|10718|22871|440279,GRID2|NRG3|NLGN1|UNC13C,-1.4,Lrp1b
GO Biological Processes,19,GO:0120035,regulation of plasma membrane bounded cell projection organization,19_GO:0050789 regulation of biological process,-4.2,17,7.8,30286,659,11,4,36,15,1496|2895|6091|22871,CTNNA2|GRID2|ROBO1|NLGN1,-1.1,Lrp1b
GO Biological Processes,19,GO:0031344,regulation of cell projection organization,19_GO:0050789 regulation of biological process,-4.1,16,7.7,30286,676,11,4,36,15,1496|2895|6091|22871,CTNNA2|GRID2|ROBO1|NLGN1,-1.1,Lrp1b
GO Biological Processes,19,GO:0050807,regulation of synapse organization,19_GO:0050789 regulation of biological process,-4.1,34,9.8,30286,243,11,3,27,13,1496|2895|22871,CTNNA2|GRID2|NLGN1,-1,Lrp1b
GO Biological Processes,19,GO:0050803,regulation of synapse structure or activity,19_GO:0065007 biological regulation,-4.1,33,9.7,30286,249,11,3,27,13,1496|2895|22871,CTNNA2|GRID2|NLGN1,-1,Lrp1b
GO Biological Processes,19,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,19_GO:0009987 cellular process,-4,32,9.5,30286,261,11,3,27,13,2895|6091|22871,GRID2|ROBO1|NLGN1,-1,Lrp1b
GO Biological Processes,19,GO:0021537,telencephalon development,19_GO:0032502 developmental process,-3.9,30,9.2,30286,275,11,3,27,13,6091|10718|23236,ROBO1|NRG3|PLCB1,-0.95,Lrp1b
GO Biological Processes,19,GO:0034329,cell junction assembly,19_GO:0009987 cellular process,-3.9,29,9.1,30286,283,11,3,27,13,2895|10718|22871,GRID2|NRG3|NLGN1,-0.93,Lrp1b
GO Biological Processes,19,GO:0051962,positive regulation of nervous system development,19_GO:0032502 developmental process,-3.9,28,8.9,30286,294,11,3,27,13,2895|6091|22871,GRID2|ROBO1|NLGN1,-0.9,Lrp1b
GO Biological Processes,19,GO:0030336,negative regulation of cell migration,19_GO:0040011 locomotion,-3.5,22,7.7,30286,381,11,3,27,13,6091|10718|23236,ROBO1|NRG3|PLCB1,-0.59,Lrp1b
GO Biological Processes,19,GO:2000146,negative regulation of cell motility,19_GO:0040011 locomotion,-3.5,21,7.6,30286,396,11,3,27,13,6091|10718|23236,ROBO1|NRG3|PLCB1,-0.56,Lrp1b
GO Biological Processes,19,GO:0030900,forebrain development,19_GO:0032502 developmental process,-3.4,20,7.5,30286,407,11,3,27,13,6091|10718|23236,ROBO1|NRG3|PLCB1,-0.54,Lrp1b
GO Biological Processes,19,GO:0040013,negative regulation of locomotion,19_GO:0040011 locomotion,-3.4,19,7.2,30286,431,11,3,27,13,6091|10718|23236,ROBO1|NRG3|PLCB1,-0.48,Lrp1b
GO Biological Processes,19,GO:0032102,negative regulation of response to external stimulus,19_GO:0048519 negative regulation of biological process,-3.3,18,7,30286,453,11,3,27,13,1496|2895|6091,CTNNA2|GRID2|ROBO1,-0.43,Lrp1b
