_MEMBER_Lrp1b,_LogP_Lrp1b,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-5,GO:0007268,chemical synaptic transmission,M1,1,0
1,-3.5,GO:0030336,negative regulation of cell migration,M1,1,0
1,-5,R-HSA-112316,Neuronal System,M1,1,0
1,-5.3,GO:0050808,synapse organization,M1,1,0
1,-2.8,GO:0000902,cell morphogenesis,M1,1,0
1,-3.9,GO:0051962,positive regulation of nervous system development,M1,1,0
1,-3.9,GO:0034329,cell junction assembly,M1,1,0
1,-4.1,GO:0050807,regulation of synapse organization,M1,1,0
1,-3.4,GO:0030900,forebrain development,M1,1,0
1,-2.9,GO:0032989,cellular anatomical entity morphogenesis,M1,1,0
1,-2.8,GO:0031175,neuron projection development,M1,1,0
1,-5,GO:0007416,synapse assembly,M1,1,0
1,-3.3,GO:0051960,regulation of nervous system development,M1,1,0
1,-7.9,GO:0098609,cell-cell adhesion,M1,1,0
1,-4.1,GO:0031344,regulation of cell projection organization,M1,1,0
1,-4.1,GO:0050803,regulation of synapse structure or activity,M1,1,0
1,-3.2,GO:0048812,neuron projection morphogenesis,M1,1,0
1,-5.3,GO:0060322,head development,M1,1,0
1,-3.1,GO:0010035,response to inorganic substance,M1,1,0
1,-6.5,GO:0099536,synaptic signaling,M1,1,0
1,-4.2,GO:0120035,regulation of plasma membrane bounded cell projection organization,M1,1,0
1,-3.5,GO:2000146,negative regulation of cell motility,M1,1,0
1,-5.4,R-HSA-6794362,Protein-protein interactions at synapses,M1,1,0
1,-3.9,GO:0021537,telencephalon development,M1,1,0
1,-3.3,GO:0032102,negative regulation of response to external stimulus,M1,1,0
1,-3.2,GO:0048858,cell projection morphogenesis,M1,1,0
1,-6.3,GO:0099177,regulation of trans-synaptic signaling,M1,1,0
1,-5,GO:0098916,anterograde trans-synaptic signaling,M1,1,0
1,-3.4,GO:0040013,negative regulation of locomotion,M1,1,0
1,-4.9,GO:0099537,trans-synaptic signaling,M1,1,0
1,-6,R-HSA-6794361,Neurexins and neuroligins,M1,1,0
1,-5.5,GO:0007420,brain development,M1,1,0
1,-6.3,GO:0050804,modulation of chemical synaptic transmission,M1,1,0
1,-4,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,M1,1,0
1,-4.5,GO:0034330,cell junction organization,M1,1,0
1,-3.2,GO:0120039,plasma membrane bounded cell projection morphogenesis,M1,1,0
1,-4.8,GO:0010975,regulation of neuron projection development,M1,1,0
