sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
1	B_7	1233	1139	954	852	487	547	567	484	441	247	194	252	198	171	246	135	14	87	75	80	57	37	45	16	20	21	11
2	P_65	594	926	921	632	829	1179	340	345	243	212	226	196	251	177	105	104	3	110	192	60	103	58	19	47	31	4	26
3	P_69	1033	1221	1166	631	711	636	516	431	413	230	200	265	245	105	150	133	302	68	152	84	130	42	54	32	14	8	15
4	J_3	190	329	399	313	333	268	127	92	60	155	225	88	132	72	31	10	180	27	30	17	29	130	10	11	35	55	5
5	J_4	747	732	827	943	350	373	394	268	277	405	126	161	169	241	141	84	39	191	78	63	52	46	46	18	19	27	9
6	P_52	1072	894	1088	489	303	429	346	402	239	214	309	250	114	209	163	111	71	144	97	60	87	48	28	18	28	15	12
7	P_62	1162	737	568	558	758	491	702	371	314	220	113	215	270	301	167	67	NA	114	70	119	66	115	71	24	71	16	17
8	P_67	687	925	680	483	660	545	437	326	383	184	266	241	179	111	210	86	6	46	98	83	45	46	68	52	33	28	20
9	B_10	728	804	546	485	707	520	390	292	323	154	185	161	221	114	164	192	70	67	66	59	106	98	61	65	58	13	15
10	B_8	573	603	529	316	265	86	210	192	307	133	145	161	100	85	96	131	27	37	18	22	25	30	18	14	26	6	4
11	B_9	855	851	1240	609	776	675	433	338	313	302	199	183	232	158	162	177	598	52	111	75	107	88	40	49	36	14	13
12	P_71	840	615	571	431	565	467	538	388	250	128	74	236	145	278	114	45	86	122	52	70	69	91	51	82	57	4	13
13	J_1	503	558	642	583	372	328	313	210	204	284	157	119	156	91	109	37	43	69	47	54	40	37	34	18	20	5	4
14	J_2	1337	1206	1146	879	371	791	760	509	458	308	352	306	215	146	222	124	143	113	122	119	98	32	80	12	11	32	13
15	P_53	572	484	699	425	257	561	354	227	173	238	165	124	141	190	131	78	4	106	97	55	46	56	39	11	36	9	11
16	P_54	726	638	330	614	307	502	355	225	184	210	125	127	190	104	78	38	3	43	65	50	37	22	28	19	21	8	5
17	P_64	926	865	916	738	1421	671	519	394	468	326	300	218	324	187	177	227	3	95	95	104	67	80	57	98	45	28	27
18	P_68	1144	802	394	511	426	542	507	276	394	151	241	180	192	124	97	152	2	89	41	69	46	36	6	14	18	39	15
