sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
1	B_10	329	557	433	478	349	82	331	462	170	190	147	186	154	113	126	115	165	353	137	81	179	56	48	52	98	31	61	68	NA	58	53	13	6	242
2	B_7	759	990	758	447	547	715	505	110	253	279	206	130	197	156	109	152	128	2	158	86	116	23	74	51	19	57	44	13	NA	14	2	24	26	3
3	B_8	369	465	315	75	214	172	307	132	126	105	159	84	73	178	114	82	41	83	211	21	113	24	15	19	32	24	26	24	NA	27	11	14	8	1
4	B_9	1215	713	637	609	424	264	353	465	331	207	178	219	194	216	178	165	203	238	152	167	166	548	68	37	91	98	40	83	NA	34	36	15	30	6
5	J_1	628	516	452	313	305	515	136	227	291	152	118	147	117	98	151	88	113	9	94	69	41	44	55	54	33	43	35	37	9	18	10	17	9	NA
6	J_2	915	1015	864	666	741	740	578	91	330	282	263	183	263	220	245	134	81	8	179	152	111	132	112	71	20	42	74	18	NA	1	6	32	29	1
7	J_3	376	268	199	255	123	240	45	180	157	37	85	121	42	98	204	72	121	28	15	28	6	167	19	18	129	40	6	22	NA	31	10	10	46	1
8	J_4	422	190	525	281	360	846	4	156	409	187	91	95	120	75	37	223	66	NA	95	104	62	43	63	152	41	32	40	21	539	15	16	33	9	NA
9	P_52	1036	565	669	349	344	206	435	92	217	386	223	100	201	206	258	203	62	141	67	92	105	73	52	100	46	75	19	17	1	24	5	40	25	NA
10	P_53	656	432	406	503	350	229	255	149	238	158	126	133	135	112	154	191	62	152	79	146	76	4	55	85	53	38	41	36	9	33	10	23	12	NA
11	P_54	274	744	491	208	352	547	12	216	212	91	119	116	105	120	78	104	50	45	73	77	36	6	47	31	18	11	47	15	8	20	12	11	9	13
12	P_62	531	629	856	461	703	262	466	560	230	222	211	262	192	181	98	299	137	212	117	85	66	11	104	84	115	74	56	48	NA	69	20	31	22	1
13	P_64	863	721	728	662	523	513	412	789	339	265	217	297	208	194	270	192	483	141	215	105	219	15	92	73	83	88	66	103	NA	42	84	24	30	30
14	P_65	779	683	607	1032	321	331	150	294	207	192	156	178	162	144	168	162	185	184	85	232	83	8	55	70	46	47	47	73	3	28	15	29	4	NA
15	P_67	537	681	545	338	413	110	241	394	173	223	215	109	151	174	194	105	74	277	146	104	78	9	76	26	39	21	54	47	NA	30	37	15	28	4
16	P_68	366	728	687	519	499	195	522	262	170	152	176	187	150	131	213	123	109	249	229	43	143	8	64	71	35	54	10	40	2	19	7	19	43	1
17	P_69	1006	946	664	495	498	442	391	256	243	175	233	209	194	233	136	88	235	35	122	187	122	267	77	38	20	68	55	24	NA	8	10	17	14	1
18	P_71	455	484	517	348	502	120	378	329	93	123	205	95	188	158	59	210	96	172	60	68	38	85	66	76	94	26	44	36	1	54	63	37	14	NA
