Gene,Gene Symbol,Description,Biological Process (GO),Protein Function (Protein Atlas),Subcellular Location (Protein Atlas),Canonical Pathways,Hallmark Gene Sets
148523,CIART,circadian associated repressor of transcription,GO:0045475 locomotor rhythm;GO:0048512 circadian behavior;GO:0007622 rhythmic behavior,Predicted intracellular proteins,Nucleoplasm (Approved),,
896,CCND3,cyclin D3,GO:0045737 positive regulation of cyclin-dependent protein serine/threonine kinase activity;GO:1904031 positive regulation of cyclin-dependent protein kinase activity;GO:1900087 positive regulation of G1/S transition of mitotic cell cycle,Predicted intracellular proteins; Human disease related genes:Cancers:Cancers of haematopoietic and lymphoid tissues; Cancer-related genes,Nucleoplasm (Supported),(M234)PID IL2 STAT5 PATHWAY; (M58)PID AR PATHWAY; (M279)PID RB 1PATHWAY,(M5908)HALLMARK ANDROGEN RESPONSE; (M5941)HALLMARK UV RESPONSE UP; (M5947)HALLMARK IL2 STAT5 SIGNALING
1826,DSCAM,DS cell adhesion molecule,GO:0060060 post-embryonic retina morphogenesis in camera-type eye;GO:0009886 post-embryonic animal morphogenesis;GO:0048842 positive regulation of axon extension involved in axon guidance,,Golgi apparatus (Approved),(M285)PID HNF3A PATHWAY; (M200)PID ERA GENOMIC PATHWAY,
91782,CHMP7,charged multivesicular body protein 7,GO:1904896 ESCRT complex disassembly;GO:1904903 ESCRT III complex disassembly;GO:0051469 vesicle fusion with vacuole,Predicted intracellular proteins,Nucleoplasm (Supported); Additional: Cytosol,,
64850,ETNPPL,ethanolamine-phosphate phospho-lyase,,ENZYME proteins:Lyases; Enzymes; Predicted intracellular proteins,Nucleoplasm (Approved),,
79632,FAM184A,family with sequence similarity 184 member A,GO:0008150 biological_process,Predicted intracellular proteins,Golgi apparatus (Supported); Additional: Cytosol;Nucleoplasm,,
51582,AZIN1,antizyme inhibitor 1,GO:1902269 positive regulation of polyamine transmembrane transport;GO:0033387 putrescine biosynthetic process from ornithine;GO:0009446 putrescine biosynthetic process,Predicted intracellular proteins,Vesicles (Approved),,
2070,EYA4,EYA transcriptional coactivator and phosphatase 4,GO:1901099 negative regulation of signal transduction in absence of ligand;GO:2001240 negative regulation of extrinsic apoptotic signaling pathway in absence of ligand;GO:2001239 regulation of extrinsic apoptotic signaling pathway in absence of ligand,Enzymes; Potential drug targets; Predicted intracellular proteins; Human disease related genes:Nervous system diseases:Ear disease; ENZYME proteins:Hydrolases; Human disease related genes:Cardiovascular diseases:Cardiac diseases; Disease related genes,Nucleoplasm (Approved),,
64344,HIF3A,hypoxia inducible factor 3 subunit alpha,GO:0001666 response to hypoxia;GO:0036293 response to decreased oxygen levels;GO:0001525 angiogenesis,Transcription factors:Basic domains; Predicted intracellular proteins,Cytosol;Nucleoplasm (Supported); Additional: Plasma membrane,(M180)PID HIF1A PATHWAY,
4952,OCRL,OCRL inositol polyphosphate-5-phosphatase,GO:0036092 phosphatidylinositol-3-phosphate biosynthetic process;GO:0043647 inositol phosphate metabolic process;GO:0046856 phosphatidylinositol dephosphorylation,Human disease related genes:Congenital disorders of metabolism:Congenital disorders of glycan/glycoprotein metabolism; Enzymes; Human disease related genes:Urinary system diseases:Kidney diseases; Potential drug targets; Predicted intracellular proteins; ENZYME proteins:Hydrolases; Disease related genes,Cytosol (Approved); Additional: Centriolar satellite;Microtubules,,(M5910)HALLMARK PROTEIN SECRETION
9975,NR1D2,nuclear receptor subfamily 1 group D member 2,GO:2001014 regulation of skeletal muscle cell differentiation;GO:0048512 circadian behavior;GO:0007622 rhythmic behavior,Transcription factors:Zinc-coordinating DNA-binding domains; Predicted intracellular proteins; Nuclear receptors,Nucleoplasm (Supported),,(M5942)HALLMARK UV RESPONSE DN
28513,CDH19,cadherin 19,GO:0044331 cell-cell adhesion mediated by cadherin;GO:0016339 calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules;GO:0034332 adherens junction organization,Predicted intracellular proteins,,,
2917,GRM7,glutamate metabotropic receptor 7,GO:0014050 negative regulation of glutamate secretion;GO:0007196 adenylate cyclase-inhibiting G protein-coupled glutamate receptor signaling pathway;GO:0007216 G protein-coupled glutamate receptor signaling pathway,G-protein coupled receptors:Family 3 (C) receptors; Disease related genes; Human disease related genes:Congenital malformations:Congenital malformations of the nervous system; G-protein coupled receptors:GPCRs excl olfactory receptors; Predicted intracellular proteins; Potential drug targets,Cytosol (Uncertain),,
1628,DBP,D-box binding PAR bZIP transcription factor,GO:0048511 rhythmic process;GO:0045944 positive regulation of transcription by RNA polymerase II;GO:0045893 positive regulation of DNA-templated transcription,Transcription factors:Basic domains; Predicted intracellular proteins,,,(M5942)HALLMARK UV RESPONSE DN
161357,MDGA2,MAM domain containing glycosylphosphatidylinositol anchor 2,GO:0021522 spinal cord motor neuron differentiation;GO:0021517 ventral spinal cord development;GO:0021515 cell differentiation in spinal cord,Predicted intracellular proteins,,,
199221,DZIP1L,DAZ interacting zinc finger protein 1 like,GO:1905349 ciliary transition zone assembly;GO:0033504 floor plate development;GO:0021532 neural tube patterning,Human disease related genes:Congenital malformations:Congenital malformations of the urinary system; Predicted intracellular proteins; Disease related genes,Microtubules (Supported); Additional: Cytokinetic bridge;Nucleoplasm,,
22978,NT5C2,"5'-nucleotidase, cytosolic II",GO:0050689 negative regulation of defense response to virus by host;GO:0006204 IMP catabolic process;GO:0046054 dGMP metabolic process,Human disease related genes:Nervous system diseases:Other nervous and sensory system diseases; Enzymes; Potential drug targets; ENZYME proteins:Transferases; Predicted intracellular proteins; ENZYME proteins:Hydrolases; Cancer-related genes; Disease related genes,,,
