Gene,Gene Symbol,Description,Biological Process (GO),Kinase Class (UniProt),Protein Function (Protein Atlas),Subcellular Location (Protein Atlas),Canonical Pathways,Hallmark Gene Sets
1639,DCTN1,dynactin subunit 1,GO:1904398 positive regulation of neuromuscular junction development;GO:0090063 positive regulation of microtubule nucleation;GO:1904396 regulation of neuromuscular junction development,,Human disease related genes:Nervous system diseases:Neurodegenerative diseases; Predicted intracellular proteins; Disease related genes; Cancer-related genes,Microtubules (Supported); Additional: Cytokinetic bridge;Mitotic spindle,(M266)PID NCADHERIN PATHWAY,(M5922)HALLMARK UNFOLDED PROTEIN RESPONSE
8935,SKAP2,src kinase associated phosphoprotein 2,GO:0042113 B cell activation;GO:0046649 lymphocyte activation;GO:0045321 leukocyte activation,,Predicted intracellular proteins,Nucleoplasm (Supported); Additional: Cytosol,,(M5915)HALLMARK APICAL JUNCTION; (M5924)HALLMARK MTORC1 SIGNALING
1152,CKB,creatine kinase B,GO:0140651 futile creatine cycle;GO:0006599 phosphagen metabolic process;GO:0006603 phosphocreatine metabolic process,yes,Enzymes; ENZYME proteins:Transferases; Predicted intracellular proteins; Cancer-related genes:Candidate cancer biomarkers; FDA approved drug targets:Small molecule drugs; Candidate cardiovascular disease genes,Cytosol (Supported),,(M5907)HALLMARK ESTROGEN RESPONSE LATE; (M5909)HALLMARK MYOGENESIS
5214,PFKP,"phosphofructokinase, platelet","GO:0030388 fructose 1,6-bisphosphate metabolic process;GO:0006002 fructose 6-phosphate metabolic process;GO:0006735 NADH regeneration",yes,Enzymes; ENZYME proteins:Transferases; Predicted intracellular proteins,Cytosol (Supported),,(M5938)HALLMARK REACTIVE OXYGEN SPECIES PATHWAY; (M5891)HALLMARK HYPOXIA; (M5913)HALLMARK INTERFERON GAMMA RESPONSE
11340,EXOSC8,exosome component 8,GO:0034473 U1 snRNA 3'-end processing;GO:0034476 U5 snRNA 3'-end processing;GO:0071042 nuclear polyadenylation-dependent mRNA catabolic process,,Human disease related genes:Congenital malformations:Congenital malformations of the nervous system; Predicted intracellular proteins; Disease related genes,Mitotic chromosome;Nucleoli fibrillar center (Approved); Additional: Cytosol;Nucleoplasm;Vesicles,,(M5925)HALLMARK E2F TARGETS
10207,PATJ,PATJ crumbs cell polarity complex component,GO:0035089 establishment of apical/basal cell polarity;GO:0061162 establishment of monopolar cell polarity;GO:0061339 establishment or maintenance of monopolar cell polarity,,Predicted intracellular proteins,Cell Junctions (Supported); Additional: Centriolar satellite;Cytosol,,
56938,BMAL2,basic helix-loop-helix ARNT like 2,GO:0042753 positive regulation of circadian rhythm;GO:0009649 entrainment of circadian clock;GO:0032922 circadian regulation of gene expression,,Transcription factors:Basic domains; Predicted intracellular proteins,Nucleoli;Nucleoplasm (Supported),,
3157,HMGCS1,3-hydroxy-3-methylglutaryl-CoA synthase 1,"GO:0010142 farnesyl diphosphate biosynthetic process, mevalonate pathway;GO:0045337 farnesyl diphosphate biosynthetic process;GO:0045338 farnesyl diphosphate metabolic process",,Enzymes; ENZYME proteins:Transferases; Predicted intracellular proteins,Cytosol;Nucleoplasm (Supported); Additional: Plasma membrane,(M106)PID HNF3B PATHWAY,(M5892)HALLMARK CHOLESTEROL HOMEOSTASIS; (M5908)HALLMARK ANDROGEN RESPONSE; (M5935)HALLMARK FATTY ACID METABOLISM
5826,ABCD4,ATP binding cassette subfamily D member 4,GO:0015910 long-chain fatty acid import into peroxisome;GO:0042760 very long-chain fatty acid catabolic process;GO:0009235 cobalamin metabolic process,,Enzymes; Human disease related genes:Congenital disorders of metabolism:Congenital disorders of amino acid metabolism; Transporters:Primary Active Transporters; Potential drug targets; Human disease related genes:Congenital disorders of metabolism:Congenital disorders of cofactor/vitamin metabolism; Predicted intracellular proteins; ENZYME proteins; Disease related genes,,,
2006,ELN,elastin,GO:0030038 contractile actin filament bundle assembly;GO:0043149 stress fiber assembly;GO:0085029 extracellular matrix assembly,,Predicted secreted proteins; Human disease related genes:Congenital malformations:Congenital malformations of skin; Predicted intracellular proteins; Human disease related genes:Other congenital disorders:Chromosomal abnormalities; Human disease related genes:Congenital malformations:Congenital malformations of the circulatory system; Disease related genes,Plasma membrane (Approved),(M3008)NABA ECM GLYCOPROTEINS; (M5884)NABA CORE MATRISOME; (M5889)NABA MATRISOME,(M5930)HALLMARK EPITHELIAL MESENCHYMAL TRANSITION
