Gene,Gene Symbol,Description,Biological Process (GO),Protein Function (Protein Atlas),Subcellular Location (Protein Atlas),Canonical Pathways,Hallmark Gene Sets
81792,ADAMTS12,ADAM metallopeptidase with thrombospondin type 1 motif 12,GO:1902203 negative regulation of hepatocyte growth factor receptor signaling pathway;GO:2001112 regulation of cellular response to hepatocyte growth factor stimulus;GO:2001113 negative regulation of cellular response to hepatocyte growth factor stimulus,Predicted secreted proteins,Nucleoli (Approved); Additional: Mitochondria,(M3468)NABA ECM REGULATORS; (M5885)NABA MATRISOME ASSOCIATED; (M5889)NABA MATRISOME,
144165,PRICKLE1,prickle planar cell polarity protein 1,GO:0061864 basement membrane constituent secretion;GO:0061865 polarized secretion of basement membrane proteins in epithelium;GO:1905070 anterior visceral endoderm cell migration,Predicted intracellular proteins; Human disease related genes:Nervous system diseases:Epilepsy; Disease related genes,Nucleoplasm (Approved),,
7092,TLL1,tolloid like 1,GO:0030199 collagen fibril organization;GO:0009953 dorsal/ventral pattern formation;GO:0016485 protein processing,Predicted secreted proteins; Human disease related genes:Congenital malformations:Congenital malformations of the circulatory system; Predicted intracellular proteins; Disease related genes,Vesicles (Approved),(M3468)NABA ECM REGULATORS; (M5885)NABA MATRISOME ASSOCIATED; (M5889)NABA MATRISOME,
4045,LSAMP,limbic system associated membrane protein,GO:0007155 cell adhesion;GO:0007399 nervous system development;GO:0048731 system development,Predicted intracellular proteins,Cytosol (Enhanced),,
25834,MGAT4C,MGAT4 family member C,GO:0019082 viral protein processing;GO:0019080 viral gene expression;GO:0006487 protein N-linked glycosylation,Enzymes; ENZYME proteins:Transferases,Plasma membrane;Vesicles (Approved); Additional: Centriolar satellite,,
10160,FARP1,"FERM, ARH/RhoGEF and pleckstrin domain protein 1",GO:0098942 retrograde trans-synaptic signaling by trans-synaptic protein complex;GO:0098917 retrograde trans-synaptic signaling;GO:1904395 positive regulation of skeletal muscle acetylcholine-gated channel clustering,Predicted intracellular proteins,Cytosol (Approved),(M68)PID RHOA REG PATHWAY,(M5893)HALLMARK MITOTIC SPINDLE; (M5906)HALLMARK ESTROGEN RESPONSE EARLY; (M5907)HALLMARK ESTROGEN RESPONSE LATE
5125,PCSK5,proprotein convertase subtilisin/kexin type 5,GO:0001999 renal response to blood flow involved in circulatory renin-angiotensin regulation of systemic arterial blood pressure;GO:0002001 renin secretion into blood stream;GO:0140447 cytokine precursor processing,Predicted secreted proteins; Enzymes; Predicted intracellular proteins; Peptidases:Serine-type peptidases,Golgi apparatus (Supported),(M3468)NABA ECM REGULATORS; (M5885)NABA MATRISOME ASSOCIATED; (M5889)NABA MATRISOME,
10260,DENND4A,DENN domain containing 4A,GO:0032483 regulation of Rab protein signal transduction;GO:0051056 regulation of small GTPase mediated signal transduction;GO:1902531 regulation of intracellular signal transduction,Predicted intracellular proteins,Nucleoli rim (Approved); Additional: Mitotic chromosome;Nucleoplasm,,
4325,MMP16,matrix metallopeptidase 16,GO:0035988 chondrocyte proliferation;GO:0097094 craniofacial suture morphogenesis;GO:0001958 endochondral ossification,Predicted secreted proteins; Enzymes; Predicted intracellular proteins; Cancer-related genes:Candidate cancer biomarkers; Peptidases:Metallopeptidases,Cytosol (Approved); Additional: Vesicles,(M3468)NABA ECM REGULATORS; (M5885)NABA MATRISOME ASSOCIATED; (M5889)NABA MATRISOME,(M5942)HALLMARK UV RESPONSE DN
51473,DCDC2,doublecortin domain containing 2,GO:0045880 positive regulation of smoothened signaling pathway;GO:0006968 cellular defense response;GO:0048813 dendrite morphogenesis,Human disease related genes:Congenital malformations:Congenital malformations of the urinary system; Predicted intracellular proteins; Human disease related genes:Nervous system diseases:Ear disease; Disease related genes,Cytosol (Supported); Additional: Centriolar satellite;Microtubules;Mitotic spindle,,
114134,SLC2A13,solute carrier family 2 member 13,GO:0015798 myo-inositol transport;GO:1902004 positive regulation of amyloid-beta formation;GO:1902993 positive regulation of amyloid precursor protein catabolic process,Transporters:Electrochemical Potential-driven transporters,Nuclear membrane (Approved),,
9079,LDB2,LIM domain binding 2,GO:0010669 epithelial structure maintenance;GO:0035019 somatic stem cell population maintenance;GO:0001942 hair follicle development,Predicted intracellular proteins,Nucleoli;Nucleoplasm (Supported); Additional: Plasma membrane,,
8672,EIF4G3,eukaryotic translation initiation factor 4 gamma 3,GO:0006413 translational initiation;GO:0006446 regulation of translational initiation;GO:0045727 positive regulation of translation,Predicted intracellular proteins,Cytosol (Approved),,(M5950)HALLMARK ALLOGRAFT REJECTION
26059,ERC2,ELKS/RAB6-interacting/CAST family member 2,GO:0150037 regulation of calcium-dependent activation of synaptic vesicle fusion;GO:0048790 maintenance of presynaptic active zone structure;GO:1990709 presynaptic active zone organization,Predicted intracellular proteins,,,
84898,PLXDC2,plexin domain containing 2,,,Nuclear bodies (Supported),(M5880)NABA ECM AFFILIATED; (M5885)NABA MATRISOME ASSOCIATED; (M5889)NABA MATRISOME,
57569,ARHGAP20,Rho GTPase activating protein 20,GO:0035023 regulation of Rho protein signal transduction;GO:0051056 regulation of small GTPase mediated signal transduction;GO:1902531 regulation of intracellular signal transduction,Predicted intracellular proteins; Disease related genes,Mitochondria (Approved),,
