Gene,Gene Symbol,Description,Biological Process (GO),Protein Function (Protein Atlas),Subcellular Location (Protein Atlas),Canonical Pathways,Hallmark Gene Sets
801,CALM1,calmodulin 1,GO:1901842 negative regulation of high voltage-gated calcium channel activity;GO:0051343 positive regulation of cyclic-nucleotide phosphodiesterase activity;GO:1905913 negative regulation of calcium ion export across plasma membrane,Predicted intracellular proteins; FDA approved drug targets:Small molecule drugs; Human disease related genes:Cardiovascular diseases:Cardiac diseases; Disease related genes; RAS pathway related proteins,Cytosol (Supported),,(M5921)HALLMARK COMPLEMENT
140735,DYNLL2,dynein light chain LC8-type 2,GO:0007017 microtubule-based process;GO:0009987 cellular process;GO:0008150 biological_process,Predicted intracellular proteins,Cytosol;Nucleoplasm (Uncertain); Additional: Nuclear bodies,,(M5893)HALLMARK MITOTIC SPINDLE
9951,HS3ST4,heparan sulfate-glucosamine 3-sulfotransferase 4,GO:0030201 heparan sulfate proteoglycan metabolic process;GO:0015012 heparan sulfate proteoglycan biosynthetic process;GO:0030166 proteoglycan biosynthetic process,Enzymes; ENZYME proteins:Transferases,,,
3096,HIVEP1,HIVEP zinc finger 1,GO:0030509 BMP signaling pathway;GO:0071772 response to BMP;GO:0071773 cellular response to BMP stimulus,Predicted intracellular proteins; Transcription factors:Zinc-coordinating DNA-binding domains,Nucleoplasm (Supported); Additional: Cytosol;Mitochondria;Nuclear bodies,,
55534,MAML3,mastermind like transcriptional coactivator 3,GO:0007221 positive regulation of transcription of Notch receptor target;GO:0007219 Notch signaling pathway;GO:0045944 positive regulation of transcription by RNA polymerase II,Predicted intracellular proteins,Nuclear speckles (Supported),,
147381,CBLN2,cerebellin 2 precursor,GO:0098814 spontaneous synaptic transmission;GO:0099558 maintenance of synapse structure;GO:0099174 regulation of presynapse organization,Predicted secreted proteins; Predicted intracellular proteins,,(M5883)NABA SECRETED FACTORS; (M5885)NABA MATRISOME ASSOCIATED; (M5889)NABA MATRISOME,
94032,CAMK2N2,calcium/calmodulin dependent protein kinase II inhibitor 2,GO:0006469 negative regulation of protein kinase activity;GO:0033673 negative regulation of kinase activity;GO:0051348 negative regulation of transferase activity,Predicted intracellular proteins,Cell Junctions;Nuclear membrane (Approved); Additional: Centriolar satellite,,
6327,SCN2B,sodium voltage-gated channel beta subunit 2,GO:0046684 response to pyrethroid;GO:0017085 response to insecticide;GO:0060371 regulation of atrial cardiac muscle cell membrane depolarization,Human disease related genes:Cardiovascular diseases:Cardiac diseases; Transporters:Accessory Factors Involved in Transport; FDA approved drug targets:Small molecule drugs; Disease related genes,,,
6324,SCN1B,sodium voltage-gated channel beta subunit 1,GO:0021966 corticospinal neuron axon guidance;GO:1905152 positive regulation of voltage-gated sodium channel activity;GO:0086017 Purkinje myocyte action potential,Predicted secreted proteins; Human disease related genes:Nervous system diseases:Epilepsy; Predicted intracellular proteins; FDA approved drug targets:Small molecule drugs; Human disease related genes:Cardiovascular diseases:Cardiac diseases; Disease related genes,,,(M5932)HALLMARK INFLAMMATORY RESPONSE; (M5953)HALLMARK KRAS SIGNALING UP
57469,PNMA8B,PNMA family member 8B,,Predicted intracellular proteins,,,
9883,POM121,POM121 transmembrane nucleoporin,GO:0006405 RNA export from nucleus;GO:0006606 protein import into nucleus;GO:0051170 import into nucleus,Transporters:Transporter channels and pores; Predicted intracellular proteins,Nuclear membrane;Nucleoplasm (Enhanced),,(M5898)HALLMARK DNA REPAIR; (M5939)HALLMARK P53 PATHWAY
4747,NEFL,neurofilament light chain,GO:0045105 intermediate filament polymerization or depolymerization;GO:1903937 response to acrylamide;GO:0033693 neurofilament bundle assembly,Human disease related genes:Nervous system diseases:Neurodegenerative diseases; Predicted intracellular proteins; Disease related genes,Intermediate filaments;Nucleoplasm (Approved); Additional: Midbody,,
84247,RTL6,retrotransposon Gag like 6,,Predicted intracellular proteins,Nuclear speckles (Approved); Additional: Cytosol,,
4692,NDN,"necdin, MAGE family member",GO:0090312 positive regulation of protein deacetylation;GO:0048011 neurotrophin TRK receptor signaling pathway;GO:0007413 axonal fasciculation,Human disease related genes:Other congenital disorders:Chromosomal abnormalities; Predicted intracellular proteins,Cytosol;Nucleoplasm (Approved),(M153)PID P75 NTR PATHWAY,
7529,YWHAB,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta,GO:0051220 cytoplasmic sequestering of protein;GO:0035308 negative regulation of protein dephosphorylation;GO:0035305 negative regulation of dephosphorylation,Cancer-related genes:Candidate cancer biomarkers; Predicted intracellular proteins,Cytosol (Supported),(M199)PID P38 MK2 PATHWAY; (M247)PID INSULIN GLUCOSE PATHWAY; (M30)PID HDAC CLASSII PATHWAY,(M5923)HALLMARK PI3K AKT MTOR SIGNALING
23576,DDAH1,dimethylarginine dimethylaminohydrolase 1,GO:0000052 citrulline metabolic process;GO:0006527 arginine catabolic process;GO:1900038 negative regulation of cellular response to hypoxia,Enzymes; ENZYME proteins:Hydrolases; Predicted intracellular proteins,Cytosol;Plasma membrane (Approved); Additional: Nucleoli,,(M5942)HALLMARK UV RESPONSE DN
1490,CCN2,cellular communication network factor 2,GO:0035988 chondrocyte proliferation;GO:0001502 cartilage condensation;GO:0098743 cell aggregation,Cancer-related genes:Candidate cancer biomarkers; Predicted secreted proteins,Golgi apparatus (Supported),(M159)PID AMB2 NEUTROPHILS PATHWAY; (M286)PID TGFBR PATHWAY; (M3008)NABA ECM GLYCOPROTEINS,(M5891)HALLMARK HYPOXIA; (M5930)HALLMARK EPITHELIAL MESENCHYMAL TRANSITION
4297,KMT2A,lysine methyltransferase 2A,GO:0090310 negative regulation of DNA methylation-dependent heterochromatin formation;GO:0031452 negative regulation of heterochromatin formation;GO:0120262 negative regulation of heterochromatin organization,Enzymes; Potential drug targets; ENZYME proteins:Transferases; Predicted intracellular proteins; Cancer-related genes:Mutated cancer genes; Transcription factors:Zinc-coordinating DNA-binding domains; Human disease related genes:Cancers:Cancers of haematopoietic and lymphoid tissues; Cancer-related genes:Mutational cancer driver genes; Human disease related genes:Congenital malformations:Other congenital malformations; Disease related genes,Nucleoplasm (Supported); Additional: Cytosol,,
5522,PPP2R2C,protein phosphatase 2 regulatory subunit Bgamma,,Predicted intracellular proteins,Cytosol (Approved),,(M5915)HALLMARK APICAL JUNCTION
406,BMAL1,basic helix-loop-helix ARNT like 1,GO:0090403 oxidative stress-induced premature senescence;GO:2000323 negative regulation of glucocorticoid receptor signaling pathway;GO:2000322 regulation of glucocorticoid receptor signaling pathway,Transcription factors:Basic domains; Predicted intracellular proteins,Nucleoplasm (Supported); Additional: Vesicles,(M95)PID CIRCADIAN PATHWAY,
1129,CHRM2,cholinergic receptor muscarinic 2,GO:0007197 adenylate cyclase-inhibiting G protein-coupled acetylcholine receptor signaling pathway;GO:0007207 phospholipase C-activating G protein-coupled acetylcholine receptor signaling pathway;GO:0007213 G protein-coupled acetylcholine receptor signaling pathway,G-protein coupled receptors:GPCRs excl olfactory receptors; FDA approved drug targets:Small molecule drugs; Disease related genes,,,
5999,RGS4,regulator of G protein signaling 4,GO:1900923 regulation of glycine import across plasma membrane;GO:1900924 negative regulation of glycine import across plasma membrane;GO:0060160 negative regulation of dopamine receptor signaling pathway,Predicted intracellular proteins; Disease related genes,Cytosol (Approved),,(M5942)HALLMARK UV RESPONSE DN; (M5930)HALLMARK EPITHELIAL MESENCHYMAL TRANSITION
80274,SCUBE1,"signal peptide, CUB domain and EGF like domain containing 1",GO:0007512 adult heart development;GO:0045880 positive regulation of smoothened signaling pathway;GO:0045446 endothelial cell differentiation,Predicted secreted proteins; Predicted intracellular proteins,,(M5883)NABA SECRETED FACTORS; (M5885)NABA MATRISOME ASSOCIATED; (M5889)NABA MATRISOME,(M5916)HALLMARK APICAL SURFACE
2850,GPR27,G protein-coupled receptor 27,GO:1900738 positive regulation of phospholipase C-activating G protein-coupled receptor signaling pathway;GO:1900736 regulation of phospholipase C-activating G protein-coupled receptor signaling pathway;GO:0045745 positive regulation of G protein-coupled receptor signaling pathway,G-protein coupled receptors:GPCRs excl olfactory receptors,Nucleoplasm (Approved); Additional: Actin filaments;Cytosol;Plasma membrane,,
5621,PRNP,prion protein (Kanno blood group),GO:1902938 regulation of intracellular calcium activated chloride channel activity;GO:1902951 negative regulation of dendritic spine maintenance;GO:1900449 regulation of glutamate receptor signaling pathway,Disease related genes; Transporters:Transporter channels and pores; CD markers; Human disease related genes:Nervous system diseases:Neurodegenerative diseases; Potential drug targets,Cytosol;Nuclear membrane (Approved); Additional: Vesicles,(M33)PID GLYPICAN 1PATHWAY,(M5938)HALLMARK REACTIVE OXYGEN SPECIES PATHWAY; (M5947)HALLMARK IL2 STAT5 SIGNALING; (M5909)HALLMARK MYOGENESIS
10846,PDE10A,phosphodiesterase 10A,GO:0046069 cGMP catabolic process;GO:0010754 negative regulation of cGMP-mediated signaling;GO:0006198 cAMP catabolic process,Human disease related genes:Nervous system diseases:Other nervous and sensory system diseases; Enzymes; Predicted intracellular proteins; ENZYME proteins:Hydrolases; FDA approved drug targets:Small molecule drugs; Human disease related genes:Nervous system diseases:Neurodegenerative diseases; Disease related genes,,,
