Gene,Gene Symbol,Description,Biological Process (GO),Protein Function (Protein Atlas),Subcellular Location (Protein Atlas),Canonical Pathways,Hallmark Gene Sets
5625,PRODH,proline dehydrogenase 1,GO:0010133 proline catabolic process to glutamate;GO:0006562 proline catabolic process;GO:0019470 4-hydroxyproline catabolic process,Enzymes; Human disease related genes:Congenital disorders of metabolism:Congenital disorders of amino acid metabolism; Potential drug targets; Predicted intracellular proteins; Human disease related genes:Other diseases:Mental and behavioural disorders; Disease related genes; ENZYME proteins:Oxidoreductases,Mitochondria (Approved); Additional: Nucleoplasm;Vesicles,,(M5956)HALLMARK KRAS SIGNALING DN
25902,MTHFD1L,methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like,GO:0009257 10-formyltetrahydrofolate biosynthetic process;GO:0009256 10-formyltetrahydrofolate metabolic process;GO:0015942 formate metabolic process,Enzymes; Predicted intracellular proteins; ENZYME proteins:Ligase,Mitochondria (Enhanced),,
9376,SLC22A8,solute carrier family 22 member 8,GO:0015732 prostaglandin transport;GO:0071715 icosanoid transport;GO:0042908 xenobiotic transport,Transporters:Electrochemical Potential-driven transporters; FDA approved drug targets:Small molecule drugs,,,
286257,PAXX,PAXX non-homologous end joining factor,GO:0006303 double-strand break repair via nonhomologous end joining;GO:0006302 double-strand break repair;GO:0006281 DNA repair,Predicted intracellular proteins,Nucleoplasm (Supported),,
9844,ELMO1,engulfment and cell motility 1,"GO:0016601 Rac protein signal transduction;GO:0006911 phagocytosis, engulfment;GO:0099024 plasma membrane invagination",Predicted intracellular proteins,,(M108)PID NETRIN PATHWAY; (M210)PID IL8 CXCR2 PATHWAY; (M241)PID RAC1 REG PATHWAY,
150209,AIFM3,apoptosis inducing factor mitochondria associated 3,GO:0097194 execution phase of apoptosis;GO:0006915 apoptotic process;GO:0012501 programmed cell death,Predicted intracellular proteins,Mitochondria (Supported),,(M5902)HALLMARK APOPTOSIS
23626,SPO11,SPO11 initiator of meiotic double strand breaks,GO:0000706 meiotic DNA double-strand break processing;GO:0042138 meiotic DNA double-strand break formation;GO:0045141 meiotic telomere clustering,ENZYME proteins:Isomerase; Enzymes; Predicted intracellular proteins,,,
11069,RAPGEF4,Rap guanine nucleotide exchange factor 4,GO:0098693 regulation of synaptic vesicle cycle;GO:0017156 calcium-ion regulated exocytosis;GO:0030073 insulin secretion,Predicted intracellular proteins,Focal adhesion sites (Approved),,
192668,CYS1,cystin 1,,Predicted intracellular proteins,,,
2289,FKBP5,FKBP prolyl isomerase 5,GO:0000413 protein peptidyl-prolyl isomerization;GO:0018208 peptidyl-proline modification;GO:0061077 chaperone-mediated protein folding,Enzymes; Predicted intracellular proteins; Cancer-related genes:Candidate cancer biomarkers; ENZYME proteins:Isomerase; Human disease related genes:Other diseases:Mental and behavioural disorders,Nucleoplasm (Enhanced),(M115)PID REG GR PATHWAY,(M5908)HALLMARK ANDROGEN RESPONSE; (M5906)HALLMARK ESTROGEN RESPONSE EARLY; (M5907)HALLMARK ESTROGEN RESPONSE LATE
23230,VPS13A,vacuolar protein sorting 13 homolog A,GO:0030382 sperm mitochondrion organization;GO:0045053 protein retention in Golgi apparatus;GO:1905146 lysosomal protein catabolic process,Disease related genes; Predicted intracellular proteins; Transporters; Human disease related genes:Nervous system diseases:Neurodegenerative diseases; Potential drug targets,,,
1687,GSDME,gasdermin E,GO:0002836 positive regulation of response to tumor cell;GO:0002839 positive regulation of immune response to tumor cell;GO:0002837 regulation of immune response to tumor cell,Disease related genes; Transporters:Transporter channels and pores; Predicted intracellular proteins; Human disease related genes:Nervous system diseases:Ear disease; Potential drug targets,Cytosol (Supported),,(M5898)HALLMARK DNA REPAIR
153222,CREBRF,CREB3 regulatory factor,GO:0006986 response to unfolded protein;GO:0035966 response to topologically incorrect protein;GO:0045944 positive regulation of transcription by RNA polymerase II,Predicted intracellular proteins,Nucleoplasm (Supported),,
56261,GPCPD1,glycerophosphocholine phosphodiesterase 1,GO:0046475 glycerophospholipid catabolic process;GO:0009395 phospholipid catabolic process;GO:0046503 glycerolipid catabolic process,Enzymes; ENZYME proteins:Hydrolases; Predicted intracellular proteins,Nucleoplasm (Uncertain),,
8863,PER3,period circadian regulator 3,"GO:0045187 regulation of circadian sleep/wake cycle, sleep;GO:0042749 regulation of circadian sleep/wake cycle;GO:0043153 entrainment of circadian clock by photoperiod",Human disease related genes:Nervous system diseases:Other nervous and sensory system diseases; Predicted intracellular proteins; Disease related genes,Cytosol (Supported),,
728586,CCDC192,coiled-coil domain containing 192,,Predicted intracellular proteins,,,
55342,STRBP,spermatid perinuclear RNA binding protein,GO:0007638 mechanosensory behavior;GO:0007286 spermatid development;GO:0009612 response to mechanical stimulus,Predicted intracellular proteins,,,(M5951)HALLMARK SPERMATOGENESIS
